region_name,date,temp_min_anomaly,temp_min_anomaly_threshold,night,night_intensity
南京市,2023-6-1,-4.286636353,-1.592059436,0,0
无锡市,2023-6-1,-3.787890708,-1.856555677,0,0
徐州市,2023-6-1,-2.991127551,-0.79497703,0,0
常州市,2023-6-1,-4.12087993,-1.681064271,0,0
苏州市,2023-6-1,-3.557427037,-2.051817568,0,0
南通市,2023-6-1,-4.591107048,-2.444886853,0,0
连云港市,2023-6-1,-3.011729821,-1.571018003,0,0
淮安市,2023-6-1,-2.951012127,-1.727728624,0,0
盐城市,2023-6-1,-4.635883695,-2.304035701,0,0
扬州市,2023-6-1,-4.330102903,-1.812649149,0,0
镇江市,2023-6-1,-4.643451134,-1.805818444,0,0
泰州市,2023-6-1,-4.642005802,-1.859690586,0,0
宿迁市,2023-6-1,-2.520819106,-1.313032602,0,0
杭州市,2023-6-1,-2.007198157,-1.432339938,0,0
宁波市,2023-6-1,-2.569114816,-1.7718953,0,0
温州市,2023-6-1,-1.380543966,-0.854605054,0,0
嘉兴市,2023-6-1,-3.470565523,-2.165973477,0,0
湖州市,2023-6-1,-3.334555049,-1.750139562,0,0
绍兴市,2023-6-1,-2.228293198,-1.468387498,0,0
金华市,2023-6-1,-0.714421704,-0.99446046,1,0.28003875582711657
衢州市,2023-6-1,-0.244309392,-0.869925459,1,0.6256160669585831
舟山市,2023-6-1,-3.66138845,-2.937809445,0,0
台州市,2023-6-1,-1.582274625,-1.061507398,0,0
丽水市,2023-6-1,-0.501000226,-0.589967985,1,0.08896775824757186
合肥市,2023-6-1,-3.589771022,-1.238618246,0,0
芜湖市,2023-6-1,-2.923619948,-1.457078324,0,0
蚌埠市,2023-6-1,-3.030835132,-0.774656,0,0
淮南市,2023-6-1,-2.972628454,-0.8403199,0,0
马鞍山市,2023-6-1,-3.256867005,-1.564391209,0,0
淮北市,2023-6-1,-3.062765052,-0.269832226,0,0
铜陵市,2023-6-1,-2.165587212,-1.358467663,0,0
安庆市,2023-6-1,-3.042468693,-0.843162354,0,0
黄山市,2023-6-1,-1.920495462,-1.075008308,0,0
滁州市,2023-6-1,-3.748372493,-1.455261265,0,0
阜阳市,2023-6-1,-2.278834616,-0.273193572,0,0
宿州市,2023-6-1,-3.123054994,-0.574331529,0,0
六安市,2023-6-1,-2.743283566,-0.91937508,0,0
亳州市,2023-6-1,-2.655054618,-0.058603323,0,0
池州市,2023-6-1,-1.913544917,-1.160866654,0,0
宣城市,2023-6-1,-2.754073808,-1.303213819,0,0
福州市,2023-6-1,-0.262465925,-0.442931472,1,0.1804655466130768
厦门市,2023-6-1,0.6229289993812976,-0.083362926,1,0.7062919253180964
莆田市,2023-6-1,-0.30828232,-0.149459732,0,0
三明市,2023-6-1,-0.20159343,-0.341985938,1,0.1403925079085456
泉州市,2023-6-1,0.3778311172161999,-0.1206192,1,0.4984503173100404
漳州市,2023-6-1,1.235913603717794,0.0039857954273492,1,1.2319278082904448
南平市,2023-6-1,-0.21300075,-0.627267639,1,0.4142668883455264
龙岩市,2023-6-1,0.4660035125890722,-0.047838288,1,0.5138418001389843
宁德市,2023-6-1,-0.673234768,-0.418863491,0,0
南昌市,2023-6-1,-1.733534634,-0.798366536,0,0
景德镇市,2023-6-1,-1.945331079,-1.04981395,0,0
萍乡市,2023-6-1,0.1349500434196002,-0.547840163,1,0.6827902059284563
九江市,2023-6-1,-1.559547009,-0.809452589,0,0
新余市,2023-6-1,-0.176069815,-0.449129161,1,0.27305934556084177
鹰潭市,2023-6-1,-1.472868268,-0.616890357,0,0
赣州市,2023-6-1,-0.025563362,-0.10789394,1,0.08233057799270549
吉安市,2023-6-1,-0.290924842,-0.298447133,1,0.00752229170551072
宜春市,2023-6-1,-0.732873025,-0.575888171,0,0
抚州市,2023-6-1,-1.219979317,-0.36104817,0,0
上饶市,2023-6-1,-1.058055263,-0.842066772,0,0
济南市,2023-6-1,-2.693759852,-0.178278568,0,0
青岛市,2023-6-1,-3.726749221,-2.333149155,0,0
淄博市,2023-6-1,-2.147925108,-0.235473919,0,0
枣庄市,2023-6-1,-3.021923187,-0.70000823,0,0
东营市,2023-6-1,-2.546869706,-0.73815995,0,0
烟台市,2023-6-1,-2.964466992,-2.036265853,0,0
潍坊市,2023-6-1,-2.330470774,-1.028838281,0,0
济宁市,2023-6-1,-2.552255651,-0.379673021,0,0
泰安市,2023-6-1,-2.707463142,-0.619659895,0,0
威海市,2023-6-1,-3.284703033,-2.648007476,0,0
日照市,2023-6-1,-2.794419499,-1.545307342,0,0
临沂市,2023-6-1,-2.804328397,-1.230646874,0,0
德州市,2023-6-1,-2.131164263,0.510586908690329,0,0
聊城市,2023-6-1,-1.869772387,0.159020034588918,0,0
滨州市,2023-6-1,-2.065655145,0.1008714988048375,0,0
菏泽市,2023-6-1,-2.085253705,-0.056588819,0,0
郑州市,2023-6-1,-1.784269705,-0.116127455,0,0
开封市,2023-6-1,-2.40643864,0.1013672715183981,0,0
洛阳市,2023-6-1,-2.234378281,-0.519174816,0,0
平顶山市,2023-6-1,-2.244011238,-0.124512909,0,0
安阳市,2023-6-1,-1.862864623,-0.162409114,0,0
鹤壁市,2023-6-1,-2.171545587,-0.011776272,0,0
新乡市,2023-6-1,-2.730851368,-0.044413672,0,0
焦作市,2023-6-1,-2.740349054,-0.202107154,0,0
濮阳市,2023-6-1,-1.356386807,0.2408671866194142,0,0
许昌市,2023-6-1,-1.97798599,0.192825434051604,0,0
漯河市,2023-6-1,-2.112344029,0.1833352979905882,0,0
三门峡市,2023-6-1,-2.60258145,-0.597220714,0,0
南阳市,2023-6-1,-1.021199461,-0.026824179,0,0
商丘市,2023-6-1,-2.899336113,-0.149559075,0,0
信阳市,2023-6-1,-2.035956596,-0.449462554,0,0
周口市,2023-6-1,-2.439346485,-0.04285837,0,0
驻马店市,2023-6-1,-1.652698049,-0.176012167,0,0
武汉市,2023-6-1,-2.830912753,-0.801969987,0,0
黄石市,2023-6-1,-1.320323731,-0.69670614,0,0
十堰市,2023-6-1,-0.840666031,-0.606482113,0,0
宜昌市,2023-6-1,-1.022237983,-0.513626265,0,0
襄阳市,2023-6-1,-1.041309565,-0.500352425,0,0
鄂州市,2023-6-1,-1.52840211,-0.783114501,0,0
荆门市,2023-6-1,-1.54295192,-0.528365707,0,0
孝感市,2023-6-1,-2.407607539,-0.352228803,0,0
荆州市,2023-6-1,-1.689479036,-0.65342395,0,0
黄冈市,2023-6-1,-2.10172883,-0.935778585,0,0
咸宁市,2023-6-1,-1.318232961,-0.861733228,0,0
随州市,2023-6-1,-1.296439623,-0.452850679,0,0
恩施土家族苗族自治州,2023-6-1,-1.402481505,-0.481441977,0,0
长沙市,2023-6-1,-1.362924333,-0.567333973,0,0
株洲市,2023-6-1,-0.864010452,-0.48930052,0,0
湘潭市,2023-6-1,-2.207133097,-0.289889108,0,0
衡阳市,2023-6-1,-1.673902659,-0.186234842,0,0
邵阳市,2023-6-1,-0.246225281,-0.010910709,0,0
岳阳市,2023-6-1,-1.602153237,-0.687658264,0,0
常德市,2023-6-1,-2.065881182,-0.585858844,0,0
张家界市,2023-6-1,-2.402498958,-0.475900145,0,0
益阳市,2023-6-1,-1.842667345,-0.301625712,0,0
郴州市,2023-6-1,-0.487957234,-0.193180172,0,0
永州市,2023-6-1,0.0024544376764481,-0.14010092,1,0.14255535815465478
怀化市,2023-6-1,-0.725140541,-0.22729313,0,0
娄底市,2023-6-1,-1.403431274,-0.127713893,0,0
湘西土家族苗族自治州,2023-6-1,-1.781885716,-0.311645981,0,0
广州市,2023-6-1,1.644371717816302,0.1442847775377406,1,1.5000869402785613
韶关市,2023-6-1,0.6124050238776633,-0.054420939,1,0.6668259626536917
深圳市,2023-6-1,0.8248392421628239,0.2506096726962895,1,0.5742295694665345
珠海市,2023-6-1,1.710118040678413,0.2856507661163528,1,1.4244672745620603
汕头市,2023-6-1,1.0174830161396748,0.1642515693614611,1,0.8532314467782137
佛山市,2023-6-1,1.569823533325522,0.2321087850631865,1,1.3377147482623355
江门市,2023-6-1,1.4789980032335954,0.443211093502094,1,1.0357869097315016
湛江市,2023-6-1,1.1831568469460017,0.6182987599205714,1,0.5648580870254303
茂名市,2023-6-1,0.7390698150995156,0.4452609716193422,1,0.29380884348017344
肇庆市,2023-6-1,1.3113528675060913,-0.036620061,1,1.3479729284719393
惠州市,2023-6-1,1.6307091187068217,0.1415499988226261,1,1.4891591198841956
梅州市,2023-6-1,0.8535907437426715,-0.007810319,1,0.8614010631222194
汕尾市,2023-6-1,1.2983962559267717,0.1243515850436642,1,1.1740446708831074
河源市,2023-6-1,1.155588366264471,0.1370234108131736,1,1.0185649554512974
阳江市,2023-6-1,1.069813372303205,0.4486887486686163,1,0.6211246236345888
清远市,2023-6-1,0.920183401196688,-0.075514165,1,0.995697566157497
东莞市,2023-6-1,1.3674357245559747,0.2106161170676387,1,1.1568196074883361
中山市,2023-6-1,1.3841906907395192,0.2262662750753895,1,1.1579244156641297
潮州市,2023-6-1,1.1895676865040272,0.122897283978277,1,1.0666704025257503
揭阳市,2023-6-1,1.095805030475006,0.223509248935868,1,0.872295781539138
云浮市,2023-6-1,1.3536449648151103,0.2614965222126474,1,1.092148442602463
三沙市,2023-6-1,,,0,0
海口市,2023-6-1,1.5255468109886363,1.086739390803275,1,0.43880742018536134
三亚市,2023-6-1,0.8865196240759587,1.0398547901818065,0,0
儋州市,2023-6-1,0.8454864049120872,1.2378877694214658,0,0
成都市,2023-6-1,-2.064461896,0.1285202546637276,0,0
自贡市,2023-6-1,-2.699190966,0.0860153297836297,0,0
攀枝花市,2023-6-1,5.651584927988331,1.4567764900133844,1,4.194808437974947
泸州市,2023-6-1,-2.237876234,0.0863865610282092,0,0
德阳市,2023-6-1,-2.283499772,0.1673239649695055,0,0
绵阳市,2023-6-1,-1.664395299,-0.162321834,0,0
广元市,2023-6-1,-2.396167967,-0.350087238,0,0
遂宁市,2023-6-1,-2.928638956,-0.166489212,0,0
内江市,2023-6-1,-2.752552501,-0.054980347,0,0
乐山市,2023-6-1,-1.881054683,0.0613755575846692,0,0
南充市,2023-6-1,-2.041610159,-0.408310828,0,0
眉山市,2023-6-1,-2.219195432,0.2145447007499652,0,0
宜宾市,2023-6-1,-1.989835915,0.1654375346384561,0,0
广安市,2023-6-1,-1.278260638,-0.653661158,0,0
达州市,2023-6-1,-0.738531657,-0.753665728,1,0.015134071275342498
雅安市,2023-6-1,-1.241277094,-8.72E-05,0,0
巴中市,2023-6-1,-1.573634585,-0.625116235,0,0
资阳市,2023-6-1,-2.861799608,-0.072281434,0,0
阿坝藏族羌族自治州,2023-6-1,0.5740359157078618,-0.198701702,1,0.7727376179189449
甘孜藏族自治州,2023-6-1,0.5441985065721027,-0.538765664,1,1.0829641704711697
凉山彝族自治州,2023-6-1,1.9470451392683028,0.4451343769829816,1,1.5019107622853212
贵阳市,2023-6-1,1.422823838284522,0.7865386438427218,1,0.6362851944418002
六盘水市,2023-6-1,2.007138853941054,0.7781927500187075,1,1.2289461039223468
遵义市,2023-6-1,-0.344082773,0.0553353097000041,0,0
安顺市,2023-6-1,1.6910004128048648,0.7046475987174625,1,0.9863528140874023
毕节市,2023-6-1,1.2106346944743187,0.7037839398291069,1,0.5068507546452118
铜仁市,2023-6-1,-1.091201951,-0.08828396,0,0
黔西南布依族苗族自治州,2023-6-1,1.6415142083881271,0.6546736778629056,1,0.9868405305252215
黔东南苗族侗族自治州,2023-6-1,0.0810751669081959,0.2581077538263567,0,0
黔南布依族苗族自治州,2023-6-1,1.5166327921996654,0.5828498344530954,1,0.93378295774657
昆明市,2023-6-1,4.1552524337514125,0.8057250965741506,1,3.349527337177262
曲靖市,2023-6-1,3.274641843970091,0.7021814671001335,1,2.5724603768699574
玉溪市,2023-6-1,3.296098313460643,0.8439393262926321,1,2.4521589871680107
