region_name,date,temp_mean_anomaly,temp_mean_anomaly_threshold,day,day_intensity
牡丹江市,2023-6-1,-5.791714688,-0.02507913,0,0
黑河市,2023-6-1,-5.176231253,0.9856570121844478,0,0
绥化市,2023-6-1,-4.764246475,0.9477233488930674,0,0
大兴安岭地区,2023-6-1,-4.384831609,0.9821724383709536,0,0
南京市,2023-6-1,-2.417396176,-0.449928019,0,0
无锡市,2023-6-1,-2.473566535,-1.103340163,0,0
徐州市,2023-6-1,-1.434890199,1.081411236126625,0,0
常州市,2023-6-1,-2.578517984,-0.788922466,0,0
苏州市,2023-6-1,-2.461489751,-1.41615648,0,0
南通市,2023-6-1,-3.346837522,-1.571997407,0,0
连云港市,2023-6-1,-1.68545069,0.4645604145381483,0,0
淮安市,2023-6-1,-2.173150253,-0.108120647,0,0
盐城市,2023-6-1,-3.101925462,-0.809764389,0,0
扬州市,2023-6-1,-2.52967627,-0.422609,0,0
镇江市,2023-6-1,-2.647627316,-0.497140693,0,0
泰州市,2023-6-1,-2.661492256,-0.600934503,0,0
宿迁市,2023-6-1,-1.744919592,0.2635653953717647,0,0
杭州市,2023-6-1,-1.708649395,-0.723717957,0,0
宁波市,2023-6-1,-2.967569856,-1.72702248,0,0
温州市,2023-6-1,0.3264966875578068,-0.877272187,1,1.203768874817105
嘉兴市,2023-6-1,-2.478081477,-1.791149065,0,0
湖州市,2023-6-1,-2.235471212,-1.061051378,0,0
绍兴市,2023-6-1,-2.284548661,-0.993354702,0,0
金华市,2023-6-1,-0.587600619,-0.971498217,1,0.38389759846813043
衢州市,2023-6-1,-0.409809953,-0.560437228,1,0.15062727498248663
舟山市,2023-6-1,-3.746956178,-2.91906296,0,0
台州市,2023-6-1,-0.998672137,-1.062602833,1,0.06393069598596746
丽水市,2023-6-1,-0.2067761,-0.517154379,1,0.3103782791694921
合肥市,2023-6-1,-2.009609784,0.0401144042750883,0,0
芜湖市,2023-6-1,-1.845504082,-0.425409369,0,0
蚌埠市,2023-6-1,-1.655506024,0.823515727322323,0,0
淮南市,2023-6-1,-1.637635497,0.5554499204409834,0,0
马鞍山市,2023-6-1,-2.039705791,-0.468551633,0,0
淮北市,2023-6-1,-1.414954278,1.4357712064730124,0,0
铜陵市,2023-6-1,-1.787544928,-0.29157475,0,0
安庆市,2023-6-1,-1.744301815,-0.202045657,0,0
黄山市,2023-6-1,-1.297592135,-0.34109389,0,0
滁州市,2023-6-1,-2.315841747,-0.11239221,0,0
阜阳市,2023-6-1,-0.905970984,0.9931292019370468,0,0
宿州市,2023-6-1,-1.512052496,1.2972545528755688,0,0
六安市,2023-6-1,-1.763051521,0.1783973130342605,0,0
亳州市,2023-6-1,-1.145062753,1.580727422084494,0,0
池州市,2023-6-1,-1.764330549,-0.341956518,0,0
宣城市,2023-6-1,-1.933487492,-0.529545175,0,0
福州市,2023-6-1,0.6214394238214354,-0.436940419,1,1.0583798429937803
厦门市,2023-6-1,1.0348281367741876,-0.148417954,1,1.1832460903093058
莆田市,2023-6-1,1.2218841915791645,-0.272529602,1,1.4944137932459085
三明市,2023-6-1,0.1279363638931165,-0.256519197,1,0.3844555612280657
泉州市,2023-6-1,1.244372275543526,-0.191709468,1,1.4360817439699456
漳州市,2023-6-1,1.7264873483088117,0.0458979656657542,1,1.6805893826430576
南平市,2023-6-1,-0.046279629,-0.447012524,1,0.4007328958114876
龙岩市,2023-6-1,0.9907533252182396,0.0132754596794611,1,0.9774778655387785
宁德市,2023-6-1,0.5210059693628288,-0.512414757,1,1.0334207267565851
南昌市,2023-6-1,-1.230426053,-0.261711074,0,0
景德镇市,2023-6-1,-1.00138437,-0.278555535,0,0
萍乡市,2023-6-1,-0.667731121,-0.123005139,0,0
九江市,2023-6-1,-1.415673754,-0.204710582,0,0
新余市,2023-6-1,-0.412199885,-0.269727579,0,0
鹰潭市,2023-6-1,-1.127059018,-0.196753629,0,0
赣州市,2023-6-1,0.1490052165897921,0.0108960508266847,1,0.1381091657631074
吉安市,2023-6-1,-0.483659149,-0.27446326,0,0
宜春市,2023-6-1,-0.742768998,-0.293845594,0,0
抚州市,2023-6-1,-1.037919032,-0.248079911,0,0
上饶市,2023-6-1,-0.831518805,-0.325743036,0,0
济南市,2023-6-1,-0.895055585,1.2200986686549156,0,0
青岛市,2023-6-1,-2.069609599,-0.717167253,0,0
淄博市,2023-6-1,-0.385907909,1.2478091244222551,0,0
枣庄市,2023-6-1,-1.159378358,1.012062820072504,0,0
东营市,2023-6-1,0.0927667368796747,1.198711926676999,0,0
烟台市,2023-6-1,-1.756082555,-0.380602863,0,0
潍坊市,2023-6-1,-0.158276956,0.6577979600392498,0,0
济宁市,2023-6-1,-1.101555959,1.2048800050985595,0,0
泰安市,2023-6-1,-1.095082266,0.9739677568173456,0,0
威海市,2023-6-1,-3.180411243,-1.474201164,0,0
日照市,2023-6-1,-0.737205934,-0.043419498,0,0
临沂市,2023-6-1,-0.868708473,0.6729994007395057,0,0
德州市,2023-6-1,-0.61615873,1.6333727479840556,0,0
聊城市,2023-6-1,-0.747753889,1.560106943642227,0,0
滨州市,2023-6-1,-0.104320294,1.6175631781602244,0,0
菏泽市,2023-6-1,-1.036752412,1.5801626067888508,0,0
郑州市,2023-6-1,-1.228889641,1.733055160339957,0,0
开封市,2023-6-1,-1.036432637,1.9521394535741203,0,0
洛阳市,2023-6-1,-2.243051947,1.2409693771800778,0,0
平顶山市,2023-6-1,-1.231508787,1.7691836215868708,0,0
安阳市,2023-6-1,-0.519591864,1.6293634754077109,0,0
鹤壁市,2023-6-1,-0.45622522,1.742550284709941,0,0
新乡市,2023-6-1,-0.859699912,1.5546706099206813,0,0
焦作市,2023-6-1,-1.428381689,1.5161026356147491,0,0
濮阳市,2023-6-1,-0.514331284,1.7247299841518722,0,0
许昌市,2023-6-1,-0.823684116,2.1517898437330314,0,0
漯河市,2023-6-1,-0.485999667,2.1212687737775258,0,0
三门峡市,2023-6-1,-2.856083923,0.9109612127580248,0,0
南阳市,2023-6-1,-0.673134866,1.404695468007976,0,0
商丘市,2023-6-1,-1.186470412,1.641734672674555,0,0
信阳市,2023-6-1,-1.043217,0.5652317466418774,0,0
周口市,2023-6-1,-0.757427126,1.6562831952823582,0,0
驻马店市,2023-6-1,-0.588066065,1.1208645699308653,0,0
武汉市,2023-6-1,-1.536676675,-0.000926654,0,0
黄石市,2023-6-1,-1.485517712,-0.150939902,0,0
十堰市,2023-6-1,-1.59351066,0.6864236975282761,0,0
宜昌市,2023-6-1,-1.698023349,0.1986395285627822,0,0
襄阳市,2023-6-1,-0.954287533,1.072240596368315,0,0
鄂州市,2023-6-1,-1.380308904,-0.090141659,0,0
荆门市,2023-6-1,-1.085618821,0.4515697903143323,0,0
孝感市,2023-6-1,-1.327326172,0.2401177847620052,0,0
荆州市,2023-6-1,-1.466894387,0.3259195380390957,0,0
黄冈市,2023-6-1,-1.243815122,-0.210554934,0,0
咸宁市,2023-6-1,-1.754382722,-0.007251541,0,0
随州市,2023-6-1,-0.697968658,0.510524961516094,0,0
恩施土家族苗族自治州,2023-6-1,-2.325673316,-0.091125168,0,0
长沙市,2023-6-1,-1.622864088,-0.255743141,0,0
株洲市,2023-6-1,-1.178558345,-0.12710002,0,0
湘潭市,2023-6-1,-1.927009952,-0.064266213,0,0
衡阳市,2023-6-1,-1.656382225,-0.034776265,0,0
邵阳市,2023-6-1,-0.503746888,0.1148050791212402,0,0
岳阳市,2023-6-1,-1.761217668,-0.158589076,0,0
常德市,2023-6-1,-2.304419201,0.0356968615842523,0,0
张家界市,2023-6-1,-2.514894222,0.0491110353192,0,0
益阳市,2023-6-1,-2.128588577,0.1952201448519458,0,0
郴州市,2023-6-1,-0.607895369,-0.076638658,0,0
永州市,2023-6-1,-0.123526302,0.0857418071252783,0,0
怀化市,2023-6-1,-1.118927752,0.0627623571075153,0,0
娄底市,2023-6-1,-1.598119412,0.1626201044255061,0,0
湘西土家族苗族自治州,2023-6-1,-2.356986075,0.0230819299734864,0,0
广州市,2023-6-1,2.1025986249930995,0.3800693434008427,1,1.7225292815922568
韶关市,2023-6-1,1.2922592064451486,0.0891847935338397,1,1.203074412911309
深圳市,2023-6-1,1.717117344708825,0.3812612386715053,1,1.3358561060373197
珠海市,2023-6-1,1.5832566567601525,0.3397725440145461,1,1.2434841127456064
汕头市,2023-6-1,1.7406005504593551,0.1486594991905159,1,1.5919410512688392
佛山市,2023-6-1,2.000043326903903,0.409176008727769,1,1.590867318176134
江门市,2023-6-1,1.7972138346306146,0.5114951503313256,1,1.285718684299289
湛江市,2023-6-1,2.2304751208709703,0.9531421772742016,1,1.2773329435967686
茂名市,2023-6-1,2.3334860837301328,0.5826110808317732,1,1.7508750028983595
肇庆市,2023-6-1,1.6290820409967317,0.2229253900983344,1,1.4061566508983974
惠州市,2023-6-1,2.1771557290679944,0.3197156339167771,1,1.8574400951512173
梅州市,2023-6-1,1.283563608256603,0.2243472652977003,1,1.0592163429589028
汕尾市,2023-6-1,1.6543337791051158,0.3015805168132649,1,1.3527532622918508
