region_name,date,temp_mean_mean30
宿迁市,06-01_to_08-31,26.11420426856301
屯昌县,06-01_to_08-31,27.25699550548791
山南市,06-01_to_08-31,10.741448676153457
岳阳市,06-01_to_08-31,27.082708395751865
崇左市,06-01_to_08-31,26.294037055870774
巴中市,06-01_to_08-31,23.171567575667346
巴彦淖尔市,06-01_to_08-31,22.05314037226368
巴音郭楞蒙古自治州,06-01_to_08-31,18.948298929891084
常州市,06-01_to_08-31,26.662233821985083
常德市,06-01_to_08-31,26.25301868036227
平凉市,06-01_to_08-31,19.555726798398457
平顶山市,06-01_to_08-31,25.42083398615573
广元市,06-01_to_08-31,22.308918226468183
广安市,06-01_to_08-31,25.963451138270035
广州市,06-01_to_08-31,26.966928783596355
庆阳市,06-01_to_08-31,20.555324586483312
廊坊市,06-01_to_08-31,25.91229384161729
延安市,06-01_to_08-31,21.15211562725831
延边朝鲜族自治州,06-01_to_08-31,17.975529666302805
开封市,06-01_to_08-31,26.343549334321505
张家口市,06-01_to_08-31,18.8236188109418
张家界市,06-01_to_08-31,24.38493248806265
张掖市,06-01_to_08-31,13.743729288786025
徐州市,06-01_to_08-31,25.988291432609365
德宏傣族景颇族自治州,06-01_to_08-31,19.965252182777718
德州市,06-01_to_08-31,26.238516667412977
德阳市,06-01_to_08-31,23.55118855139757
忻州市,06-01_to_08-31,18.995228787536156
怀化市,06-01_to_08-31,25.362263079304245
怒江傈僳族自治州,06-01_to_08-31,14.35306275318129
恩施土家族苗族自治州,06-01_to_08-31,21.98098397563806
惠州市,06-01_to_08-31,26.362037979317105
成都市,06-01_to_08-31,23.456271359685374
扬州市,06-01_to_08-31,26.14226936948485
承德市,06-01_to_08-31,19.26388545156424
抚州市,06-01_to_08-31,27.117329601836712
抚顺市,06-01_to_08-31,20.65665479626612
拉萨市,06-01_to_08-31,6.931468386168075
揭阳市,06-01_to_08-31,26.355053808447234
攀枝花市,06-01_to_08-31,19.36774672075119
文山壮族苗族自治州,06-01_to_08-31,21.41111204782664
文昌市,06-01_to_08-31,28.231879427084206
新乡市,06-01_to_08-31,25.78466194488457
新余市,06-01_to_08-31,27.597469279712858
新星市,06-01_to_08-31,27.385187265017535
无锡市,06-01_to_08-31,26.740222409303694
日喀则市,06-01_to_08-31,5.70634104291452
日照市,06-01_to_08-31,24.27147782160489
昆明市,06-01_to_08-31,18.299297181248587
昆玉市,06-01_to_08-31,26.22241449387622
昌吉回族自治州,06-01_to_08-31,22.25008816398435
昌江黎族自治县,06-01_to_08-31,27.35538931858667
昌都市,06-01_to_08-31,7.492265586645882
昭通市,06-01_to_08-31,19.248036123586324
晋中市,06-01_to_08-31,20.47336021159614
晋城市,06-01_to_08-31,21.45993608803734
普洱市,06-01_to_08-31,20.734937203048293
景德镇市,06-01_to_08-31,27.13823917181859
曲靖市,06-01_to_08-31,18.380448906332486
朔州市,06-01_to_08-31,19.018397691002576
朝阳市,06-01_to_08-31,22.158166061235914
本溪市,06-01_to_08-31,20.269633281581367
来宾市,06-01_to_08-31,26.331474182829684
杭州市,06-01_to_08-31,26.04632811776873
松原市,06-01_to_08-31,22.095075842203805
林芝市,06-01_to_08-31,10.465397004332885
果洛藏族自治州,06-01_to_08-31,5.984020882325471
枣庄市,06-01_to_08-31,25.563654784604413
柳州市,06-01_to_08-31,25.68058952998469
株洲市,06-01_to_08-31,26.855014291634905
桂林市,06-01_to_08-31,24.975112719389795
梅州市,06-01_to_08-31,25.849875448269195
梧州市,06-01_to_08-31,26.563926310434372
楚雄彝族自治州,06-01_to_08-31,19.39977794464913
榆林市,06-01_to_08-31,21.73288870853644
武威市,06-01_to_08-31,19.396846995190028
武汉市,06-01_to_08-31,27.34200023240468
毕节市,06-01_to_08-31,19.4870691929159
永州市,06-01_to_08-31,25.988750373728458
汉中市,06-01_to_08-31,21.0015519531709
汕头市,06-01_to_08-31,26.934830154242835
汕尾市,06-01_to_08-31,26.43492607861799
江门市,06-01_to_08-31,27.259037361019182
池州市,06-01_to_08-31,26.416961520612567
沈阳市,06-01_to_08-31,23.028071639072014
沧州市,06-01_to_08-31,26.098053122849752
河池市,06-01_to_08-31,24.79941054448009
河源市,06-01_to_08-31,25.83328513735645
泉州市,06-01_to_08-31,25.020339182312778
泰安市,06-01_to_08-31,25.228107534559804
泰州市,06-01_to_08-31,25.98196777915499
泸州市,06-01_to_08-31,24.113065456428526
洛阳市,06-01_to_08-31,23.633821987703698
济南市,06-01_to_08-31,25.309172217152074
济宁市,06-01_to_08-31,25.915461298543924
济源市,06-01_to_08-31,24.141022801375858
海东市,06-01_to_08-31,14.259378155657348
海北藏族自治州,06-01_to_08-31,7.352185553867508
海南藏族自治州,06-01_to_08-31,10.324785635719296
海口市,06-01_to_08-31,28.089600815942234
海西蒙古族藏族自治州,06-01_to_08-31,9.81039542719938
淄博市,06-01_to_08-31,24.70145369780339
淮北市,06-01_to_08-31,26.25041732031563
淮南市,06-01_to_08-31,26.587840194714726
淮安市,06-01_to_08-31,26.086315683795963
深圳市,06-01_to_08-31,27.199707471734072
清远市,06-01_to_08-31,25.72108390733092
温州市,06-01_to_08-31,25.01718875858482
