region_name,date,temp_min_mean30
宿迁市,06-01_to_08-31,22.84577413038714
屯昌县,06-01_to_08-31,24.54993170735793
山南市,06-01_to_08-31,7.608852323102863
岳阳市,06-01_to_08-31,24.050256109265728
崇左市,06-01_to_08-31,23.678719222546587
巴中市,06-01_to_08-31,19.70141190959158
巴彦淖尔市,06-01_to_08-31,15.758636902911128
巴音郭楞蒙古自治州,06-01_to_08-31,12.108800047140353
常州市,06-01_to_08-31,23.77422964735804
常德市,06-01_to_08-31,23.10822223177941
平凉市,06-01_to_08-31,14.667028735293261
平顶山市,06-01_to_08-31,21.457283226732944
广元市,06-01_to_08-31,18.822986480824305
广安市,06-01_to_08-31,22.731851382022832
广州市,06-01_to_08-31,24.546922572102517
庆阳市,06-01_to_08-31,15.39480273137204
廊坊市,06-01_to_08-31,21.41326518380209
延安市,06-01_to_08-31,16.1782815447252
延边朝鲜族自治州,06-01_to_08-31,14.100637320358626
开封市,06-01_to_08-31,22.334342552382658
张家口市,06-01_to_08-31,13.650546687722585
张家界市,06-01_to_08-31,21.273885005002384
张掖市,06-01_to_08-31,7.756053606899138
徐州市,06-01_to_08-31,22.334106690740786
德宏傣族景颇族自治州,06-01_to_08-31,17.782397690859018
德州市,06-01_to_08-31,21.982647199602336
德阳市,06-01_to_08-31,20.478370565574316
忻州市,06-01_to_08-31,13.944201166501644
怀化市,06-01_to_08-31,22.29075294049819
怒江傈僳族自治州,06-01_to_08-31,11.679939005339445
恩施土家族苗族自治州,06-01_to_08-31,18.882628712002038
惠州市,06-01_to_08-31,24.088363750367396
成都市,06-01_to_08-31,20.412688993863483
扬州市,06-01_to_08-31,23.083715424740546
承德市,06-01_to_08-31,14.508962773207214
抚州市,06-01_to_08-31,23.885922425739082
抚顺市,06-01_to_08-31,16.639714343370706
拉萨市,06-01_to_08-31,2.0417337464843226
揭阳市,06-01_to_08-31,24.12370462675902
攀枝花市,06-01_to_08-31,16.272244800870457
文山壮族苗族自治州,06-01_to_08-31,18.614286020211672
文昌市,06-01_to_08-31,26.27037485947466
新乡市,06-01_to_08-31,21.641298780730402
新余市,06-01_to_08-31,24.48046246130487
新星市,06-01_to_08-31,19.632346294825734
无锡市,06-01_to_08-31,24.09937305408925
日喀则市,06-01_to_08-31,0.8272071162602995
日照市,06-01_to_08-31,20.997328575191865
昆明市,06-01_to_08-31,15.197388820741098
昆玉市,06-01_to_08-31,18.956943864518248
昌吉回族自治州,06-01_to_08-31,15.643655721462586
昌江黎族自治县,06-01_to_08-31,25.07361152834399
昌都市,06-01_to_08-31,2.755855584080339
昭通市,06-01_to_08-31,16.0192754659593
晋中市,06-01_to_08-31,15.820027107737948
晋城市,06-01_to_08-31,17.427028729730058
普洱市,06-01_to_08-31,17.962534031385523
景德镇市,06-01_to_08-31,23.908018690940242
曲靖市,06-01_to_08-31,15.182775790755175
朔州市,06-01_to_08-31,13.439567075896361
朝阳市,06-01_to_08-31,17.360031018149495
本溪市,06-01_to_08-31,16.562265854456445
来宾市,06-01_to_08-31,23.762754260300547
杭州市,06-01_to_08-31,22.877361028178274
松原市,06-01_to_08-31,17.74514868556614
林芝市,06-01_to_08-31,7.724777807134187
果洛藏族自治州,06-01_to_08-31,0.3096151699784104
枣庄市,06-01_to_08-31,21.873170831897127
柳州市,06-01_to_08-31,23.048505918601002
株洲市,06-01_to_08-31,23.630189710556238
桂林市,06-01_to_08-31,22.292566180064586
梅州市,06-01_to_08-31,23.154082861414352
梧州市,06-01_to_08-31,23.873107229367356
楚雄彝族自治州,06-01_to_08-31,16.15867558746175
榆林市,06-01_to_08-31,16.293559688620302
武威市,06-01_to_08-31,13.05852504196181
武汉市,06-01_to_08-31,24.40408814475851
毕节市,06-01_to_08-31,16.254791831377368
