region_name,date,temp_max_mean30
宿迁市,06-01_to_08-31,29.86197981316461
屯昌县,06-01_to_08-31,31.057114546119987
山南市,06-01_to_08-31,14.685192392964018
岳阳市,06-01_to_08-31,30.52526885036941
崇左市,06-01_to_08-31,29.80627311855132
巴中市,06-01_to_08-31,26.80073466736745
巴彦淖尔市,06-01_to_08-31,27.677262728874034
巴音郭楞蒙古自治州,06-01_to_08-31,23.977518981791096
常州市,06-01_to_08-31,30.161631505470705
常德市,06-01_to_08-31,29.75974578338914
平凉市,06-01_to_08-31,24.535669097516983
平顶山市,06-01_to_08-31,29.724697684768003
广元市,06-01_to_08-31,26.037976485894607
广安市,06-01_to_08-31,29.412773203014076
广州市,06-01_to_08-31,30.370802361044944
庆阳市,06-01_to_08-31,25.733338507254256
廊坊市,06-01_to_08-31,30.844961902602144
延安市,06-01_to_08-31,26.250591865395915
延边朝鲜族自治州,06-01_to_08-31,22.54513256882061
开封市,06-01_to_08-31,30.779116298133328
张家口市,06-01_to_08-31,24.276088994572714
张家界市,06-01_to_08-31,27.77215644907556
张掖市,06-01_to_08-31,18.91337758926765
徐州市,06-01_to_08-31,30.128841633362136
德宏傣族景颇族自治州,06-01_to_08-31,23.247375527864182
德州市,06-01_to_08-31,30.95817563539155
德阳市,06-01_to_08-31,26.93321070413248
忻州市,06-01_to_08-31,24.090627599287973
怀化市,06-01_to_08-31,28.93676892773946
怒江傈僳族自治州,06-01_to_08-31,18.13767753681615
恩施土家族苗族自治州,06-01_to_08-31,25.540102374173895
惠州市,06-01_to_08-31,29.572278787106946
成都市,06-01_to_08-31,26.751395007719815
扬州市,06-01_to_08-31,29.814508764346048
承德市,06-01_to_08-31,24.3964106288723
抚州市,06-01_to_08-31,31.156368266566385
抚顺市,06-01_to_08-31,25.169025000008848
拉萨市,06-01_to_08-31,11.973144428542861
揭阳市,06-01_to_08-31,29.499755812406228
攀枝花市,06-01_to_08-31,22.932383299264917
文山壮族苗族自治州,06-01_to_08-31,25.284408457690514
文昌市,06-01_to_08-31,31.037822197244775
新乡市,06-01_to_08-31,30.243026035407702
新余市,06-01_to_08-31,31.29067644505343
新星市,06-01_to_08-31,32.825874529612435
无锡市,06-01_to_08-31,29.955729802952117
日喀则市,06-01_to_08-31,11.04140495037669
日照市,06-01_to_08-31,28.18955595353797
昆明市,06-01_to_08-31,22.17593753476876
昆玉市,06-01_to_08-31,31.201077160025925
昌吉回族自治州,06-01_to_08-31,27.40650704676281
昌江黎族自治县,06-01_to_08-31,30.20723686931529
昌都市,06-01_to_08-31,12.31977254467281
昭通市,06-01_to_08-31,22.971265693777493
晋中市,06-01_to_08-31,25.46283389992134
晋城市,06-01_to_08-31,25.869052797915607
普洱市,06-01_to_08-31,24.80348168946899
景德镇市,06-01_to_08-31,30.876398695913725
曲靖市,06-01_to_08-31,22.40473722299367
朔州市,06-01_to_08-31,24.60207321219087
朝阳市,06-01_to_08-31,27.27703896614008
本溪市,06-01_to_08-31,24.595038286150643
来宾市,06-01_to_08-31,29.76526830310485
杭州市,06-01_to_08-31,29.888713769825493
松原市,06-01_to_08-31,26.66658208936919
林芝市,06-01_to_08-31,13.968054483136443
果洛藏族自治州,06-01_to_08-31,11.499221810241044
枣庄市,06-01_to_08-31,29.739614563749026
柳州市,06-01_to_08-31,29.086023614988004
株洲市,06-01_to_08-31,30.592237464341554
桂林市,06-01_to_08-31,28.359309145164616
梅州市,06-01_to_08-31,29.657881603661853
梧州市,06-01_to_08-31,30.071656150986666
楚雄彝族自治州,06-01_to_08-31,23.55146862166072
榆林市,06-01_to_08-31,27.09640548838221
武威市,06-01_to_08-31,24.840145146283355
武汉市,06-01_to_08-31,30.77483433658705
毕节市,06-01_to_08-31,23.440703778193704
永州市,06-01_to_08-31,29.622694104828202
汉中市,06-01_to_08-31,24.797576012717563
汕头市,06-01_to_08-31,29.586585439883986
汕尾市,06-01_to_08-31,29.215953954892786
江门市,06-01_to_08-31,30.14990423742796
池州市,06-01_to_08-31,30.039167253956137
沈阳市,06-01_to_08-31,27.52845538306716
沧州市,06-01_to_08-31,30.836532624696936
河池市,06-01_to_08-31,28.198541401055397
河源市,06-01_to_08-31,29.45490592691483
泉州市,06-01_to_08-31,28.861555008370292
泰安市,06-01_to_08-31,29.7738690631249
泰州市,06-01_to_08-31,29.86275647610084
泸州市,06-01_to_08-31,27.82926949066132
洛阳市,06-01_to_08-31,28.13188109820454
济南市,06-01_to_08-31,29.890466736554387
济宁市,06-01_to_08-31,30.265317726362237
济源市,06-01_to_08-31,28.380725275247638
海东市,06-01_to_08-31,19.02407581481467
海北藏族自治州,06-01_to_08-31,12.443521224015553
海南藏族自治州,06-01_to_08-31,15.354689749491689
海口市,06-01_to_08-31,31.37832003930553
海西蒙古族藏族自治州,06-01_to_08-31,15.197624394803833
淄博市,06-01_to_08-31,29.31072286667312
淮北市,06-01_to_08-31,30.424163243812636
淮南市,06-01_to_08-31,30.382915358586573
淮安市,06-01_to_08-31,29.72910036753343
深圳市,06-01_to_08-31,29.67292200928529
清远市,06-01_to_08-31,29.22085704205806
温州市,06-01_to_08-31,28.66304509897774
渭南市,06-01_to_08-31,29.540100220591725
湖州市,06-01_to_08-31,30.144979046833377
湘潭市,06-01_to_08-31,31.24047314127689
湘西土家族苗族自治州,06-01_to_08-31,28.0582267085532
湛江市,06-01_to_08-31,30.965496709417934
滁州市,06-01_to_08-31,29.946524454136064
滨州市,06-01_to_08-31,30.736192730548417
漯河市,06-01_to_08-31,30.763074384751448
漳州市,06-01_to_08-31,29.068997819984087
潍坊市,06-01_to_08-31,29.431019536155418
潜江市,06-01_to_08-31,30.563301013013138
潮州市,06-01_to_08-31,29.240196604487924
澄迈县,06-01_to_08-31,31.582233625835915
濮阳市,06-01_to_08-31,31.04601719633054
烟台市,06-01_to_08-31,27.97694000344767
焦作市,06-01_to_08-31,29.82918276097484
牡丹江市,06-01_to_08-31,23.23557004284888
玉林市,06-01_to_08-31,30.135346929118125
玉树藏族自治州,06-01_to_08-31,10.106896694279905
玉溪市,06-01_to_08-31,24.20658073443611
珠海市,06-01_to_08-31,29.57476502540239
琼中黎族苗族自治县,06-01_to_08-31,29.685282567527306
琼海市,06-01_to_08-31,30.97842711248466
甘南藏族自治州,06-01_to_08-31,15.085920312050838
甘孜藏族自治州,06-01_to_08-31,13.13438865262477
白城市,06-01_to_08-31,27.273000769356404
