region_name,date,temp_min_anomaly
澳门特别行政区,2007-05-25,
香港特别行政区,2007-05-25,0.624946709521442
北京市,2007-05-25,-6.671084051981566
上海市,2007-05-25,-3.2053957071252093
天津市,2007-05-25,-4.511690460416517
重庆市,2007-05-25,-4.331758102526031
白沙黎族自治县,2007-05-25,0.37314337766806105
保亭黎族苗族自治县,2007-05-25,0.7436185699612494
昌江黎族自治县,2007-05-25,0.39897633833554025
澄迈县,2007-05-25,-0.2540417350114623
定安县,2007-05-25,-0.3107340269759966
东方市,2007-05-25,0.41097630813843367
济源市,2007-05-25,-3.051765227099871
乐东黎族自治县,2007-05-25,0.8161007886915357
临高县,2007-05-25,-0.2297179313444495
陵水黎族自治县,2007-05-25,0.6831724764247085
潜江市,2007-05-25,-3.6046817057148743
琼海市,2007-05-25,-0.07531611151337714
琼中黎族苗族自治县,2007-05-25,0.14861902699081497
神农架林区,2007-05-25,-3.771111739002402
台湾省,2007-05-25,-0.7409924663806322
天门市,2007-05-25,-2.86938459528562
屯昌县,2007-05-25,-0.26846286337890035
万宁市,2007-05-25,0.28016677957936054
文昌市,2007-05-25,0.39001824255257134
五指山市,2007-05-25,0.6610901730045846
仙桃市,2007-05-25,-3.101235937225507
石家庄市,2007-05-25,-2.134886085786203
唐山市,2007-05-25,-5.738993319969657
秦皇岛市,2007-05-25,-4.310304034303936
邯郸市,2007-05-25,-2.312822095543762
邢台市,2007-05-25,-2.8243359363807805
保定市,2007-05-25,-4.414760571567925
张家口市,2007-05-25,-5.670450007620979
承德市,2007-05-25,-6.739481499575825
沧州市,2007-05-25,-2.268728724736974
廊坊市,2007-05-25,-4.362269190932288
衡水市,2007-05-25,-2.218764427131628
太原市,2007-05-25,-3.92365186044276
大同市,2007-05-25,-4.325232010787909
阳泉市,2007-05-25,-1.7764235359184166
长治市,2007-05-25,-2.398612963024803
晋城市,2007-05-25,-1.9517234722709862
朔州市,2007-05-25,-3.5829166321152037
晋中市,2007-05-25,-2.334130635677324
运城市,2007-05-25,-0.6724591739864643
忻州市,2007-05-25,-2.9995910651336164
临汾市,2007-05-25,-0.9281554710037554
吕梁市,2007-05-25,-2.5973571743252784
沈阳市,2007-05-25,-6.935096696801494
大连市,2007-05-25,-4.298016963914975
鞍山市,2007-05-25,-7.622600408058441
抚顺市,2007-05-25,-7.963723467344336
本溪市,2007-05-25,-8.37182207334164
丹东市,2007-05-25,-7.281198748197223
锦州市,2007-05-25,-8.615838970495204
营口市,2007-05-25,-5.702930147262842
阜新市,2007-05-25,-6.211688073685515
辽阳市,2007-05-25,-7.732272730698707
盘锦市,2007-05-25,-8.986912732143395
铁岭市,2007-05-25,-7.59850708440235
朝阳市,2007-05-25,-8.302970639009747
葫芦岛市,2007-05-25,-5.697121030107743
长春市,2007-05-25,-7.443333834423829
吉林市,2007-05-25,-9.053108511366052
四平市,2007-05-25,-6.7699707043834305
辽源市,2007-05-25,-7.72032766644395
通化市,2007-05-25,-8.104882400355379
白山市,2007-05-25,-9.11518811132257
松原市,2007-05-25,-7.378598355666799
白城市,2007-05-25,-7.117200459006048
延边朝鲜族自治州,2007-05-25,-9.339358917339542
哈尔滨市,2007-05-25,-9.294620083577957
齐齐哈尔市,2007-05-25,-6.56140924189342
鸡西市,2007-05-25,-8.920403052439536
鹤岗市,2007-05-25,-8.038758715380887
双鸭山市,2007-05-25,-9.242226075372852
大庆市,2007-05-25,-8.932362976109989
伊春市,2007-05-25,-7.340925988056658
佳木斯市,2007-05-25,-8.753514011149099
七台河市,2007-05-25,-8.19234458566058
牡丹江市,2007-05-25,-9.131486645399779
黑河市,2007-05-25,-6.888550062758607
绥化市,2007-05-25,-8.478387959881548
大兴安岭地区,2007-05-25,-5.919694307050414
南京市,2007-05-25,-3.1486947416829487
无锡市,2007-05-25,-2.42519321719913
徐州市,2007-05-25,-1.3228342959493666
常州市,2007-05-25,-3.2016666145596666
苏州市,2007-05-25,-2.4436277879138864
南通市,2007-05-25,-1.4365884049184459
连云港市,2007-05-25,-1.4295577650251339
淮安市,2007-05-25,-1.6705571171734306
盐城市,2007-05-25,-1.8591314042135565
扬州市,2007-05-25,-1.8099695791522201
镇江市,2007-05-25,-2.7038611769199683
泰州市,2007-05-25,-1.4972936367255052
宿迁市,2007-05-25,-1.36147106204184
杭州市,2007-05-25,-3.131653678872027
宁波市,2007-05-25,-4.117083702217631
温州市,2007-05-25,-3.445868161403478
嘉兴市,2007-05-25,-2.9500473570985477
湖州市,2007-05-25,-3.442532366728784
绍兴市,2007-05-25,-3.503886146574075
金华市,2007-05-25,-2.8248318461459085
衢州市,2007-05-25,-2.8742675582727415
舟山市,2007-05-25,-4.045573487592719
台州市,2007-05-25,-4.12534101161657
丽水市,2007-05-25,-2.5795973592884494
合肥市,2007-05-25,-2.653660514259748
芜湖市,2007-05-25,-3.678194828848987
蚌埠市,2007-05-25,-2.0443110731980525
淮南市,2007-05-25,-2.5282417085360542
马鞍山市,2007-05-25,-3.347675518568721
淮北市,2007-05-25,-1.13909300313869
铜陵市,2007-05-25,-3.173100462999095
安庆市,2007-05-25,-2.7514590307563616
黄山市,2007-05-25,-3.6900289361910303
滁州市,2007-05-25,-2.5417631503226232
阜阳市,2007-05-25,-2.3549848606899744
宿州市,2007-05-25,-1.2501004682298245
六安市,2007-05-25,-3.1158656040023516
亳州市,2007-05-25,-1.751883339978363
池州市,2007-05-25,-3.4008157583067913
宣城市,2007-05-25,-4.05657082309671
福州市,2007-05-25,-2.3132196058207732
厦门市,2007-05-25,0.47933348115691743
莆田市,2007-05-25,-1.6210836712819976
三明市,2007-05-25,-1.042489490999369
泉州市,2007-05-25,-0.36150646934635944
漳州市,2007-05-25,0.6040649925690111
南平市,2007-05-25,-1.0936683436160912
