region_name,date,temp_min_anomaly
澳门特别行政区,1984-05-25,
香港特别行政区,1984-05-25,-3.1426626389448913
北京市,1984-05-25,-6.0958755269044715
上海市,1984-05-25,-5.232974175182314
天津市,1984-05-25,-7.813680083059067
重庆市,1984-05-25,-4.911652574251034
白沙黎族自治县,1984-05-25,-0.8233005841738787
保亭黎族苗族自治县,1984-05-25,-0.7669852715810208
昌江黎族自治县,1984-05-25,-1.4968600226378435
澄迈县,1984-05-25,-1.2835241931776302
定安县,1984-05-25,-1.5890673654108127
东方市,1984-05-25,-1.7376559271119802
济源市,1984-05-25,-5.649659027206617
乐东黎族自治县,1984-05-25,-1.130351088360893
临高县,1984-05-25,-1.2622924585955317
陵水黎族自治县,1984-05-25,-1.140966668760644
潜江市,1984-05-25,-6.932520318157817
琼海市,1984-05-25,-1.7712761891543813
琼中黎族苗族自治县,1984-05-25,-0.8527962388856878
神农架林区,1984-05-25,-4.715190467254015
台湾省,1984-05-25,-0.8613283253132664
天门市,1984-05-25,-6.895684322625037
屯昌县,1984-05-25,-1.1247930783099065
万宁市,1984-05-25,-1.5209999814790045
文昌市,1984-05-25,-1.9813387943419798
五指山市,1984-05-25,-0.6658614129106439
仙桃市,1984-05-25,-7.026888602507761
石家庄市,1984-05-25,-7.745667087393139
唐山市,1984-05-25,-8.351688891318922
秦皇岛市,1984-05-25,-7.930435601714866
邯郸市,1984-05-25,-6.173578473862037
邢台市,1984-05-25,-6.401810584008617
保定市,1984-05-25,-6.453834328566126
张家口市,1984-05-25,-6.5506621958156765
承德市,1984-05-25,-5.68131662943448
沧州市,1984-05-25,-8.008654060555815
廊坊市,1984-05-25,-6.815632218425698
衡水市,1984-05-25,-7.3359451644414815
太原市,1984-05-25,-6.193203192919503
大同市,1984-05-25,-6.834045669368194
阳泉市,1984-05-25,-7.096890615984169
长治市,1984-05-25,-5.644180412434116
晋城市,1984-05-25,-5.559973218723041
朔州市,1984-05-25,-7.8644820410814615
晋中市,1984-05-25,-5.753045512095548
运城市,1984-05-25,-5.6417111749964075
忻州市,1984-05-25,-7.01993869672952
临汾市,1984-05-25,-4.9242103458705255
吕梁市,1984-05-25,-5.57075718189653
沈阳市,1984-05-25,-5.188799477789711
大连市,1984-05-25,-6.36777934003703
鞍山市,1984-05-25,-5.855183866240342
抚顺市,1984-05-25,-4.372419755678337
本溪市,1984-05-25,-5.618586837453025
丹东市,1984-05-25,-5.987079249344257
锦州市,1984-05-25,-5.62924361045644
营口市,1984-05-25,-6.015737402659807
阜新市,1984-05-25,-5.758975487166968
辽阳市,1984-05-25,-6.028236216461405
盘锦市,1984-05-25,-5.399053589620008
铁岭市,1984-05-25,-3.863466596300764
朝阳市,1984-05-25,-6.147417732750164
葫芦岛市,1984-05-25,-6.927056953742531
长春市,1984-05-25,-1.6168008732477706
吉林市,1984-05-25,-3.4107974039122464
四平市,1984-05-25,-3.5188449939510384
辽源市,1984-05-25,-2.708780575750513
通化市,1984-05-25,-3.9570187676049553
白山市,1984-05-25,-3.9444557808368845
松原市,1984-05-25,-3.2413472232452634
白城市,1984-05-25,-3.6377768706857925
延边朝鲜族自治州,1984-05-25,-5.11362346036395
哈尔滨市,1984-05-25,-1.7640358447100315
齐齐哈尔市,1984-05-25,-1.378066600966461
鸡西市,1984-05-25,-1.8140621022600492
鹤岗市,1984-05-25,-0.6250100840380064
双鸭山市,1984-05-25,-0.8726853662133518
大庆市,1984-05-25,-3.4950435938507667
伊春市,1984-05-25,-1.3011983345702411
佳木斯市,1984-05-25,-0.5679133766793907
七台河市,1984-05-25,-1.7700742005887466
牡丹江市,1984-05-25,-3.71297553681306
黑河市,1984-05-25,-1.209261730332285
绥化市,1984-05-25,-1.896431592152629
大兴安岭地区,1984-05-25,-2.6999785729621504
南京市,1984-05-25,-6.722158856053703
无锡市,1984-05-25,-6.08193471489313
徐州市,1984-05-25,-7.83317331306711
常州市,1984-05-25,-6.278414341766915
苏州市,1984-05-25,-5.4598359159735566
南通市,1984-05-25,-5.932502939813425
连云港市,1984-05-25,-7.3404806897915655
淮安市,1984-05-25,-5.710407763529997
盐城市,1984-05-25,-6.345376531926668
扬州市,1984-05-25,-5.752010798596633
镇江市,1984-05-25,-6.092992217966184
泰州市,1984-05-25,-6.020643986217511
宿迁市,1984-05-25,-6.051317046090283
杭州市,1984-05-25,-4.089301555153412
宁波市,1984-05-25,-5.3445880731643065
温州市,1984-05-25,-4.020931013175527
嘉兴市,1984-05-25,-5.334517089413044
湖州市,1984-05-25,-4.468590508774234
绍兴市,1984-05-25,-4.299388074528981
金华市,1984-05-25,-4.04241917881744
衢州市,1984-05-25,-3.726162799978834
舟山市,1984-05-25,-5.425373478621559
台州市,1984-05-25,-4.684755458671301
丽水市,1984-05-25,-3.1463283560692084
合肥市,1984-05-25,-7.892691154390132
芜湖市,1984-05-25,-7.050706458532904
蚌埠市,1984-05-25,-6.781686869687103
淮南市,1984-05-25,-8.149527255315926
马鞍山市,1984-05-25,-7.375888191232615
淮北市,1984-05-25,-8.147874508508805
铜陵市,1984-05-25,-6.771162990765077
安庆市,1984-05-25,-5.556552331431128
黄山市,1984-05-25,-5.0713421926059645
滁州市,1984-05-25,-7.056828138621334
阜阳市,1984-05-25,-8.964972554128938
宿州市,1984-05-25,-7.422337034321629
六安市,1984-05-25,-7.043752450714328
亳州市,1984-05-25,-8.695980324954775
池州市,1984-05-25,-5.968997949579627
宣城市,1984-05-25,-5.33304894640359
福州市,1984-05-25,-3.106856043546749
厦门市,1984-05-25,-2.5753013625571803
莆田市,1984-05-25,-2.4702880968424665
三明市,1984-05-25,-2.787919376667091
泉州市,1984-05-25,-2.4228089639710433
漳州市,1984-05-25,-2.1281027099024747
南平市,1984-05-25,-3.045926927734122
龙岩市,1984-05-25,-1.751982100764259
宁德市,1984-05-25,-2.8675704321819957
南昌市,1984-05-25,-5.061725639476471
景德镇市,1984-05-25,-4.887617070648318
萍乡市,1984-05-25,-4.4637026190391005
九江市,1984-05-25,-5.443174447325912
新余市,1984-05-25,-4.714026837781422
鹰潭市,1984-05-25,-4.370849944699138
赣州市,1984-05-25,-3.6387821941248895
吉安市,1984-05-25,-4.812334026813655
宜春市,1984-05-25,-4.722096310170539
抚州市,1984-05-25,-4.6122905020953375
上饶市,1984-05-25,-4.233132167169213
济南市,1984-05-25,-8.979058595054196
青岛市,1984-05-25,-7.647666618541688
淄博市,1984-05-25,-10.225745075228605
枣庄市,1984-05-25,-8.291926716592707
东营市,1984-05-25,-10.23598421955343
烟台市,1984-05-25,-7.739840516217894
潍坊市,1984-05-25,-9.725864060016017
济宁市,1984-05-25,-9.198674546823328
泰安市,1984-05-25,-8.917785141610993
威海市,1984-05-25,-7.046034563766948
日照市,1984-05-25,-9.331341104706562
临沂市,1984-05-25,-8.758158151732236
德州市,1984-05-25,-7.943340790396551
聊城市,1984-05-25,-7.199644194750208
滨州市,1984-05-25,-9.885011748988626
菏泽市,1984-05-25,-8.044894266739608
郑州市,1984-05-25,-7.006447310414908
开封市,1984-05-25,-7.493679417979971
洛阳市,1984-05-25,-6.068239382631633
平顶山市,1984-05-25,-7.62857275452062
安阳市,1984-05-25,-6.262062810170892
鹤壁市,1984-05-25,-6.075526696029488
新乡市,1984-05-25,-6.549141741252971
焦作市,1984-05-25,-6.220171838753313
濮阳市,1984-05-25,-6.98629038635884
许昌市,1984-05-25,-7.500360858266353
漯河市,1984-05-25,-7.360968427599632
三门峡市,1984-05-25,-5.244830477315766
南阳市,1984-05-25,-7.082548109483005
商丘市,1984-05-25,-8.934654526833322
信阳市,1984-05-25,-8.141215421268013
周口市,1984-05-25,-8.586486760934417
驻马店市,1984-05-25,-8.33731116372647
武汉市,1984-05-25,-7.656563717764694
黄石市,1984-05-25,-6.066080086676319
十堰市,1984-05-25,-5.64220569540662
宜昌市,1984-05-25,-4.934848993668435
襄阳市,1984-05-25,-6.152252261132162
鄂州市,1984-05-25,-6.8989325005263495
荆门市,1984-05-25,-6.5130411083161555
孝感市,1984-05-25,-7.746647164702463
荆州市,1984-05-25,-6.364100022214963
黄冈市,1984-05-25,-6.338918292829391
