region_name,date,temp_min_anomaly
澳门特别行政区,1997-05-25,
香港特别行政区,1997-05-25,-4.1951579499132166
北京市,1997-05-25,-5.975371508272243
上海市,1997-05-25,-5.30994035627797
天津市,1997-05-25,-6.433888427603616
重庆市,1997-05-25,-4.090057920583565
白沙黎族自治县,1997-05-25,-1.1112078529075298
保亭黎族苗族自治县,1997-05-25,-1.2827581379289619
昌江黎族自治县,1997-05-25,-1.5719846571848812
澄迈县,1997-05-25,-1.2744879316964202
定安县,1997-05-25,-1.4013182394104966
东方市,1997-05-25,-1.6633315526470405
济源市,1997-05-25,-3.771998400826714
乐东黎族自治县,1997-05-25,-1.6588928619332002
临高县,1997-05-25,-1.3164973464281395
陵水黎族自治县,1997-05-25,-1.1297190633174417
潜江市,1997-05-25,-2.568808967879594
琼海市,1997-05-25,-1.38624852199775
琼中黎族苗族自治县,1997-05-25,-1.0401630454611812
神农架林区,1997-05-25,-3.8437953599790173
台湾省,1997-05-25,-3.8665097985057066
天门市,1997-05-25,-2.9057347990236018
屯昌县,1997-05-25,-1.013099254337611
万宁市,1997-05-25,-1.3309345166269715
文昌市,1997-05-25,-2.4415604944430243
五指山市,1997-05-25,-1.1563916415442073
仙桃市,1997-05-25,-2.2589603758167804
石家庄市,1997-05-25,-4.4962887675671155
唐山市,1997-05-25,-5.385620996553346
秦皇岛市,1997-05-25,-6.15698261734709
邯郸市,1997-05-25,-3.1940279110212195
邢台市,1997-05-25,-4.114707272118913
保定市,1997-05-25,-5.411396669512916
张家口市,1997-05-25,-4.476919844143877
承德市,1997-05-25,-4.502516843984047
沧州市,1997-05-25,-6.279197438481701
廊坊市,1997-05-25,-6.537745386661879
衡水市,1997-05-25,-6.293343566224339
太原市,1997-05-25,-5.648873871823124
大同市,1997-05-25,-5.8256083487338515
阳泉市,1997-05-25,-5.268195892569228
长治市,1997-05-25,-5.481789943497425
晋城市,1997-05-25,-4.6970972403648865
朔州市,1997-05-25,-7.022891080545008
晋中市,1997-05-25,-4.988598677982566
运城市,1997-05-25,-3.434217419372615
忻州市,1997-05-25,-6.981251255995994
临汾市,1997-05-25,-5.0751581705873345
吕梁市,1997-05-25,-5.691086816003024
沈阳市,1997-05-25,-8.226720334328094
大连市,1997-05-25,-7.9598648705713
鞍山市,1997-05-25,-8.466238310837817
抚顺市,1997-05-25,-9.435045650753237
本溪市,1997-05-25,-9.69155265831926
丹东市,1997-05-25,-9.024653051885695
锦州市,1997-05-25,-8.634388520478605
营口市,1997-05-25,-8.329046036461026
阜新市,1997-05-25,-7.8127081342459945
辽阳市,1997-05-25,-8.950129921638093
盘锦市,1997-05-25,-8.56167048144102
铁岭市,1997-05-25,-7.591621929060457
朝阳市,1997-05-25,-5.02325671630674
葫芦岛市,1997-05-25,-6.675775929222532
长春市,1997-05-25,-8.289604320339599
吉林市,1997-05-25,-9.487085289471663
四平市,1997-05-25,-7.620811229561049
辽源市,1997-05-25,-8.88208995575258
通化市,1997-05-25,-10.368557279081166
白山市,1997-05-25,-11.367768337157516
松原市,1997-05-25,-7.441159388392757
白城市,1997-05-25,-7.082526912323582
延边朝鲜族自治州,1997-05-25,-8.98389214962126
哈尔滨市,1997-05-25,-7.784503655955245
齐齐哈尔市,1997-05-25,-6.831048883408885
鸡西市,1997-05-25,-7.0010930074472295
鹤岗市,1997-05-25,-7.106984376750331
双鸭山市,1997-05-25,-6.104392853416044
大庆市,1997-05-25,-8.14684737584326
伊春市,1997-05-25,-6.1708724683400895
佳木斯市,1997-05-25,-6.9079058235619435
七台河市,1997-05-25,-7.533018935497175
牡丹江市,1997-05-25,-7.470748413758069
黑河市,1997-05-25,-5.8500639301769315
绥化市,1997-05-25,-6.89252586949166
大兴安岭地区,1997-05-25,-2.3825419627703237
南京市,1997-05-25,-4.820661052983741
无锡市,1997-05-25,-4.5595711301195365
徐州市,1997-05-25,-1.5750126100870432
常州市,1997-05-25,-5.591951078346263
苏州市,1997-05-25,-4.653347855844778
南通市,1997-05-25,-4.310290232618712
连云港市,1997-05-25,-2.712005419491458
淮安市,1997-05-25,-2.4220089643000833
盐城市,1997-05-25,-3.0922355188008446
扬州市,1997-05-25,-3.605115712699572
镇江市,1997-05-25,-5.122314869562864
泰州市,1997-05-25,-4.164954397379649
宿迁市,1997-05-25,-1.955912989411079
杭州市,1997-05-25,-6.342782805356833
宁波市,1997-05-25,-8.566422280458527
温州市,1997-05-25,-10.766166091311142
嘉兴市,1997-05-25,-5.896689436077402
湖州市,1997-05-25,-7.100393172421203
绍兴市,1997-05-25,-9.184502946780487
金华市,1997-05-25,-9.169490762691241
衢州市,1997-05-25,-5.990784966477456
舟山市,1997-05-25,-5.62981834992776
台州市,1997-05-25,-10.377438067503725
丽水市,1997-05-25,-8.484097625776565
合肥市,1997-05-25,-3.190482947965421
芜湖市,1997-05-25,-5.252802722779194
蚌埠市,1997-05-25,-1.6818181563204142
淮南市,1997-05-25,-2.6220271244728224
马鞍山市,1997-05-25,-4.415742181777027
淮北市,1997-05-25,-0.43394905818707485
铜陵市,1997-05-25,-5.211969612045607
安庆市,1997-05-25,-3.717641977426201
黄山市,1997-05-25,-5.121323484329778
滁州市,1997-05-25,-3.0413430476374224
阜阳市,1997-05-25,-0.4838654550250041
宿州市,1997-05-25,-1.0476611342862938
六安市,1997-05-25,-3.4621401444130804
亳州市,1997-05-25,-0.30903898446979383
池州市,1997-05-25,-5.623181240268124
宣城市,1997-05-25,-6.659129928211419
福州市,1997-05-25,-9.50227058224499
厦门市,1997-05-25,-10.973852432826597
莆田市,1997-05-25,-11.051209877923613
三明市,1997-05-25,-6.873253334479303
泉州市,1997-05-25,-9.709721212977628
漳州市,1997-05-25,-8.03236556208559
南平市,1997-05-25,-7.121498066629636
龙岩市,1997-05-25,-5.3361629258591705
宁德市,1997-05-25,-10.07188018666041
南昌市,1997-05-25,-5.626487243815969
