region_name,date,temp_min_anomaly
澳门特别行政区,2005-05-25,
香港特别行政区,2005-05-25,-1.7715480313986305
北京市,2005-05-25,-7.616819846874035
上海市,2005-05-25,-6.388998206095472
天津市,2005-05-25,-5.641360574491793
重庆市,2005-05-25,-3.598614204565216
白沙黎族自治县,2005-05-25,0.578190734682714
保亭黎族苗族自治县,2005-05-25,0.37840763022535384
昌江黎族自治县,2005-05-25,1.2016901443328365
澄迈县,2005-05-25,0.5614730552915432
定安县,2005-05-25,0.9248241230813044
东方市,2005-05-25,1.4101237220277163
济源市,2005-05-25,-3.6091124728636856
乐东黎族自治县,2005-05-25,0.7891811865540141
临高县,2005-05-25,0.39278237329498467
陵水黎族自治县,2005-05-25,0.6617736540263373
潜江市,2005-05-25,-5.486535715548328
琼海市,2005-05-25,0.7986772190500417
琼中黎族苗族自治县,2005-05-25,0.5385531704290756
神农架林区,2005-05-25,-4.437298111223242
台湾省,2005-05-25,-1.278986712923988
天门市,2005-05-25,-5.720408196258333
屯昌县,2005-05-25,0.6442430122988583
万宁市,2005-05-25,0.6700809127436216
文昌市,2005-05-25,0.740703161813542
五指山市,2005-05-25,0.33877045793839144
仙桃市,2005-05-25,-5.27836856660026
石家庄市,2005-05-25,-5.307098165314525
唐山市,2005-05-25,-5.750745234138561
秦皇岛市,2005-05-25,-5.96341800599472
邯郸市,2005-05-25,-5.01630368848468
邢台市,2005-05-25,-4.898411750924762
保定市,2005-05-25,-5.640613577484432
张家口市,2005-05-25,-8.325094387945555
承德市,2005-05-25,-9.379493804316564
沧州市,2005-05-25,-3.9026271390893825
廊坊市,2005-05-25,-5.180953423846773
衡水市,2005-05-25,-4.175024078404743
太原市,2005-05-25,-2.6661097401800777
大同市,2005-05-25,-6.721302838387184
阳泉市,2005-05-25,-4.172937282091446
长治市,2005-05-25,-3.479893746943599
晋城市,2005-05-25,-4.129150175639893
朔州市,2005-05-25,-6.0924519157930845
晋中市,2005-05-25,-4.091880975028179
运城市,2005-05-25,-2.8034777812515053
忻州市,2005-05-25,-4.487458633925341
临汾市,2005-05-25,-3.078647025402242
吕梁市,2005-05-25,-3.1367217018286055
沈阳市,2005-05-25,-7.3801229164094995
大连市,2005-05-25,-5.8688102982065615
鞍山市,2005-05-25,-6.682151258234791
抚顺市,2005-05-25,-5.78478108043293
本溪市,2005-05-25,-6.088426135674792
丹东市,2005-05-25,-6.465257866354056
锦州市,2005-05-25,-8.392058421424188
营口市,2005-05-25,-5.130874361639412
阜新市,2005-05-25,-5.826304788788569
辽阳市,2005-05-25,-7.144123755635958
盘锦市,2005-05-25,-8.426877504460471
铁岭市,2005-05-25,-6.7263624195749365
朝阳市,2005-05-25,-7.844670726978293
葫芦岛市,2005-05-25,-6.906155834468468
长春市,2005-05-25,-5.734814118015873
吉林市,2005-05-25,-4.89478159735058
四平市,2005-05-25,-5.813592056202086
辽源市,2005-05-25,-5.583501718792405
通化市,2005-05-25,-4.352092978051488
白山市,2005-05-25,-4.1179201523073665
松原市,2005-05-25,-5.339831527088437
白城市,2005-05-25,-4.717812417943362
延边朝鲜族自治州,2005-05-25,-5.503889459707912
哈尔滨市,2005-05-25,-4.599710741226071
齐齐哈尔市,2005-05-25,-6.445348586359106
鸡西市,2005-05-25,-5.5755225250060345
鹤岗市,2005-05-25,-6.035370805797594
双鸭山市,2005-05-25,-5.117987891092268
大庆市,2005-05-25,-7.310948906517718
伊春市,2005-05-25,-5.773550993886497
佳木斯市,2005-05-25,-5.203494805968351
七台河市,2005-05-25,-5.45965881731318
牡丹江市,2005-05-25,-5.442830259002546
黑河市,2005-05-25,-6.534449422455429
绥化市,2005-05-25,-4.834485388954226
大兴安岭地区,2005-05-25,-10.591506780684698
南京市,2005-05-25,-6.330363873557438
无锡市,2005-05-25,-6.790360753053598
徐州市,2005-05-25,-4.656587146910393
常州市,2005-05-25,-6.457447789145096
苏州市,2005-05-25,-7.141738710388033
南通市,2005-05-25,-6.777597992841663
连云港市,2005-05-25,-6.262940133166243
淮安市,2005-05-25,-6.24700305956625
盐城市,2005-05-25,-6.6138955874721965
扬州市,2005-05-25,-6.495184577104055
镇江市,2005-05-25,-6.390657871842354
泰州市,2005-05-25,-6.926917262552118
宿迁市,2005-05-25,-5.643832023189468
杭州市,2005-05-25,-7.63702022895006
宁波市,2005-05-25,-7.773672874628192
温州市,2005-05-25,-7.679157069402658
嘉兴市,2005-05-25,-6.466581780926667
湖州市,2005-05-25,-7.18075959181934
绍兴市,2005-05-25,-8.115366970870754
金华市,2005-05-25,-8.458629558939778
衢州市,2005-05-25,-6.793247185172316
舟山市,2005-05-25,-5.874170226864816
台州市,2005-05-25,-8.123162406319295
丽水市,2005-05-25,-7.077493165170706
合肥市,2005-05-25,-5.757803823778133
芜湖市,2005-05-25,-6.534646783397989
蚌埠市,2005-05-25,-5.023566793726921
淮南市,2005-05-25,-5.249230280459425
马鞍山市,2005-05-25,-6.5141086494309945
淮北市,2005-05-25,-4.382368591882685
铜陵市,2005-05-25,-6.010771250956285
安庆市,2005-05-25,-5.669119053519104
黄山市,2005-05-25,-6.656338374275331
滁州市,2005-05-25,-5.851255730286709
阜阳市,2005-05-25,-5.452734404835052
宿州市,2005-05-25,-4.457914358422702
六安市,2005-05-25,-5.6281027541627076
亳州市,2005-05-25,-4.572277129663661
池州市,2005-05-25,-6.085419798342489
宣城市,2005-05-25,-6.811572526784557
福州市,2005-05-25,-5.833650646169673
厦门市,2005-05-25,-4.427791686689762
莆田市,2005-05-25,-5.318521311242282
三明市,2005-05-25,-3.7287014983774576
泉州市,2005-05-25,-4.375730584803037
漳州市,2005-05-25,-3.4256049650034583
南平市,2005-05-25,-4.515468251816394
龙岩市,2005-05-25,-2.061860696688793
宁德市,2005-05-25,-6.4284797012512325
南昌市,2005-05-25,-5.318103308998396
景德镇市,2005-05-25,-6.329561366426191
萍乡市,2005-05-25,-3.1841427726014935
九江市,2005-05-25,-5.150961463753848
新余市,2005-05-25,-3.906628128673759
鹰潭市,2005-05-25,-4.363411283241071
赣州市,2005-05-25,-2.083231206266408
吉安市,2005-05-25,-3.4024025027095597
宜春市,2005-05-25,-4.130598060140031
抚州市,2005-05-25,-3.6969854888330076
上饶市,2005-05-25,-5.591859563404391
济南市,2005-05-25,-4.282594936631202
青岛市,2005-05-25,-5.016554261032226
淄博市,2005-05-25,-4.159942862943737
枣庄市,2005-05-25,-4.548449620328157
东营市,2005-05-25,-3.606983943707089
烟台市,2005-05-25,-3.543998301480208
潍坊市,2005-05-25,-4.410687343372487
济宁市,2005-05-25,-4.263673797316798
泰安市,2005-05-25,-5.266108186522649
威海市,2005-05-25,-4.028037020936761
日照市,2005-05-25,-6.321143014428388
临沂市,2005-05-25,-6.071138627555097
德州市,2005-05-25,-3.3467078275939954
聊城市,2005-05-25,-4.203379174857712
滨州市,2005-05-25,-3.426864434639512
菏泽市,2005-05-25,-3.959912370358971
郑州市,2005-05-25,-5.068923951517267
开封市,2005-05-25,-6.3192202863711096
洛阳市,2005-05-25,-3.098362856613356
平顶山市,2005-05-25,-3.925575977190256
安阳市,2005-05-25,-5.011458802203705
鹤壁市,2005-05-25,-4.983649640333795
新乡市,2005-05-25,-5.1644446128465304
焦作市,2005-05-25,-4.933391912513166
濮阳市,2005-05-25,-4.741825455729959
许昌市,2005-05-25,-5.692519755737571
漯河市,2005-05-25,-6.2548748136987555
三门峡市,2005-05-25,-3.129261934955604
南阳市,2005-05-25,-3.573437762685
商丘市,2005-05-25,-4.412834460147263
信阳市,2005-05-25,-5.527232827327634
周口市,2005-05-25,-6.067283673943141
驻马店市,2005-05-25,-5.395903114507824
武汉市,2005-05-25,-4.920013454920664
黄石市,2005-05-25,-5.274899689722613
十堰市,2005-05-25,-2.467046225098777
宜昌市,2005-05-25,-4.285427959233143
襄阳市,2005-05-25,-4.302405499147724
鄂州市,2005-05-25,-4.7333576775077155
荆门市,2005-05-25,-4.9766280424898355
孝感市,2005-05-25,-5.777382259979447
荆州市,2005-05-25,-4.498717599831256
黄冈市,2005-05-25,-5.68747589847813
咸宁市,2005-05-25,-4.479902142700052
随州市,2005-05-25,-5.562124845852491
恩施土家族苗族自治州,2005-05-25,-3.6303747108783213
长沙市,2005-05-25,-3.418582201096889
株洲市,2005-05-25,-2.591457764954054
湘潭市,2005-05-25,-3.1359846859648783
衡阳市,2005-05-25,-3.170467793587985
邵阳市,2005-05-25,-2.881391125415778
岳阳市,2005-05-25,-3.5897974097474865
常德市,2005-05-25,-3.6447232939707206
张家界市,2005-05-25,-3.2415009496569525
益阳市,2005-05-25,-3.0397756120002626
郴州市,2005-05-25,-2.0680258278595502
永州市,2005-05-25,-2.354369320872049
怀化市,2005-05-25,-2.8408685940729583
娄底市,2005-05-25,-3.0141195276583304
湘西土家族苗族自治州,2005-05-25,-3.9089456104027676
广州市,2005-05-25,-1.3258997905007917
韶关市,2005-05-25,-1.3394621211476334
深圳市,2005-05-25,-1.623299020720328
珠海市,2005-05-25,-1.0872550046153613
汕头市,2005-05-25,-2.91670720157202
佛山市,2005-05-25,-1.4207445763124973
江门市,2005-05-25,-1.0831135692268425
湛江市,2005-05-25,0.4394691007475373
茂名市,2005-05-25,-0.6834790757316647
肇庆市,2005-05-25,-1.20471707940424
惠州市,2005-05-25,-1.3850176532880027
梅州市,2005-05-25,-2.147494407102595
汕尾市,2005-05-25,-2.358294419497515
河源市,2005-05-25,-1.3787408794057292
阳江市,2005-05-25,-0.7475860775310608
清远市,2005-05-25,-1.4027719881906116
东莞市,2005-05-25,-1.2743492596006156
中山市,2005-05-25,-1.1544332633927077
潮州市,2005-05-25,-3.353490285426499
揭阳市,2005-05-25,-2.800969205244723
云浮市,2005-05-25,-0.7011975505907451
三沙市,2005-05-25,
海口市,2005-05-25,0.7349274645459829
三亚市,2005-05-25,0.558449930651097
儋州市,2005-05-25,0.5350176963797075
成都市,2005-05-25,-2.981052922055653
自贡市,2005-05-25,-3.4962596024450363
攀枝花市,2005-05-25,2.8375253426061136
泸州市,2005-05-25,-3.213138140876133
德阳市,2005-05-25,-3.4031890252061032
绵阳市,2005-05-25,-3.4704019908926593
广元市,2005-05-25,-2.972112727346273
遂宁市,2005-05-25,-2.9276075594039668
内江市,2005-05-25,-3.4053804723483054
乐山市,2005-05-25,-2.995122531637417
南充市,2005-05-25,-2.9081567472079826
眉山市,2005-05-25,-2.9587264548595016
宜宾市,2005-05-25,-3.368676400747731
广安市,2005-05-25,-3.3634491448495005
达州市,2005-05-25,-3.4130247824354214
雅安市,2005-05-25,-3.0560081487537882
巴中市,2005-05-25,-3.024644585120484
资阳市,2005-05-25,-3.129194644711621
阿坝藏族羌族自治州,2005-05-25,-3.583185286165773
甘孜藏族自治州,2005-05-25,-4.728197844082218
凉山彝族自治州,2005-05-25,-0.8432093407269399
贵阳市,2005-05-25,-1.7368659176396726
六盘水市,2005-05-25,-0.5923644323821051
