region_name,date,temp_min_anomaly,temp_min_anomaly_threshold,day,day_intensity
镇江市,2023-05-25,-4.778744188620866,,0,0.0
泰州市,2023-05-25,-4.965247664136296,,0,0.0
宿迁市,2023-05-25,-5.007086405294462,,0,0.0
杭州市,2023-05-25,-4.731196440815044,,0,0.0
宁波市,2023-05-25,-5.623937333325589,,0,0.0
温州市,2023-05-25,-4.369358544171259,,0,0.0
嘉兴市,2023-05-25,-5.523705312248243,,0,0.0
湖州市,2023-05-25,-5.459966832375439,,0,0.0
绍兴市,2023-05-25,-4.895600258393912,,0,0.0
金华市,2023-05-25,-4.175396022309489,,0,0.0
衢州市,2023-05-25,-3.778417373296744,,0,0.0
舟山市,2023-05-25,-5.428366976871068,,0,0.0
台州市,2023-05-25,-5.31881764707753,,0,0.0
丽水市,2023-05-25,-3.361339621748453,,0,0.0
合肥市,2023-05-25,-3.857758579830652,,0,0.0
芜湖市,2023-05-25,-4.511944514340552,,0,0.0
蚌埠市,2023-05-25,-4.702144778204023,,0,0.0
淮南市,2023-05-25,-3.808358342408116,,0,0.0
马鞍山市,2023-05-25,-4.561839754409778,,0,0.0
淮北市,2023-05-25,-5.136732618693589,,0,0.0
铜陵市,2023-05-25,-4.0904284564233,,0,0.0
安庆市,2023-05-25,-3.6141977441932873,,0,0.0
黄山市,2023-05-25,-4.374799460657471,,0,0.0
滁州市,2023-05-25,-4.379543507848766,,0,0.0
阜阳市,2023-05-25,-3.613964028493971,,0,0.0
宿州市,2023-05-25,-5.3229163184364765,,0,0.0
六安市,2023-05-25,-3.3538059246474496,,0,0.0
亳州市,2023-05-25,-4.263388704554451,,0,0.0
池州市,2023-05-25,-3.732810294695096,,0,0.0
宣城市,2023-05-25,-4.465484664119707,,0,0.0
福州市,2023-05-25,-3.1503913318715107,,0,0.0
厦门市,2023-05-25,-2.298148437178046,,0,0.0
莆田市,2023-05-25,-2.8483404541899944,,0,0.0
三明市,2023-05-25,-1.8316404551426475,,0,0.0
泉州市,2023-05-25,-2.018870177815778,,0,0.0
漳州市,2023-05-25,-1.4439581301131312,,0,0.0
南平市,2023-05-25,-3.706482860782735,,0,0.0
龙岩市,2023-05-25,-0.9546438963166572,,0,0.0
宁德市,2023-05-25,-3.06674829234612,,0,0.0
南昌市,2023-05-25,-3.885990763605197,,0,0.0
景德镇市,2023-05-25,-3.987770287920558,,0,0.0
萍乡市,2023-05-25,-2.040336651734318,,0,0.0
九江市,2023-05-25,-3.472804235276868,,0,0.0
新余市,2023-05-25,-2.4570576466721725,,0,0.0
鹰潭市,2023-05-25,-3.85520490277019,,0,0.0
赣州市,2023-05-25,-1.4784134495186656,,0,0.0
吉安市,2023-05-25,-1.7544442949338652,,0,0.0
宜春市,2023-05-25,-3.011007277544742,,0,0.0
抚州市,2023-05-25,-2.76166735369981,,0,0.0
上饶市,2023-05-25,-4.025157325600542,,0,0.0
济南市,2023-05-25,-6.17422901852186,,0,0.0
青岛市,2023-05-25,-6.190108270667592,,0,0.0
淄博市,2023-05-25,-6.198532259660881,,0,0.0
枣庄市,2023-05-25,-5.599932631350011,,0,0.0
东营市,2023-05-25,-5.834345377032069,,0,0.0
烟台市,2023-05-25,-5.638675218737664,,0,0.0
潍坊市,2023-05-25,-6.6448968858123205,,0,0.0
济宁市,2023-05-25,-5.762007333167293,,0,0.0
泰安市,2023-05-25,-6.5649032628729,,0,0.0
威海市,2023-05-25,-5.3521040077140505,,0,0.0
日照市,2023-05-25,-6.460110636969993,,0,0.0
临沂市,2023-05-25,-6.244546645124222,,0,0.0
德州市,2023-05-25,-5.364178317111488,,0,0.0
聊城市,2023-05-25,-5.111586458157593,,0,0.0
滨州市,2023-05-25,-6.219503616291554,,0,0.0
菏泽市,2023-05-25,-5.120554457809028,,0,0.0
郑州市,2023-05-25,-4.986806880013457,,0,0.0
开封市,2023-05-25,-4.849334007421479,,0,0.0
洛阳市,2023-05-25,-4.577763626454082,,0,0.0
平顶山市,2023-05-25,-4.068081049891269,,0,0.0
安阳市,2023-05-25,-4.143379592075387,,0,0.0
鹤壁市,2023-05-25,-4.2952740839356025,,0,0.0
新乡市,2023-05-25,-4.274621457754307,,0,0.0
焦作市,2023-05-25,-4.986241401853745,,0,0.0
濮阳市,2023-05-25,-4.819907559287376,,0,0.0
许昌市,2023-05-25,-4.12205003543632,,0,0.0
漯河市,2023-05-25,-3.522133502366984,,0,0.0
三门峡市,2023-05-25,-4.573711407518308,,0,0.0
南阳市,2023-05-25,-3.5504276336916725,,0,0.0
商丘市,2023-05-25,-4.924866692171396,,0,0.0
信阳市,2023-05-25,-3.096259884089648,,0,0.0
周口市,2023-05-25,-3.6863407687622143,,0,0.0
驻马店市,2023-05-25,-3.359081919988732,,0,0.0
武汉市,2023-05-25,-3.4332343508322083,,0,0.0
黄石市,2023-05-25,-3.3227646598871843,,0,0.0
十堰市,2023-05-25,-4.393767243032453,,0,0.0
宜昌市,2023-05-25,-2.827959384438578,,0,0.0
襄阳市,2023-05-25,-2.7852603702229217,,0,0.0
鄂州市,2023-05-25,-3.472724135120391,,0,0.0
荆门市,2023-05-25,-3.2527630804896788,,0,0.0
孝感市,2023-05-25,-3.269211286625339,,0,0.0
荆州市,2023-05-25,-2.76546920271781,,0,0.0
黄冈市,2023-05-25,-3.117398335609227,,0,0.0
咸宁市,2023-05-25,-2.864355589245214,,0,0.0
随州市,2023-05-25,-3.3090423336886587,,0,0.0
恩施土家族苗族自治州,2023-05-25,-2.1873118607095137,,0,0.0
长沙市,2023-05-25,-2.331522980319232,,0,0.0
株洲市,2023-05-25,-2.028843829428194,,0,0.0
湘潭市,2023-05-25,-1.8391581181985828,,0,0.0
衡阳市,2023-05-25,-1.936785308540152,,0,0.0
邵阳市,2023-05-25,-1.8265108716749907,,0,0.0
岳阳市,2023-05-25,-2.689529374918056,,0,0.0
常德市,2023-05-25,-2.398919115652113,,0,0.0
张家界市,2023-05-25,-2.400290246511694,,0,0.0
益阳市,2023-05-25,-2.051212182743257,,0,0.0
郴州市,2023-05-25,-1.0193997361872924,,0,0.0
永州市,2023-05-25,-1.4277981287680603,,0,0.0
怀化市,2023-05-25,-1.4558303753515425,,0,0.0
娄底市,2023-05-25,-1.811280293269565,,0,0.0
湘西土家族苗族自治州,2023-05-25,-1.8575451743739748,,0,0.0
广州市,2023-05-25,-0.0526440200087527,,0,0.0
韶关市,2023-05-25,-0.8225977597341867,,0,0.0
深圳市,2023-05-25,-0.0367899574419112,,0,0.0
珠海市,2023-05-25,-0.0243045475052667,,0,0.0
汕头市,2023-05-25,-1.40198081280505,,0,0.0
佛山市,2023-05-25,0.0395124901245331,,0,0.0
江门市,2023-05-25,0.2527156604148182,,0,0.0
湛江市,2023-05-25,0.5109656918132153,,0,0.0
茂名市,2023-05-25,0.5311434178743504,,0,0.0
肇庆市,2023-05-25,0.1791109485891837,,0,0.0
惠州市,2023-05-25,-0.4579196818946158,,0,0.0
梅州市,2023-05-25,-1.4612664930312356,,0,0.0
汕尾市,2023-05-25,-0.7548999393372959,,0,0.0
河源市,2023-05-25,-1.2316392161124303,,0,0.0
阳江市,2023-05-25,0.388567573661188,,0,0.0
清远市,2023-05-25,-0.2714538243938378,,0,0.0
东莞市,2023-05-25,-0.0975666454354353,,0,0.0
中山市,2023-05-25,0.0868293869499687,,0,0.0
潮州市,2023-05-25,-1.3659763041483544,,0,0.0
揭阳市,2023-05-25,-1.252322111305972,,0,0.0
云浮市,2023-05-25,0.2116714225092586,,0,0.0
三沙市,2023-05-25,,,0,0.0
海口市,2023-05-25,0.4325072185785927,,0,0.0
三亚市,2023-05-25,0.4588001829715651,,0,0.0
儋州市,2023-05-25,0.2606688589936041,,0,0.0
成都市,2023-05-25,-2.666065648854829,,0,0.0
自贡市,2023-05-25,-2.446750663980996,,0,0.0
攀枝花市,2023-05-25,1.577636294190249,,0,0.0
泸州市,2023-05-25,-2.839506151161096,,0,0.0
德阳市,2023-05-25,-2.4356039582885742,,0,0.0
绵阳市,2023-05-25,-2.715660260618911,,0,0.0
广元市,2023-05-25,-3.4672825736912607,,0,0.0
遂宁市,2023-05-25,-2.927489672971813,,0,0.0
内江市,2023-05-25,-2.5661613966064785,,0,0.0
乐山市,2023-05-25,-2.9353850282228926,,0,0.0
南充市,2023-05-25,-3.493332594116328,,0,0.0
眉山市,2023-05-25,-2.659393745382637,,0,0.0
宜宾市,2023-05-25,-2.468996233061634,,0,0.0
广安市,2023-05-25,-3.0055780675678605,,0,0.0
达州市,2023-05-25,-3.58536780118564,,0,0.0
雅安市,2023-05-25,-3.040646823390487,,0,0.0
巴中市,2023-05-25,-3.7091913426214873,,0,0.0
资阳市,2023-05-25,-2.6312206157731737,,0,0.0
阿坝藏族羌族自治州,2023-05-25,-2.3529518583047966,,0,0.0
甘孜藏族自治州,2023-05-25,-2.405367531579789,,0,0.0
凉山彝族自治州,2023-05-25,-0.699935621679165,,0,0.0
贵阳市,2023-05-25,0.1207356340856442,,0,0.0
六盘水市,2023-05-25,0.7940686025389034,,0,0.0
遵义市,2023-05-25,-1.6868507618013595,,0,0.0
安顺市,2023-05-25,0.5116734588616119,,0,0.0
毕节市,2023-05-25,-0.97445257393899,,0,0.0
铜仁市,2023-05-25,-1.387738924679681,,0,0.0
黔西南布依族苗族自治州,2023-05-25,0.8488649417602012,,0,0.0
黔东南苗族侗族自治州,2023-05-25,-1.3849230272426816,,0,0.0
黔南布依族苗族自治州,2023-05-25,-0.5910319277019696,,0,0.0
昆明市,2023-05-25,0.7452400694463339,,0,0.0
曲靖市,2023-05-25,0.6941564769272617,,0,0.0
玉溪市,2023-05-25,-0.0893664284566142,,0,0.0
保山市,2023-05-25,-2.258360816161209,,0,0.0
昭通市,2023-05-25,-1.896042597001152,,0,0.0
丽江市,2023-05-25,-1.3787794365154635,,0,0.0
普洱市,2023-05-25,-0.3872468149348478,,0,0.0
临沧市,2023-05-25,-1.613971879839184,,0,0.0
楚雄彝族自治州,2023-05-25,-0.1291295357856476,,0,0.0
红河哈尼族彝族自治州,2023-05-25,0.0656214039998523,,0,0.0
文山壮族苗族自治州,2023-05-25,0.7656671315801944,,0,0.0
西双版纳傣族自治州,2023-05-25,0.7023586525138512,,0,0.0
大理白族自治州,2023-05-25,-1.8331300349012043,,0,0.0
德宏傣族景颇族自治州,2023-05-25,-2.661507751022114,,0,0.0
怒江傈僳族自治州,2023-05-25,-2.807265563535415,,0,0.0
迪庆藏族自治州,2023-05-25,-3.333454514363499,,0,0.0
西安市,2023-05-25,-4.029982785044631,,0,0.0
铜川市,2023-05-25,-4.196771328519112,,0,0.0
宝鸡市,2023-05-25,-3.243548030306373,,0,0.0
咸阳市,2023-05-25,-4.128656359742612,,0,0.0
渭南市,2023-05-25,-4.5552714125490485,,0,0.0
延安市,2023-05-25,-3.171534581910068,,0,0.0
汉中市,2023-05-25,-3.904061094563092,,0,0.0
榆林市,2023-05-25,-4.263821937233621,,0,0.0
安康市,2023-05-25,-4.688120214160518,,0,0.0
商洛市,2023-05-25,-5.102359048590078,,0,0.0
兰州市,2023-05-25,-5.051263118412737,,0,0.0
嘉峪关市,2023-05-25,-6.340420522755595,,0,0.0
金昌市,2023-05-25,-4.671262577909861,,0,0.0
白银市,2023-05-25,-4.105707066425316,,0,0.0
天水市,2023-05-25,-3.735023490189901,,0,0.0
武威市,2023-05-25,-4.679152485742197,,0,0.0
张掖市,2023-05-25,-6.054341352802366,,0,0.0
平凉市,2023-05-25,-3.319871422173181,,0,0.0
酒泉市,2023-05-25,-6.222600714706878,,0,0.0
庆阳市,2023-05-25,-3.1184873581280144,,0,0.0
定西市,2023-05-25,-4.565521960147327,,0,0.0
陇南市,2023-05-25,-4.056698744967632,,0,0.0
临夏回族自治州,2023-05-25,-5.297657978160534,,0,0.0
甘南藏族自治州,2023-05-25,-4.009405663741735,,0,0.0
西宁市,2023-05-25,-4.74948233767485,,0,0.0
海东市,2023-05-25,-5.925467918410121,,0,0.0
海北藏族自治州,2023-05-25,-5.1401532066245,,0,0.0
黄南藏族自治州,2023-05-25,-3.8963232144716535,,0,0.0
海南藏族自治州,2023-05-25,-5.027642941186522,,0,0.0
果洛藏族自治州,2023-05-25,-2.548967491364087,,0,0.0
玉树藏族自治州,2023-05-25,-3.5780155060606345,,0,0.0
海西蒙古族藏族自治州,2023-05-25,-5.136927495837547,,0,0.0
阿拉尔市,2023-05-25,-7.177138606796337,,0,0.0
北屯市,2023-05-25,-3.7131461183448415,,0,0.0
胡杨河市,2023-05-25,-3.8709604549587127,,0,0.0
可克达拉市,2023-05-25,-6.294649599114653,,0,0.0
昆玉市,2023-05-25,-4.958677264710616,,0,0.0
石河子市,2023-05-25,-2.9157427290904625,,0,0.0
双河市,2023-05-25,-5.909665830824659,,0,0.0
图木舒克市,2023-05-25,-5.832287279318891,,0,0.0
五家渠市,2023-05-25,-3.8879960409555223,,0,0.0
铁门关市,2023-05-25,-3.997041776026528,,0,0.0
新星市,2023-05-25,-6.402450930595618,,0,0.0
白杨市,2023-05-25,-4.792395135656323,,0,0.0
呼和浩特市,2023-05-25,-6.5097027205647935,,0,0.0
包头市,2023-05-25,-5.006240127199563,,0,0.0
乌海市,2023-05-25,-5.324960565224616,,0,0.0
赤峰市,2023-05-25,-5.710441878402543,,0,0.0
通辽市,2023-05-25,-4.362224661261962,,0,0.0
鄂尔多斯市,2023-05-25,-4.586111954505418,,0,0.0
呼伦贝尔市,2023-05-25,-6.428134361906077,,0,0.0
巴彦淖尔市,2023-05-25,-6.195570058416321,,0,0.0
乌兰察布市,2023-05-25,-6.081829603084569,,0,0.0
兴安盟,2023-05-25,-5.197655200025576,,0,0.0
锡林郭勒盟,2023-05-25,-8.357956186738832,,0,0.0
阿拉善盟,2023-05-25,-6.237567624051019,,0,0.0
南宁市,2023-05-25,0.1566907067058487,,0,0.0
柳州市,2023-05-25,-1.3722020598925615,,0,0.0
桂林市,2023-05-25,-1.1675079258678025,,0,0.0
梧州市,2023-05-25,-0.5025194107406712,,0,0.0
北海市,2023-05-25,0.5189953945882948,,0,0.0
防城港市,2023-05-25,-0.4434167275203577,,0,0.0
钦州市,2023-05-25,0.4347754953096405,,0,0.0
贵港市,2023-05-25,-0.1810433714964219,,0,0.0
玉林市,2023-05-25,0.6089337052899104,,0,0.0
百色市,2023-05-25,0.4096016074757784,,0,0.0
贺州市,2023-05-25,-0.2180346317583321,,0,0.0
河池市,2023-05-25,-0.4699680273195028,,0,0.0
来宾市,2023-05-25,-0.1655224407140174,,0,0.0
崇左市,2023-05-25,-0.2547771011984032,,0,0.0
拉萨市,2023-05-25,-6.206564143900865,,0,0.0
日喀则市,2023-05-25,-4.092591964631819,,0,0.0
昌都市,2023-05-25,-4.435760123349912,,0,0.0
林芝市,2023-05-25,-4.94697123357629,,0,0.0
山南市,2023-05-25,-4.230869660954195,,0,0.0
那曲市,2023-05-25,-4.633565087708448,,0,0.0
阿里地区,2023-05-25,-6.092913592671917,,0,0.0
银川市,2023-05-25,-4.034818164808989,,0,0.0
石嘴山市,2023-05-25,-4.593207674994378,,0,0.0
吴忠市,2023-05-25,-4.089063998247461,,0,0.0
固原市,2023-05-25,-3.629658185863134,,0,0.0
中卫市,2023-05-25,-3.638171555318184,,0,0.0
乌鲁木齐市,2023-05-25,-4.818203032232814,,0,0.0
克拉玛依市,2023-05-25,-3.408005640244511,,0,0.0
吐鲁番市,2023-05-25,-4.874155962146361,,0,0.0
哈密市,2023-05-25,-5.341286074563575,,0,0.0
昌吉回族自治州,2023-05-25,-4.035060940503644,,0,0.0
博尔塔拉蒙古自治州,2023-05-25,-6.191498201761852,,0,0.0
巴音郭楞蒙古自治州,2023-05-25,-4.742179347636659,,0,0.0
阿克苏地区,2023-05-25,-7.600710234751505,,0,0.0
克孜勒苏柯尔克孜自治州,2023-05-25,-6.236241941945728,,0,0.0
喀什地区,2023-05-25,-5.750707801808445,,0,0.0
和田地区,2023-05-25,-5.99455802839957,,0,0.0
伊犁哈萨克自治州,2023-05-25,-6.4980427071172295,,0,0.0
塔城地区,2023-05-25,-4.808487807167607,,0,0.0
阿勒泰地区,2023-05-25,-4.594557998490786,,0,0.0
澳门特别行政区,2023-05-26,,,0,0.0
香港特别行政区,2023-05-26,-0.1184690939889847,,0,0.0
北京市,2023-05-26,-2.155670587696765,,0,0.0
上海市,2023-05-26,-2.77488935614678,,0,0.0
天津市,2023-05-26,-2.902741453324243,,0,0.0
重庆市,2023-05-26,-1.9113198472969688,,0,0.0
白沙黎族自治县,2023-05-26,-0.2886645038210567,,0,0.0
保亭黎族苗族自治县,2023-05-26,0.6702249184642781,,0,0.0
昌江黎族自治县,2023-05-26,-0.6595454675291812,,0,0.0
澄迈县,2023-05-26,0.6888789126870236,,0,0.0
定安县,2023-05-26,0.5891949968123633,,0,0.0
东方市,2023-05-26,-0.1183988957642974,,0,0.0
济源市,2023-05-26,-2.9954954950318005,,0,0.0
乐东黎族自治县,2023-05-26,0.8515586964811384,,0,0.0
临高县,2023-05-26,0.4108523354596194,,0,0.0
陵水黎族自治县,2023-05-26,0.613275320401268,,0,0.0
潜江市,2023-05-26,-2.3264905161453093,,0,0.0
琼海市,2023-05-26,0.5796138670298383,,0,0.0
琼中黎族苗族自治县,2023-05-26,0.3803138268477575,,0,0.0
神农架林区,2023-05-26,-1.2855599077526918,,0,0.0
台湾省,2023-05-26,-0.1097690450002417,,0,0.0
天门市,2023-05-26,-2.0669655892623133,,0,0.0
屯昌县,2023-05-26,0.631089724663088,,0,0.0
万宁市,2023-05-26,0.5522466092062537,,0,0.0
文昌市,2023-05-26,0.7534630475908024,,0,0.0
五指山市,2023-05-26,0.5453861310365937,,0,0.0
仙桃市,2023-05-26,-2.08300439142058,,0,0.0
石家庄市,2023-05-26,-2.348506450197597,,0,0.0
唐山市,2023-05-26,-4.42400672861212,,0,0.0
秦皇岛市,2023-05-26,-5.438156061935528,,0,0.0
邯郸市,2023-05-26,-2.717011180608868,,0,0.0
邢台市,2023-05-26,-2.9706220645480528,,0,0.0
保定市,2023-05-26,-1.725712167529494,,0,0.0
张家口市,2023-05-26,-1.9449775000935787,,0,0.0
承德市,2023-05-26,-2.433823881485246,,0,0.0
沧州市,2023-05-26,-2.6051092722182965,,0,0.0
廊坊市,2023-05-26,-1.9498427766720248,,0,0.0
衡水市,2023-05-26,-2.680991763287526,,0,0.0
太原市,2023-05-26,-3.836961541000607,,0,0.0
大同市,2023-05-26,-2.441954808970742,,0,0.0
阳泉市,2023-05-26,-3.04313916759676,,0,0.0
长治市,2023-05-26,-3.199883570714219,,0,0.0
晋城市,2023-05-26,-2.63792415954085,,0,0.0
朔州市,2023-05-26,-2.5287951903960124,,0,0.0
晋中市,2023-05-26,-3.7449601173051423,,0,0.0
运城市,2023-05-26,-3.328880152237762,,0,0.0
忻州市,2023-05-26,-3.2829869628976684,,0,0.0
临汾市,2023-05-26,-2.97952524066762,,0,0.0
吕梁市,2023-05-26,-4.104241852583876,,0,0.0
沈阳市,2023-05-26,-4.015505871707482,,0,0.0
大连市,2023-05-26,-4.925222046321416,,0,0.0
鞍山市,2023-05-26,-4.307227564632392,,0,0.0
抚顺市,2023-05-26,-4.384013592675856,,0,0.0
本溪市,2023-05-26,-4.662381491081785,,0,0.0
丹东市,2023-05-26,-4.970606120252487,,0,0.0
锦州市,2023-05-26,-4.7116376527428105,,0,0.0
营口市,2023-05-26,-4.532232616612566,,0,0.0
阜新市,2023-05-26,-4.022867533593637,,0,0.0
辽阳市,2023-05-26,-4.158509713628137,,0,0.0
盘锦市,2023-05-26,-4.615857351316647,,0,0.0
铁岭市,2023-05-26,-3.503439674117084,,0,0.0
朝阳市,2023-05-26,-3.674008745264805,,0,0.0
葫芦岛市,2023-05-26,-5.943665156267775,,0,0.0
长春市,2023-05-26,-3.9553186766937625,,0,0.0
吉林市,2023-05-26,-4.439972527544075,,0,0.0
四平市,2023-05-26,-3.2705305329697207,,0,0.0
辽源市,2023-05-26,-3.97609357463217,,0,0.0
通化市,2023-05-26,-4.644122155373712,,0,0.0
白山市,2023-05-26,-4.864227792971436,,0,0.0
松原市,2023-05-26,-4.876630197651249,,0,0.0
白城市,2023-05-26,-5.958803021762192,,0,0.0
延边朝鲜族自治州,2023-05-26,-3.6205364080938303,,0,0.0
哈尔滨市,2023-05-26,-5.341850226742881,,0,0.0
齐齐哈尔市,2023-05-26,-6.137514251188016,,0,0.0
