region_name,date,temp_max_anomaly,temp_max_anomaly_threshold,day,day_intensity
镇江市,2023-05-25,-3.9128123661745207,,0,0.0
泰州市,2023-05-25,-4.031579593358842,,0,0.0
宿迁市,2023-05-25,-4.084095830742879,,0,0.0
杭州市,2023-05-25,-3.6787524355604937,,0,0.0
宁波市,2023-05-25,-5.3822503537276205,,0,0.0
温州市,2023-05-25,-3.5480101102378185,,0,0.0
嘉兴市,2023-05-25,-5.028792774684696,,0,0.0
湖州市,2023-05-25,-3.9549305606914262,,0,0.0
绍兴市,2023-05-25,-3.4713211166065783,,0,0.0
金华市,2023-05-25,-3.0202875634247377,,0,0.0
衢州市,2023-05-25,-2.584930450553234,,0,0.0
舟山市,2023-05-25,-5.967780740447488,,0,0.0
台州市,2023-05-25,-4.12015593398597,,0,0.0
丽水市,2023-05-25,-2.083084775660428,,0,0.0
合肥市,2023-05-25,-2.741134869111871,,0,0.0
芜湖市,2023-05-25,-2.565066773577591,,0,0.0
蚌埠市,2023-05-25,-3.2252760635942046,,0,0.0
淮南市,2023-05-25,-2.597258823770524,,0,0.0
马鞍山市,2023-05-25,-3.0752891532257856,,0,0.0
淮北市,2023-05-25,-4.20550373710352,,0,0.0
铜陵市,2023-05-25,-3.0669585672342023,,0,0.0
安庆市,2023-05-25,-3.93160200251296,,0,0.0
黄山市,2023-05-25,-2.9153468528910444,,0,0.0
滁州市,2023-05-25,-3.3776720196394194,,0,0.0
阜阳市,2023-05-25,-3.5354571787562747,,0,0.0
宿州市,2023-05-25,-4.235696614832925,,0,0.0
六安市,2023-05-25,-2.1821129694807126,,0,0.0
亳州市,2023-05-25,-3.990062327447795,,0,0.0
池州市,2023-05-25,-3.0840979561170663,,0,0.0
宣城市,2023-05-25,-3.1757273643846275,,0,0.0
福州市,2023-05-25,-2.6450331326027445,,0,0.0
厦门市,2023-05-25,-2.32555007606598,,0,0.0
莆田市,2023-05-25,-2.18707783470197,,0,0.0
三明市,2023-05-25,-1.2942769718409617,,0,0.0
泉州市,2023-05-25,-1.215989808318401,,0,0.0
漳州市,2023-05-25,-0.8233669305636084,,0,0.0
南平市,2023-05-25,-3.27988765022004,,0,0.0
龙岩市,2023-05-25,-0.2843914078330058,,0,0.0
宁德市,2023-05-25,-2.4068069334018567,,0,0.0
南昌市,2023-05-25,-3.2706349799179577,,0,0.0
景德镇市,2023-05-25,-3.62389831713433,,0,0.0
萍乡市,2023-05-25,-1.3257153781425757,,0,0.0
九江市,2023-05-25,-3.8406881338613488,,0,0.0
新余市,2023-05-25,-2.2068694232442816,,0,0.0
鹰潭市,2023-05-25,-2.7286289398663754,,0,0.0
赣州市,2023-05-25,-1.8801314434349687,,0,0.0
吉安市,2023-05-25,-2.153155763604552,,0,0.0
宜春市,2023-05-25,-2.6883196697390237,,0,0.0
抚州市,2023-05-25,-2.323025916410735,,0,0.0
上饶市,2023-05-25,-3.103826352850032,,0,0.0
济南市,2023-05-25,-6.238319431203824,,0,0.0
青岛市,2023-05-25,-5.534614444766444,,0,0.0
淄博市,2023-05-25,-6.106259812067268,,0,0.0
枣庄市,2023-05-25,-5.549576010526565,,0,0.0
东营市,2023-05-25,-3.699340957747239,,0,0.0
烟台市,2023-05-25,-4.899602047781389,,0,0.0
潍坊市,2023-05-25,-5.32107749408009,,0,0.0
济宁市,2023-05-25,-6.671494998899703,,0,0.0
泰安市,2023-05-25,-6.990758128225018,,0,0.0
威海市,2023-05-25,-5.556687138675684,,0,0.0
日照市,2023-05-25,-5.501646632886214,,0,0.0
临沂市,2023-05-25,-5.660474328863046,,0,0.0
德州市,2023-05-25,-5.3676095802236325,,0,0.0
聊城市,2023-05-25,-4.855263098984878,,0,0.0
滨州市,2023-05-25,-4.702340755035884,,0,0.0
菏泽市,2023-05-25,-5.61337411747542,,0,0.0
郑州市,2023-05-25,-5.20980430536094,,0,0.0
开封市,2023-05-25,-5.137137386702918,,0,0.0
洛阳市,2023-05-25,-5.580259767239198,,0,0.0
平顶山市,2023-05-25,-5.6377600275561335,,0,0.0
安阳市,2023-05-25,-2.261165183215592,,0,0.0
鹤壁市,2023-05-25,-2.511444302688215,,0,0.0
新乡市,2023-05-25,-3.561988667827901,,0,0.0
焦作市,2023-05-25,-3.5151534683740024,,0,0.0
濮阳市,2023-05-25,-4.583472992580873,,0,0.0
许昌市,2023-05-25,-4.996042029341592,,0,0.0
漯河市,2023-05-25,-4.102417719109862,,0,0.0
三门峡市,2023-05-25,-5.481158259647852,,0,0.0
南阳市,2023-05-25,-5.003336983293785,,0,0.0
商丘市,2023-05-25,-4.290892089304538,,0,0.0
信阳市,2023-05-25,-3.2414199571422024,,0,0.0
周口市,2023-05-25,-3.578476418655601,,0,0.0
驻马店市,2023-05-25,-4.306937234547092,,0,0.0
武汉市,2023-05-25,-2.957570092945637,,0,0.0
黄石市,2023-05-25,-3.834862439189568,,0,0.0
十堰市,2023-05-25,-6.703452674440523,,0,0.0
宜昌市,2023-05-25,-3.610957247016657,,0,0.0
襄阳市,2023-05-25,-4.942027349918085,,0,0.0
鄂州市,2023-05-25,-3.124800170012957,,0,0.0
荆门市,2023-05-25,-3.909091505453546,,0,0.0
孝感市,2023-05-25,-3.157457614434769,,0,0.0
荆州市,2023-05-25,-2.267400097140161,,0,0.0
黄冈市,2023-05-25,-3.743478969767043,,0,0.0
咸宁市,2023-05-25,-2.511446969202627,,0,0.0
随州市,2023-05-25,-4.5219995297474185,,0,0.0
恩施土家族苗族自治州,2023-05-25,-3.739794986327031,,0,0.0
长沙市,2023-05-25,-2.09761561628892,,0,0.0
株洲市,2023-05-25,-1.841469135941864,,0,0.0
湘潭市,2023-05-25,-2.149689458804339,,0,0.0
衡阳市,2023-05-25,-1.9557222705623327,,0,0.0
邵阳市,2023-05-25,-1.256830163795506,,0,0.0
岳阳市,2023-05-25,-2.1392152532048705,,0,0.0
常德市,2023-05-25,-2.85466164804166,,0,0.0
张家界市,2023-05-25,-3.800189142473759,,0,0.0
益阳市,2023-05-25,-2.079528448985726,,0,0.0
郴州市,2023-05-25,-1.439784835777207,,0,0.0
永州市,2023-05-25,-0.8545950042086687,,0,0.0
怀化市,2023-05-25,-1.6742536953073923,,0,0.0
娄底市,2023-05-25,-1.9620013520768855,,0,0.0
湘西土家族苗族自治州,2023-05-25,-3.621315625502661,,0,0.0
广州市,2023-05-25,-0.0804653287282022,,0,0.0
韶关市,2023-05-25,-0.9509826954831588,,0,0.0
深圳市,2023-05-25,-0.9326225301186072,,0,0.0
珠海市,2023-05-25,-0.5048798268388737,,0,0.0
汕头市,2023-05-25,-2.2545397130279987,,0,0.0
佛山市,2023-05-25,-0.3769983874081255,,0,0.0
江门市,2023-05-25,0.0958547412389485,,0,0.0
湛江市,2023-05-25,1.1348019709789234,,0,0.0
茂名市,2023-05-25,0.8865654955395499,,0,0.0
肇庆市,2023-05-25,0.0100896593520403,,0,0.0
惠州市,2023-05-25,0.1136650166476798,,0,0.0
梅州市,2023-05-25,-0.2117966086531595,,0,0.0
汕尾市,2023-05-25,-0.5835453244357254,,0,0.0
河源市,2023-05-25,0.2763414137947073,,0,0.0
阳江市,2023-05-25,0.5896820321998035,,0,0.0
清远市,2023-05-25,-0.5740759081426923,,0,0.0
东莞市,2023-05-25,-0.3361517441412722,,0,0.0
中山市,2023-05-25,-0.4595025578883884,,0,0.0
潮州市,2023-05-25,-1.2230110112272463,,0,0.0
揭阳市,2023-05-25,-1.3886186651363168,,0,0.0
云浮市,2023-05-25,0.3462463715033905,,0,0.0
三沙市,2023-05-25,,,0,0.0
海口市,2023-05-25,1.2100334458325328,,0,0.0
三亚市,2023-05-25,2.5057004722208625,,0,0.0
儋州市,2023-05-25,2.7497236388323074,,0,0.0
成都市,2023-05-25,-4.275574037972838,,0,0.0
自贡市,2023-05-25,-3.563888963903356,,0,0.0
攀枝花市,2023-05-25,6.145392324564355,,0,0.0
