region_name,date,temp_max_anomaly
莆田市,1998-05-25,-9.541988147179762
三明市,1998-05-25,-13.011501772999313
泉州市,1998-05-25,-10.421702884622405
漳州市,1998-05-25,-9.2745519550149
南平市,1998-05-25,-13.056858543472845
龙岩市,1998-05-25,-11.625114968878997
宁德市,1998-05-25,-12.201603321195357
南昌市,1998-05-25,-7.885424105445633
景德镇市,1998-05-25,-7.585547102237022
萍乡市,1998-05-25,-7.462288584055159
九江市,1998-05-25,-7.182472391377903
新余市,1998-05-25,-7.91051471898534
鹰潭市,1998-05-25,-9.482718164658017
赣州市,1998-05-25,-9.97373129117393
吉安市,1998-05-25,-8.611267733969825
宜春市,1998-05-25,-7.153489367897919
抚州市,1998-05-25,-9.730361807748011
上饶市,1998-05-25,-8.879908425778712
济南市,1998-05-25,-4.980163938116856
青岛市,1998-05-25,-4.370080379101008
淄博市,1998-05-25,-5.060934760325644
枣庄市,1998-05-25,-5.4316478386157065
东营市,1998-05-25,-2.9293299921295812
烟台市,1998-05-25,-3.988614445025572
潍坊市,1998-05-25,-4.434981396945151
济宁市,1998-05-25,-4.942576014309868
泰安市,1998-05-25,-5.131499587668827
威海市,1998-05-25,-4.173850053111444
日照市,1998-05-25,-4.719467974964516
临沂市,1998-05-25,-5.218644899517191
德州市,1998-05-25,-3.7455272836721356
聊城市,1998-05-25,-3.906057567064316
滨州市,1998-05-25,-3.9070670378075008
菏泽市,1998-05-25,-4.660666405923692
郑州市,1998-05-25,-4.363741523446851
开封市,1998-05-25,-4.381401424451035
洛阳市,1998-05-25,-4.801728426308987
平顶山市,1998-05-25,-4.418590540568427
安阳市,1998-05-25,-3.6485339266619228
鹤壁市,1998-05-25,-3.9255499055420806
新乡市,1998-05-25,-4.261767219614697
焦作市,1998-05-25,-4.707609784394123
濮阳市,1998-05-25,-4.157815242545688
许昌市,1998-05-25,-4.394965735894878
漯河市,1998-05-25,-4.378602498571155
三门峡市,1998-05-25,-5.280233562835331
南阳市,1998-05-25,-4.940711140245185
商丘市,1998-05-25,-4.978466921904381
信阳市,1998-05-25,-4.967982809995238
周口市,1998-05-25,-4.632740619736563
驻马店市,1998-05-25,-4.451707395941671
武汉市,1998-05-25,-5.811493309043218
黄石市,1998-05-25,-7.066749988610496
十堰市,1998-05-25,-4.374742847134026
宜昌市,1998-05-25,-4.91594636309652
襄阳市,1998-05-25,-4.607589173663833
鄂州市,1998-05-25,-6.5095604288932485
荆门市,1998-05-25,-4.8932011786369145
孝感市,1998-05-25,-4.961820142174393
荆州市,1998-05-25,-5.2247014723957115
黄冈市,1998-05-25,-5.984642916142519
咸宁市,1998-05-25,-7.0389173149036495
随州市,1998-05-25,-4.835932834794924
恩施土家族苗族自治州,1998-05-25,-4.2328458251698535
长沙市,1998-05-25,-6.574880524078434
株洲市,1998-05-25,-7.310136218534897
湘潭市,1998-05-25,-7.1636877731088795
衡阳市,1998-05-25,-7.579123802227166
邵阳市,1998-05-25,-6.199142778386847
岳阳市,1998-05-25,-6.403980310358591
常德市,1998-05-25,-5.4220444175942895
张家界市,1998-05-25,-5.386436354259448
益阳市,1998-05-25,-6.179019148003636
郴州市,1998-05-25,-7.52752286448823
永州市,1998-05-25,-6.818634095061654
怀化市,1998-05-25,-5.5098204544821705
娄底市,1998-05-25,-6.505923845780096
湘西土家族苗族自治州,1998-05-25,-5.382301276349924
广州市,1998-05-25,-6.663293035988762
韶关市,1998-05-25,-7.543409740895775
