region_name,date,temp_max_anomaly
澳门特别行政区,2005-05-25,
香港特别行政区,2005-05-25,-1.9790029017501958
北京市,2005-05-25,-0.6098349899736419
上海市,2005-05-25,-6.618695938984516
天津市,2005-05-25,-0.793788912871225
重庆市,2005-05-25,-5.061907799705306
白沙黎族自治县,2005-05-25,2.9706136891953676
保亭黎族苗族自治县,2005-05-25,2.662024976442133
昌江黎族自治县,2005-05-25,2.872775167858048
澄迈县,2005-05-25,2.512224065253644
定安县,2005-05-25,3.0181185596551714
东方市,2005-05-25,2.9063546747911246
济源市,2005-05-25,-1.8850151780245952
乐东黎族自治县,2005-05-25,2.6671581039763446
临高县,2005-05-25,2.7220160509561495
陵水黎族自治县,2005-05-25,2.634516889218574
潜江市,2005-05-25,-2.145285903304387
琼海市,2005-05-25,3.246248793763023
琼中黎族苗族自治县,2005-05-25,3.149842248814487
神农架林区,2005-05-25,-2.730195601858842
台湾省,2005-05-25,-1.8328509741676662
天门市,2005-05-25,-2.296219610550388
屯昌县,2005-05-25,3.242784772583459
万宁市,2005-05-25,2.6155851717805447
文昌市,2005-05-25,2.370674102010831
五指山市,2005-05-25,2.9178785482710694
仙桃市,2005-05-25,-2.4579664539522526
石家庄市,2005-05-25,-2.081194827367643
唐山市,2005-05-25,-1.8019299620551017
秦皇岛市,2005-05-25,-1.8012573960630611
邯郸市,2005-05-25,-0.4845718096334295
邢台市,2005-05-25,-0.6195458651810561
保定市,2005-05-25,-1.8060971616221302
张家口市,2005-05-25,-2.7322471817533476
承德市,2005-05-25,-1.4169767087158185
沧州市,2005-05-25,-0.9778746069167248
廊坊市,2005-05-25,-1.110599979441183
衡水市,2005-05-25,-0.6979957122045448
太原市,2005-05-25,-2.8315854783834986
大同市,2005-05-25,-2.226752674459842
阳泉市,2005-05-25,-2.5481827162897197
长治市,2005-05-25,-1.787268046815317
晋城市,2005-05-25,-2.1489839181718366
朔州市,2005-05-25,-2.412518434686266
晋中市,2005-05-25,-2.5822386982659786
运城市,2005-05-25,-0.7001441106330439
忻州市,2005-05-25,-2.8916261890270505
临汾市,2005-05-25,-0.7561672161609287
吕梁市,2005-05-25,-1.786772938855858
沈阳市,2005-05-25,-2.0483171314145103
大连市,2005-05-25,-4.151171107162323
鞍山市,2005-05-25,-3.9105549083999733
抚顺市,2005-05-25,-5.760949567626287
本溪市,2005-05-25,-5.778012793244926
丹东市,2005-05-25,-6.062662600527279
锦州市,2005-05-25,-3.19955294884441
营口市,2005-05-25,-2.6298752805332413
阜新市,2005-05-25,-1.5880993320941208
辽阳市,2005-05-25,-2.9885985500846175
盘锦市,2005-05-25,-3.808515856599133
铁岭市,2005-05-25,-3.545669757809179
朝阳市,2005-05-25,0.9754952929575715
葫芦岛市,2005-05-25,-0.9691705588005206
长春市,2005-05-25,-3.6199232655155207
吉林市,2005-05-25,-4.723429094592323
四平市,2005-05-25,-2.783459429685365
辽源市,2005-05-25,-5.240005740755549
通化市,2005-05-25,-6.652698411872958
白山市,2005-05-25,-5.862602303580587
松原市,2005-05-25,-2.472267738489151
白城市,2005-05-25,-1.2663770785852542
延边朝鲜族自治州,2005-05-25,-3.6791211230253893
哈尔滨市,2005-05-25,-2.396282890785148
齐齐哈尔市,2005-05-25,-1.795968651684099
鸡西市,2005-05-25,-2.2250556618764
鹤岗市,2005-05-25,-0.9898056374316901
双鸭山市,2005-05-25,-1.730987122438691
大庆市,2005-05-25,-2.4702545199619834
伊春市,2005-05-25,-1.2054868791044306
佳木斯市,2005-05-25,-1.4858310748524133
七台河市,2005-05-25,-2.3730241571905424
牡丹江市,2005-05-25,-3.6118319652024056
黑河市,2005-05-25,-1.146533462168719
绥化市,2005-05-25,-1.5506118965742637
大兴安岭地区,2005-05-25,-0.2966728187632768
南京市,2005-05-25,-5.031526239534344
无锡市,2005-05-25,-6.300276869222589
徐州市,2005-05-25,-1.438921513317137
常州市,2005-05-25,-6.124479934888946
苏州市,2005-05-25,-6.556068239541375
南通市,2005-05-25,-4.122220564289687
连云港市,2005-05-25,-0.8621027275682813
淮安市,2005-05-25,-2.477377533289527
盐城市,2005-05-25,-1.9269834342078198
扬州市,2005-05-25,-3.0126368387914795
镇江市,2005-05-25,-5.046594200072203
泰州市,2005-05-25,-2.760973457752687
宿迁市,2005-05-25,-2.3695267931875676
杭州市,2005-05-25,-9.324051683562985
宁波市,2005-05-25,-8.67962649439557
温州市,2005-05-25,-9.643320990375528
嘉兴市,2005-05-25,-8.210813763748217
湖州市,2005-05-25,-7.867010821870636
绍兴市,2005-05-25,-10.166592542343555
金华市,2005-05-25,-10.110404528664628
衢州市,2005-05-25,-8.241685334137955
舟山市,2005-05-25,-6.455282076637612
台州市,2005-05-25,-10.146775648537464
丽水市,2005-05-25,-9.450710423413941
合肥市,2005-05-25,-4.034042754471912
芜湖市,2005-05-25,-5.073295717070849
蚌埠市,2005-05-25,-2.823365471107863
淮南市,2005-05-25,-3.2018588081908916
马鞍山市,2005-05-25,-5.1528971455482235
淮北市,2005-05-25,-1.5405745935066442
铜陵市,2005-05-25,-4.796563159062433
安庆市,2005-05-25,-5.238024689518369
黄山市,2005-05-25,-8.117632881326756
滁州市,2005-05-25,-3.6775115422909543
阜阳市,2005-05-25,-2.8993579402711767
宿州市,2005-05-25,-1.5014357058174461
六安市,2005-05-25,-3.205292832241742
亳州市,2005-05-25,-2.1890619141083043
池州市,2005-05-25,-5.688828914049775
宣城市,2005-05-25,-6.827781783764333
福州市,2005-05-25,-8.933809226990398
厦门市,2005-05-25,-4.876112205367157
莆田市,2005-05-25,-7.3908755183377295
三明市,2005-05-25,-5.801755200281097
泉州市,2005-05-25,-5.898747746216625
漳州市,2005-05-25,-3.66713969325496
南平市,2005-05-25,-7.917749477556068
龙岩市,2005-05-25,-2.9271812369170327
宁德市,2005-05-25,-9.683120805300355
南昌市,2005-05-25,-5.580812000985333
景德镇市,2005-05-25,-7.91152127088192
萍乡市,2005-05-25,-3.6719567893807152
九江市,2005-05-25,-4.99210976759246
新余市,2005-05-25,-4.8820407186979295
鹰潭市,2005-05-25,-7.067933100848638
赣州市,2005-05-25,-3.103872665463779
吉安市,2005-05-25,-4.459679790127193
宜春市,2005-05-25,-4.84291238210735
抚州市,2005-05-25,-5.185845386067527
上饶市,2005-05-25,-7.010763620456164
济南市,2005-05-25,-1.5509805779626902
青岛市,2005-05-25,-0.6627448746200848
淄博市,2005-05-25,-1.159747620694052
枣庄市,2005-05-25,-1.5150406219626404
东营市,2005-05-25,0.1524571352973254
烟台市,2005-05-25,0.079485344930319
潍坊市,2005-05-25,-0.2943218007443207
济宁市,2005-05-25,-1.3625564855417593
泰安市,2005-05-25,-1.9040927438875812
威海市,2005-05-25,-0.8955081739642701
日照市,2005-05-25,-0.8377537321455577
临沂市,2005-05-25,-1.561538854745912
德州市,2005-05-25,-0.78209884771044
聊城市,2005-05-25,-1.2561700343072246
滨州市,2005-05-25,-0.3438401881032078
菏泽市,2005-05-25,-0.7561817777104025
郑州市,2005-05-25,-1.9452367602615475
开封市,2005-05-25,-2.0058030310732775
洛阳市,2005-05-25,-1.5587521056819327
平顶山市,2005-05-25,-2.177959735275138
安阳市,2005-05-25,-0.6176029788584074
鹤壁市,2005-05-25,-0.5363549771496245
新乡市,2005-05-25,-1.1483287338377401
焦作市,2005-05-25,-1.472529214594715
濮阳市,2005-05-25,-0.8691892868781075
许昌市,2005-05-25,-2.4043450022671706
漯河市,2005-05-25,-2.429405995029967
三门峡市,2005-05-25,-1.5513201518870794
南阳市,2005-05-25,-1.6184081507481558
商丘市,2005-05-25,-1.5482380832171927
信阳市,2005-05-25,-2.73132741187435
周口市,2005-05-25,-2.713024696659776
驻马店市,2005-05-25,-2.690434912461672
武汉市,2005-05-25,-3.50048763601232
黄石市,2005-05-25,-4.605620679848915
十堰市,2005-05-25,-1.557974939014624
宜昌市,2005-05-25,-2.2077209611422326
襄阳市,2005-05-25,-0.8273851822880651
鄂州市,2005-05-25,-4.058483136208128
荆门市,2005-05-25,-2.0185289664540704
孝感市,2005-05-25,-2.7042179522844663
荆州市,2005-05-25,-2.510600278258835
黄冈市,2005-05-25,-4.243993435865772
咸宁市,2005-05-25,-3.996968213503621
随州市,2005-05-25,-2.2842410724482285
恩施土家族苗族自治州,2005-05-25,-3.4001574225741003
长沙市,2005-05-25,-3.7612238856815132
株洲市,2005-05-25,-3.4697437245829477
湘潭市,2005-05-25,-3.7618868944762553
衡阳市,2005-05-25,-4.159389997563732
邵阳市,2005-05-25,-4.421694339427603
岳阳市,2005-05-25,-3.4145539102220397
常德市,2005-05-25,-3.06792143661162
张家界市,2005-05-25,-2.6839485945965187
益阳市,2005-05-25,-3.411901011647508
郴州市,2005-05-25,-3.0870026051808175
永州市,2005-05-25,-3.266891168900319
怀化市,2005-05-25,-3.069976105787106
娄底市,2005-05-25,-3.9845809315504503
湘西土家族苗族自治州,2005-05-25,-2.584643155574703
广州市,2005-05-25,-0.3299006359134431
韶关市,2005-05-25,-1.3411245399880016
深圳市,2005-05-25,-1.614978621443278
珠海市,2005-05-25,-1.317922264930882
汕头市,2005-05-25,-2.997920091302362
佛山市,2005-05-25,-0.2615264754722375
江门市,2005-05-25,-0.14814779061658356
湛江市,2005-05-25,2.1990783723366967
茂名市,2005-05-25,1.610257916009811
肇庆市,2005-05-25,0.17527144178593446
惠州市,2005-05-25,-1.0985821526411392
梅州市,2005-05-25,-2.2234943446685342
汕尾市,2005-05-25,-2.108416357126014
河源市,2005-05-25,-1.0036099270784575
阳江市,2005-05-25,1.2123049336838712
清远市,2005-05-25,-0.5932415970149059
东莞市,2005-05-25,-0.8385571485895689
中山市,2005-05-25,-1.1250094064685427
潮州市,2005-05-25,-2.6169414500082517
揭阳市,2005-05-25,-2.7907216137702484
云浮市,2005-05-25,0.7165635939377459
三沙市,2005-05-25,
海口市,2005-05-25,2.011366014093948
三亚市,2005-05-25,2.5403287554223226
