region_name,date,temp_mean_anomaly
澳门特别行政区,1988-05-25,
香港特别行政区,1988-05-25,-0.8777366094838079
北京市,1988-05-25,-6.244479062597161
上海市,1988-05-25,-6.478446486158692
天津市,1988-05-25,-7.6625624284579
重庆市,1988-05-25,-4.494399365822968
白沙黎族自治县,1988-05-25,2.63058170836457
保亭黎族苗族自治县,1988-05-25,2.3041756503757895
昌江黎族自治县,1988-05-25,2.736083791869639
澄迈县,1988-05-25,1.916708834387169
定安县,1988-05-25,2.0920904021842546
东方市,1988-05-25,2.6071109635004355
济源市,1988-05-25,-3.1131617315231033
乐东黎族自治县,1988-05-25,2.2867829037277154
临高县,1988-05-25,1.8304315441847798
陵水黎族自治县,1988-05-25,2.252142813825639
潜江市,1988-05-25,-3.4557050819929778
琼海市,1988-05-25,1.8847479940948055
琼中黎族苗族自治县,1988-05-25,2.18015821116801
神农架林区,1988-05-25,-3.917663265898881
台湾省,1988-05-25,-0.3390526365240625
天门市,1988-05-25,-3.355658179555572
屯昌县,1988-05-25,2.0497616465028052
万宁市,1988-05-25,2.0156304629605835
文昌市,1988-05-25,1.9534039087060826
五指山市,1988-05-25,2.3130673188560706
仙桃市,1988-05-25,-3.4126124216934457
石家庄市,1988-05-25,-5.226014309725329
唐山市,1988-05-25,-7.780336908072158
秦皇岛市,1988-05-25,-7.506968028725101
邯郸市,1988-05-25,-4.131418173740439
邢台市,1988-05-25,-4.319835940221033
保定市,1988-05-25,-5.271141110813794
张家口市,1988-05-25,-5.157790282195132
承德市,1988-05-25,-5.947321891221399
沧州市,1988-05-25,-4.886575135802353
廊坊市,1988-05-25,-6.4828744157978875
衡水市,1988-05-25,-3.65195501551057
太原市,1988-05-25,-3.984941172392528
大同市,1988-05-25,-4.842052195239992
阳泉市,1988-05-25,-4.826095913774637
长治市,1988-05-25,-4.202940758160274
晋城市,1988-05-25,-3.772144873261425
朔州市,1988-05-25,-3.8852515190027024
晋中市,1988-05-25,-4.220334711490583
运城市,1988-05-25,-3.4018949513857386
忻州市,1988-05-25,-4.2281105734759326
临汾市,1988-05-25,-3.548727100027943
吕梁市,1988-05-25,-3.6859409054709893
沈阳市,1988-05-25,-6.143532806680639
大连市,1988-05-25,-8.099450021408785
鞍山市,1988-05-25,-6.992725667807591
抚顺市,1988-05-25,-6.583057836839879
本溪市,1988-05-25,-6.217398803693422
丹东市,1988-05-25,-6.449705455207415
锦州市,1988-05-25,-6.799832472383763
营口市,1988-05-25,-7.8186156735030305
阜新市,1988-05-25,-5.077119511507252
辽阳市,1988-05-25,-6.134911670729572
盘锦市,1988-05-25,-7.729139959279273
铁岭市,1988-05-25,-5.593965155094406
朝阳市,1988-05-25,-4.806878216228856
葫芦岛市,1988-05-25,-7.041468479297473
长春市,1988-05-25,-6.043121409746686
吉林市,1988-05-25,-7.565576953641937
四平市,1988-05-25,-4.970435935582625
辽源市,1988-05-25,-5.933537012353989
通化市,1988-05-25,-6.827344805800561
白山市,1988-05-25,-7.738304428473494
松原市,1988-05-25,-5.291135727280334
白城市,1988-05-25,-4.268447780530593
延边朝鲜族自治州,1988-05-25,-8.706614866990996
哈尔滨市,1988-05-25,-10.089264857074287
齐齐哈尔市,1988-05-25,-6.91068310940728
鸡西市,1988-05-25,-11.445790241601252
鹤岗市,1988-05-25,-10.821751255007486
双鸭山市,1988-05-25,-11.42140385588699
大庆市,1988-05-25,-6.742738298494912
伊春市,1988-05-25,-10.073372346142849
佳木斯市,1988-05-25,-10.372597117730987
七台河市,1988-05-25,-10.507793043062343
牡丹江市,1988-05-25,-10.844928054792055
黑河市,1988-05-25,-9.85108039987929
绥化市,1988-05-25,-9.435387843981843
大兴安岭地区,1988-05-25,-5.678793938343974
南京市,1988-05-25,-6.106053129563318
无锡市,1988-05-25,-6.049628832567052
徐州市,1988-05-25,-5.0463784505690406
常州市,1988-05-25,-5.993165507277251
苏州市,1988-05-25,-6.159976939666549
南通市,1988-05-25,-6.8766701079775
连云港市,1988-05-25,-6.9433624225002255
淮安市,1988-05-25,-6.206037253888756
盐城市,1988-05-25,-6.82438713571845
扬州市,1988-05-25,-6.622890705838355
镇江市,1988-05-25,-6.251933342219196
泰州市,1988-05-25,-6.69469023564222
宿迁市,1988-05-25,-5.799359693198763
杭州市,1988-05-25,-8.335114976215621
宁波市,1988-05-25,-8.342757063533657
温州市,1988-05-25,-7.46898188242772
嘉兴市,1988-05-25,-7.0749859733418
湖州市,1988-05-25,-6.839589708877092
绍兴市,1988-05-25,-8.850670075926146
金华市,1988-05-25,-8.798994804236052
衢州市,1988-05-25,-7.991696245330832
舟山市,1988-05-25,-7.107380909148631
台州市,1988-05-25,-8.32258693975768
丽水市,1988-05-25,-7.590913134466589
合肥市,1988-05-25,-5.175206554188634
芜湖市,1988-05-25,-5.7306952383910925
蚌埠市,1988-05-25,-5.072022280336682
淮南市,1988-05-25,-4.562691199981362
马鞍山市,1988-05-25,-5.770240230224694
淮北市,1988-05-25,-4.363636274980749
铜陵市,1988-05-25,-5.383798341693193
安庆市,1988-05-25,-4.714932102214394
