region_name,date,temp_mean_anomaly
澳门特别行政区,2006-05-25,
香港特别行政区,2006-05-25,-1.0881382468556708
北京市,2006-05-25,-7.509831136365904
上海市,2006-05-25,-4.667315245256447
天津市,2006-05-25,-7.281613063462839
重庆市,2006-05-25,-1.8346241167453279
白沙黎族自治县,2006-05-25,-0.5054269284760053
保亭黎族苗族自治县,2006-05-25,-0.89034146195376
昌江黎族自治县,2006-05-25,-0.1724444074980198
澄迈县,2006-05-25,-0.5413862869793107
定安县,2006-05-25,-0.6979159194010869
东方市,2006-05-25,-0.1102889428680136
济源市,2006-05-25,-6.32885133573383
乐东黎族自治县,2006-05-25,-0.4790736349248341
临高县,2006-05-25,-0.631036748927567
陵水黎族自治县,2006-05-25,-1.0034862485543172
潜江市,2006-05-25,-3.8515025509717944
琼海市,2006-05-25,-0.9332385766637792
琼中黎族苗族自治县,2006-05-25,-0.7319544929766479
神农架林区,2006-05-25,-2.262257918211592
台湾省,2006-05-25,-1.0498036603087542
天门市,2006-05-25,-4.232982732132328
屯昌县,2006-05-25,-0.6897710430840114
万宁市,2006-05-25,-1.0335075736571753
文昌市,2006-05-25,-0.5879999768380983
五指山市,2006-05-25,-0.681523046245875
仙桃市,2006-05-25,-4.3744448567591085
石家庄市,2006-05-25,-7.131779567983223
唐山市,2006-05-25,-6.968954655598271
秦皇岛市,2006-05-25,-7.212706659444384
邯郸市,2006-05-25,-7.588800415051015
邢台市,2006-05-25,-7.726485851542105
保定市,2006-05-25,-7.330172589463558
张家口市,2006-05-25,-7.353457280685129
承德市,2006-05-25,-7.236408371676628
沧州市,2006-05-25,-7.647566406645783
廊坊市,2006-05-25,-7.467327238973123
衡水市,2006-05-25,-7.998256286552696
太原市,2006-05-25,-6.076734254484897
大同市,2006-05-25,-6.584829370892699
阳泉市,2006-05-25,-7.510735813937252
长治市,2006-05-25,-6.236148826453272
晋城市,2006-05-25,-5.764822930475393
朔州市,2006-05-25,-5.417788178526608
晋中市,2006-05-25,-6.356867397094939
运城市,2006-05-25,-4.841816425895235
忻州市,2006-05-25,-5.743709138863641
临汾市,2006-05-25,-4.421878342412203
吕梁市,2006-05-25,-4.348177923257978
沈阳市,2006-05-25,-3.440922393464575
大连市,2006-05-25,-8.204532678646876
鞍山市,2006-05-25,-5.824823436513952
抚顺市,2006-05-25,-3.858584402907365
本溪市,2006-05-25,-4.596567026858338
丹东市,2006-05-25,-5.992401818609034
锦州市,2006-05-25,-4.362105156587848
营口市,2006-05-25,-6.461018411822437
阜新市,2006-05-25,-3.8773753319363102
辽阳市,2006-05-25,-4.568877139513603
盘锦市,2006-05-25,-4.609349082997383
铁岭市,2006-05-25,-3.200257332078486
朝阳市,2006-05-25,-5.036765488552835
葫芦岛市,2006-05-25,-7.052511522231457
长春市,2006-05-25,-5.833277136570633
吉林市,2006-05-25,-4.167132763256108
四平市,2006-05-25,-5.057506813443272
辽源市,2006-05-25,-2.8968456343165307
通化市,2006-05-25,-3.545060251896764
白山市,2006-05-25,-3.881847273426004
松原市,2006-05-25,-5.806122163508309
白城市,2006-05-25,-4.817357834855649
延边朝鲜族自治州,2006-05-25,-2.8321381335946363
哈尔滨市,2006-05-25,-4.902544907197303
齐齐哈尔市,2006-05-25,-3.771256600300841
鸡西市,2006-05-25,-2.8035947025039576
鹤岗市,2006-05-25,-3.265617545460522
双鸭山市,2006-05-25,-2.34314102714778
大庆市,2006-05-25,-4.600894387956949
伊春市,2006-05-25,-4.477675122514016
佳木斯市,2006-05-25,-2.618483649292795
七台河市,2006-05-25,-3.34507448446103
牡丹江市,2006-05-25,-3.392541802038137
黑河市,2006-05-25,-4.663052514287761
绥化市,2006-05-25,-4.215487800019655
大兴安岭地区,2006-05-25,-8.811644033931808
南京市,2006-05-25,-6.4175799176146135
无锡市,2006-05-25,-5.364645907416719
徐州市,2006-05-25,-7.114065179213924
常州市,2006-05-25,-5.778939325283208
苏州市,2006-05-25,-4.7652405699838525
南通市,2006-05-25,-5.395124509725473
连云港市,2006-05-25,-7.241718244331782
淮安市,2006-05-25,-7.11691174591542
盐城市,2006-05-25,-6.811038598833129
扬州市,2006-05-25,-6.853316441331984
镇江市,2006-05-25,-6.3851755175015406
泰州市,2006-05-25,-6.40005275443637
宿迁市,2006-05-25,-7.371356581250176
杭州市,2006-05-25,-4.0702756501844775
宁波市,2006-05-25,-4.053546922084298
温州市,2006-05-25,-3.4288365918175217
嘉兴市,2006-05-25,-4.207097982546713
湖州市,2006-05-25,-4.350228606167409
绍兴市,2006-05-25,-3.2577248538622676
金华市,2006-05-25,-3.280890989961037
衢州市,2006-05-25,-3.7236638603171848
舟山市,2006-05-25,-4.721904481216082
台州市,2006-05-25,-3.9181288227808757
丽水市,2006-05-25,-3.3241370154403107
合肥市,2006-05-25,-5.683642162199938
芜湖市,2006-05-25,-5.4779826518802075
蚌埠市,2006-05-25,-6.5050409624558085
淮南市,2006-05-25,-6.037449488093756
马鞍山市,2006-05-25,-6.105387500287524
淮北市,2006-05-25,-6.528336928722631
铜陵市,2006-05-25,-5.0922517052750536
安庆市,2006-05-25,-4.482858492951973
黄山市,2006-05-25,-4.758816029736
滁州市,2006-05-25,-6.48804622421617
阜阳市,2006-05-25,-6.426514514742248
宿州市,2006-05-25,-6.867843667914119
六安市,2006-05-25,-5.812053294797643
亳州市,2006-05-25,-6.564426073851184
