region_name,date,temp_mean_anomaly
澳门特别行政区,1989-05-25,
香港特别行政区,1989-05-25,-3.8703433498704705
北京市,1989-05-25,-0.46598799930867685
上海市,1989-05-25,-7.937792591884165
天津市,1989-05-25,-0.4248964103001178
重庆市,1989-05-25,-3.4764404494519248
白沙黎族自治县,1989-05-25,-1.9870737959194855
保亭黎族苗族自治县,1989-05-25,-1.819417943884659
昌江黎族自治县,1989-05-25,-1.4389173252634784
澄迈县,1989-05-25,-2.606962595908481
定安县,1989-05-25,-2.683045525149314
东方市,1989-05-25,-0.8432939935633605
济源市,1989-05-25,-3.0351628634553123
乐东黎族自治县,1989-05-25,-0.9013287236689465
临高县,1989-05-25,-2.6424990227739045
陵水黎族自治县,1989-05-25,-2.1061545211103834
潜江市,1989-05-25,-6.529382976670195
琼海市,1989-05-25,-2.7666596160163763
琼中黎族苗族自治县,1989-05-25,-2.585893934946718
神农架林区,1989-05-25,-4.484255970416633
台湾省,1989-05-25,-3.006357470683792
天门市,1989-05-25,-6.593625404686289
屯昌县,1989-05-25,-2.7973069708544394
万宁市,1989-05-25,-2.5835286365122485
文昌市,1989-05-25,-2.6903192469852684
五指山市,1989-05-25,-1.6963194230682248
仙桃市,1989-05-25,-6.79309016997837
石家庄市,1989-05-25,-1.7543546072236715
唐山市,1989-05-25,-1.4642243987183825
秦皇岛市,1989-05-25,-2.911818737381825
邯郸市,1989-05-25,-2.2698088505002687
邢台市,1989-05-25,-2.039383602788618
保定市,1989-05-25,-0.9170294525633906
张家口市,1989-05-25,-1.3634750036619216
承德市,1989-05-25,-0.8976215768802014
沧州市,1989-05-25,-1.4992767623671135
廊坊市,1989-05-25,-0.033522962085054786
衡水市,1989-05-25,-1.6910270895400608
太原市,1989-05-25,-3.4009323371594036
大同市,1989-05-25,-2.6801713695573604
阳泉市,1989-05-25,-2.616634257108988
长治市,1989-05-25,-4.0513930665347395
晋城市,1989-05-25,-3.7119706171930495
朔州市,1989-05-25,-3.231249683793136
晋中市,1989-05-25,-3.5401902279766198
运城市,1989-05-25,-4.963417751201554
忻州市,1989-05-25,-2.678087115237968
临汾市,1989-05-25,-4.486521885454586
吕梁市,1989-05-25,-3.6775542149496907
沈阳市,1989-05-25,-2.890338031921967
大连市,1989-05-25,-4.732056398149226
鞍山市,1989-05-25,-3.6698279302153693
抚顺市,1989-05-25,-4.120679514882568
本溪市,1989-05-25,-4.180370162553029
丹东市,1989-05-25,-4.562840127495857
锦州市,1989-05-25,-3.957343832948144
营口市,1989-05-25,-3.844706252283345
阜新市,1989-05-25,-2.6532210648980197
辽阳市,1989-05-25,-2.9672055305424045
盘锦市,1989-05-25,-4.26906007863581
铁岭市,1989-05-25,-3.253628244921561
朝阳市,1989-05-25,-1.425484606904032
葫芦岛市,1989-05-25,-3.6724182515928234
长春市,1989-05-25,-3.0953016873747856
吉林市,1989-05-25,-3.9900901614881157
四平市,1989-05-25,-3.621172153629459
辽源市,1989-05-25,-4.305241864951196
通化市,1989-05-25,-4.930635814350142
白山市,1989-05-25,-5.333842723069038
松原市,1989-05-25,-3.8359928098423026
白城市,1989-05-25,-4.175414360328567
延边朝鲜族自治州,1989-05-25,-4.465717765865417
哈尔滨市,1989-05-25,-3.3820955676258
齐齐哈尔市,1989-05-25,-3.6904689506898656
鸡西市,1989-05-25,-3.247355708021523
鹤岗市,1989-05-25,-3.0540235847258153
双鸭山市,1989-05-25,-3.176043878579808
大庆市,1989-05-25,-5.275373670919844
伊春市,1989-05-25,-3.356886747582676
佳木斯市,1989-05-25,-3.412970136985365
七台河市,1989-05-25,-3.30822014355563
牡丹江市,1989-05-25,-4.440373541700245
黑河市,1989-05-25,-2.769488182647155
绥化市,1989-05-25,-3.336663079378301
大兴安岭地区,1989-05-25,-3.7000891459445153
南京市,1989-05-25,-8.129401988208816
无锡市,1989-05-25,-8.028080935906825
徐州市,1989-05-25,-5.186036353812437
常州市,1989-05-25,-8.22071846290822
苏州市,1989-05-25,-7.978660782426548
南通市,1989-05-25,-7.291521442033666
连云港市,1989-05-25,-4.757009095544959
淮安市,1989-05-25,-6.3637026471073135
盐城市,1989-05-25,-5.867615414313246
扬州市,1989-05-25,-7.107953216618039
镇江市,1989-05-25,-8.032732886497996
泰州市,1989-05-25,-7.2336843038759895
宿迁市,1989-05-25,-5.812601298460084
杭州市,1989-05-25,-7.954014058761068
宁波市,1989-05-25,-8.826559386983813
温州市,1989-05-25,-6.667218994969822
嘉兴市,1989-05-25,-8.911259244859181
湖州市,1989-05-25,-8.945165429012661
绍兴市,1989-05-25,-9.1304903126649
金华市,1989-05-25,-8.620834068823825
衢州市,1989-05-25,-7.74824515683337
舟山市,1989-05-25,-8.356009578947827
台州市,1989-05-25,-7.876082558850587
丽水市,1989-05-25,-6.6630363191726545
合肥市,1989-05-25,-7.803619769348284
芜湖市,1989-05-25,-8.262752274513648
蚌埠市,1989-05-25,-6.867666897176786
淮南市,1989-05-25,-7.3690107349018845
马鞍山市,1989-05-25,-8.200658542016566
淮北市,1989-05-25,-5.948838488068109
铜陵市,1989-05-25,-7.6131009248422
安庆市,1989-05-25,-7.6114953892290735
黄山市,1989-05-25,-7.789326147042395
滁州市,1989-05-25,-7.6118443902817425
阜阳市,1989-05-25,-7.248830417328236
宿州市,1989-05-25,-5.735012114128519
六安市,1989-05-25,-7.4868570676396615
亳州市,1989-05-25,-6.738159563854605
池州市,1989-05-25,-7.987763598689121
宣城市,1989-05-25,-8.643730357752453
福州市,1989-05-25,-5.894981760304571
厦门市,1989-05-25,-5.831532722816242
莆田市,1989-05-25,-5.975333593520499
三明市,1989-05-25,-4.41299849070376
泉州市,1989-05-25,-5.665023135919256
漳州市,1989-05-25,-5.319927348536879
南平市,1989-05-25,-4.980260439566621
龙岩市,1989-05-25,-5.270690856549674
宁德市,1989-05-25,-5.624529661314568
南昌市,1989-05-25,-8.058353895430997
景德镇市,1989-05-25,-7.179316096304316
萍乡市,1989-05-25,-6.550230921454052
九江市,1989-05-25,-7.3285990040881686
新余市,1989-05-25,-7.7247122533243875
