region_name,date,temp_mean_anomaly
澳门特别行政区,1986-05-25,
香港特别行政区,1986-05-25,-2.289979801872086
北京市,1986-05-25,-3.397879617210325
上海市,1986-05-25,-4.581307217751764
天津市,1986-05-25,-4.282335509016409
重庆市,1986-05-25,-4.990078857962672
白沙黎族自治县,1986-05-25,-1.5429918929389856
保亭黎族苗族自治县,1986-05-25,-1.3875478101856302
昌江黎族自治县,1986-05-25,-1.4102914456070081
澄迈县,1986-05-25,-1.6104239179024766
定安县,1986-05-25,-1.5077959990245553
东方市,1986-05-25,-1.1132107333200558
济源市,1986-05-25,-10.084103859959773
乐东黎族自治县,1986-05-25,-1.1167320291257568
临高县,1986-05-25,-1.700430305563767
陵水黎族自治县,1986-05-25,-1.3587732867914113
潜江市,1986-05-25,-0.6852253728937008
琼海市,1986-05-25,-1.648684492839351
琼中黎族苗族自治县,1986-05-25,-1.6033420487866863
神农架林区,1986-05-25,-3.8554966681545046
台湾省,1986-05-25,-1.4438946394577599
天门市,1986-05-25,-0.8533212185798895
屯昌县,1986-05-25,-1.545300400675103
万宁市,1986-05-25,-1.4859533524936026
文昌市,1986-05-25,-1.865891819059044
五指山市,1986-05-25,-1.4461945330011474
仙桃市,1986-05-25,-0.20677859189732217
石家庄市,1986-05-25,-8.908599188605475
唐山市,1986-05-25,-3.7240128995189075
秦皇岛市,1986-05-25,-4.184484540213344
邯郸市,1986-05-25,-10.975146269345089
邢台市,1986-05-25,-9.861846329148884
保定市,1986-05-25,-6.1922860658984575
张家口市,1986-05-25,-5.695298018257583
承德市,1986-05-25,-3.7205634329163537
沧州市,1986-05-25,-5.670354818723407
廊坊市,1986-05-25,-4.000616109756994
衡水市,1986-05-25,-7.474125948225581
太原市,1986-05-25,-10.651886565874062
大同市,1986-05-25,-8.246420429833991
阳泉市,1986-05-25,-10.47250053607068
长治市,1986-05-25,-10.63496728228584
晋城市,1986-05-25,-9.38508957971488
朔州市,1986-05-25,-9.308497919626229
晋中市,1986-05-25,-10.679297198803669
运城市,1986-05-25,-9.788962316609071
忻州市,1986-05-25,-9.88177763140688
临汾市,1986-05-25,-9.459341605479732
吕梁市,1986-05-25,-9.90749643272104
