region_name,date,temp_mean_anomaly
澳门特别行政区,1985-05-25,
香港特别行政区,1985-05-25,-1.741625877424994
北京市,1985-05-25,-9.560213021693817
上海市,1985-05-25,-5.854729589831688
天津市,1985-05-25,-11.801669034347794
重庆市,1985-05-25,-2.398383040763566
白沙黎族自治县,1985-05-25,-0.23483222145812022
保亭黎族苗族自治县,1985-05-25,-0.3266547134996678
昌江黎族自治县,1985-05-25,-0.5451596417834494
澄迈县,1985-05-25,-0.053349721971926556
定安县,1985-05-25,-0.26831424628247547
东方市,1985-05-25,-0.23934541455537328
济源市,1985-05-25,-5.862540781228915
乐东黎族自治县,1985-05-25,-0.016030607761518212
临高县,1985-05-25,-0.3287210082360801
陵水黎族自治县,1985-05-25,-0.29276470098750806
潜江市,1985-05-25,-1.371543655854925
琼海市,1985-05-25,-0.4511214369879184
琼中黎族苗族自治县,1985-05-25,-0.23016785954790464
神农架林区,1985-05-25,-1.7219642454598123
台湾省,1985-05-25,-1.5051561685215624
天门市,1985-05-25,-0.8467142714301872
屯昌县,1985-05-25,-0.2641809749893653
万宁市,1985-05-25,-0.3254362298468685
文昌市,1985-05-25,-0.3952678151331561
五指山市,1985-05-25,-0.141885286296624
仙桃市,1985-05-25,-0.8048684474680279
石家庄市,1985-05-25,-10.428296606721194
唐山市,1985-05-25,-11.294785652954005
秦皇岛市,1985-05-25,-10.918198259006163
邯郸市,1985-05-25,-10.001730393185444
邢台市,1985-05-25,-10.478509429436892
保定市,1985-05-25,-10.137153299281383
张家口市,1985-05-25,-7.360943528369283
承德市,1985-05-25,-7.756406968626079
沧州市,1985-05-25,-11.880649590031092
廊坊市,1985-05-25,-11.41855266994788
衡水市,1985-05-25,-11.161471006764666
太原市,1985-05-25,-7.83394494748134
大同市,1985-05-25,-7.363776890806909
阳泉市,1985-05-25,-10.675761939565517
长治市,1985-05-25,-7.203045208179677
晋城市,1985-05-25,-5.32462171288908
朔州市,1985-05-25,-6.283012564201137
晋中市,1985-05-25,-8.091951972119992
运城市,1985-05-25,-4.7275792179943
忻州市,1985-05-25,-6.415270010796787
临汾市,1985-05-25,-4.703085319648842
吕梁市,1985-05-25,-4.703820167609727
沈阳市,1985-05-25,-7.401915679971102
大连市,1985-05-25,-10.720798944674764
鞍山市,1985-05-25,-10.075335100184542
抚顺市,1985-05-25,-9.303804096980144
本溪市,1985-05-25,-10.215998653896973
丹东市,1985-05-25,-10.110918049241407
锦州市,1985-05-25,-8.568643353330343
营口市,1985-05-25,-10.685824622935026
阜新市,1985-05-25,-6.433707766426004
辽阳市,1985-05-25,-9.260312871562828
盘锦市,1985-05-25,-9.3407849910346
铁岭市,1985-05-25,-6.918913119898546
朝阳市,1985-05-25,-7.898523874350042
葫芦岛市,1985-05-25,-10.202540219414324
长春市,1985-05-25,-6.721035009351194
吉林市,1985-05-25,-8.065608942591341
四平市,1985-05-25,-6.086679076794118
辽源市,1985-05-25,-7.208430447897332
通化市,1985-05-25,-9.818873406713832
白山市,1985-05-25,-11.201352798295286
松原市,1985-05-25,-6.844513168398834
白城市,1985-05-25,-6.723894972720279
延边朝鲜族自治州,1985-05-25,-8.773213759589053
哈尔滨市,1985-05-25,-8.2982630371137
齐齐哈尔市,1985-05-25,-9.18640954350343
鸡西市,1985-05-25,-7.234340166619445
