region_name,date,temp_mean_anomaly
澳门特别行政区,2003-05-25,
香港特别行政区,2003-05-25,-0.820478586126292
北京市,2003-05-25,-0.5481754568587469
上海市,2003-05-25,-7.713394233517743
天津市,2003-05-25,-0.3237018843033077
重庆市,2003-05-25,-1.7080227330290114
白沙黎族自治县,2003-05-25,-0.04019528952274598
保亭黎族苗族自治县,2003-05-25,0.3559820256865578
昌江黎族自治县,2003-05-25,0.051301229276436544
澄迈县,2003-05-25,-0.11231147698560306
定安县,2003-05-25,-0.1411602177002429
东方市,2003-05-25,0.21355947300333256
济源市,2003-05-25,-2.0751072965489072
乐东黎族自治县,2003-05-25,0.30165065009116887
临高县,2003-05-25,-0.09159351197149235
陵水黎族自治县,2003-05-25,0.2823565455335917
潜江市,2003-05-25,-3.152174000187699
琼海市,2003-05-25,-0.05298268938004824
琼中黎族苗族自治县,2003-05-25,-0.14457691753946023
神农架林区,2003-05-25,-3.1479591594532614
台湾省,2003-05-25,-1.2480067160270565
天门市,2003-05-25,-3.3299867060650783
屯昌县,2003-05-25,-0.16773324900005449
万宁市,2003-05-25,0.09455946294155027
文昌市,2003-05-25,-0.21198456764749452
五指山市,2003-05-25,0.14038921903447843
仙桃市,2003-05-25,-3.4574243293300455
石家庄市,2003-05-25,-0.6249096161920633
唐山市,2003-05-25,-2.164379915265947
秦皇岛市,2003-05-25,-3.070417381829696
邯郸市,2003-05-25,-1.5040190294970515
邢台市,2003-05-25,-1.033184846557237
保定市,2003-05-25,-0.6084170276448368
张家口市,2003-05-25,-0.8846761896032618
承德市,2003-05-25,-1.494035637633118
沧州市,2003-05-25,-0.9348238715156718
廊坊市,2003-05-25,-0.24589043841660185
衡水市,2003-05-25,-1.2821421602632128
太原市,2003-05-25,-0.4848717508068212
大同市,2003-05-25,-0.7356720360058056
阳泉市,2003-05-25,-0.6250954693736368
长治市,2003-05-25,-1.6669919147964194
晋城市,2003-05-25,-2.113801506893438
朔州市,2003-05-25,-0.29944732311092537
晋中市,2003-05-25,-0.9674973719292481
运城市,2003-05-25,-0.9211035836376595
忻州市,2003-05-25,-0.40897104066424106
临汾市,2003-05-25,-0.9859186132787414
吕梁市,2003-05-25,-0.030259281585610864
