region_name,date,temp_min_anomaly_threshold
七台河市,06-01,-1.0473165772347024
万宁市,06-01,1.0181525248079535
三亚市,06-01,1.0398547901818063
三明市,06-01,-0.34198593820382495
三门峡市,06-01,-0.5972207140515335
上海市,06-01,-2.592864335121178
上饶市,06-01,-0.8420667721367358
东方市,06-01,1.5461740404063058
东莞市,06-01,0.2106161170676387
东营市,06-01,-0.7381599499856686
中卫市,06-01,-0.08447169572528375
中山市,06-01,0.22626627507538957
临夏回族自治州,06-01,-0.4497091999090869
临汾市,06-01,-0.4275365551075137
临沂市,06-01,-1.2306468740024323
临沧市,06-01,0.7076049305501719
临高县,06-01,1.0334550386412664
丹东市,06-01,-3.0281564054985317
丽水市,06-01,-0.5899679846157666
丽江市,06-01,0.48212019968725106
乌兰察布市,06-01,0.4586512380652758
乌海市,06-01,0.45079192909947613
乌鲁木齐市,06-01,0.459840536600176
乐东黎族自治县,06-01,1.0288328704507004
乐山市,06-01,0.061375557584669255
九江市,06-01,-0.8094525891925612
云浮市,06-01,0.26149652221264746
五家渠市,06-01,0.6943986160647461
五指山市,06-01,0.8533285672488568
亳州市,06-01,-0.05860332348202015
仙桃市,06-01,-0.7514616469045646
伊春市,06-01,-1.2198109728168562
伊犁哈萨克自治州,06-01,-0.2047727833451368
佛山市,06-01,0.23210878506318652
佳木斯市,06-01,-1.025566743636201
保亭黎族苗族自治县,06-01,0.8673026022795367
保定市,06-01,0.04386761139762747
保山市,06-01,0.09048485596628737
信阳市,06-01,-0.4494625539998963
儋州市,06-01,1.2378877694214658
克孜勒苏柯尔克孜自治州,06-01,-1.6517871736956358
克拉玛依市,06-01,0.9262288170163085
六安市,06-01,-0.9193750798905893
六盘水市,06-01,0.7781927500187075
兰州市,06-01,-0.29424634306086683
兴安盟,06-01,-0.5328697821355496
内江市,06-01,-0.05498034716764736
凉山彝族自治州,06-01,0.4451343769829816
包头市,06-01,0.9125482124754187
北京市,06-01,-0.18980803462049156
北屯市,06-01,0.6585130394245001
北海市,06-01,0.7047764424353637
十堰市,06-01,-0.6064821127235127
南京市,06-01,-1.5920594355860471
南充市,06-01,-0.4083108280395479
南宁市,06-01,0.3938854089443257
南平市,06-01,-0.6272676385521051
南昌市,06-01,-0.7983665357967333
南通市,06-01,-2.4448868528360577
南阳市,06-01,-0.026824178586608717
博尔塔拉蒙古自治州,06-01,0.13705428199280928
厦门市,06-01,-0.08336292593679875
双河市,06-01,0.5228572866316586
双鸭山市,06-01,-1.2081604061506233
可克达拉市,06-01,0.6749747807886775
台州市,06-01,-1.0615073983389494
台湾省,06-01,0.0011971880626668301
合肥市,06-01,-1.2386182455152361
吉安市,06-01,-0.2984471333839287
吉林市,06-01,-1.2574099873983235
吐鲁番市,06-01,0.7963622808758158
吕梁市,06-01,-0.04763307461545213
吴忠市,06-01,0.08326808182927685
周口市,06-01,-0.042858370416427226
呼伦贝尔市,06-01,-0.774566369696762
呼和浩特市,06-01,0.4593142254121559
和田地区,06-01,-1.65465021062251
咸宁市,06-01,-0.8617332280672801
咸阳市,06-01,-0.1382318790146759
哈密市,06-01,0.7784146010682006
哈尔滨市,06-01,-0.9173990549239208
唐山市,06-01,-0.8329714802275109
商丘市,06-01,-0.1495590749950711
商洛市,06-01,-0.5027348052956124
喀什地区,06-01,-1.547998385182515
嘉兴市,06-01,-2.1659734770776855
嘉峪关市,06-01,0.2030141266805605
四平市,06-01,-0.49590134210779446
固原市,06-01,-0.6791206712017802
图木舒克市,06-01,-0.016994009242800968
塔城地区,06-01,0.4459091755890877
大兴安岭地区,06-01,-1.311900099619148
大同市,06-01,-0.6160004190939736
大庆市,06-01,-0.7305067816526475
大理白族自治州,06-01,0.28021383642549763
大连市,06-01,-2.7805929492189714
天水市,06-01,-0.8128739097234591
天津市,06-01,0.1303727558305208
天门市,06-01,-0.5631609888409095
太原市,06-01,-0.3221294283121099
威海市,06-01,-2.6480074760532197
娄底市,06-01,-0.1277138934189274
孝感市,06-01,-0.352228802763682
宁德市,06-01,-0.4188634914722902
宁波市,06-01,-1.771895300364287
安庆市,06-01,-0.8431623543673097
安康市,06-01,-0.7655197367607348
安阳市,06-01,-0.16240911364839233
安顺市,06-01,0.7046475987174625
定安县,06-01,1.2445634956545335
定西市,06-01,-0.5620461823178816
宜宾市,06-01,0.16543753463845617
宜昌市,06-01,-0.5136262645917495
宜春市,06-01,-0.5758881708243905
宝鸡市,06-01,-0.7409847392410807
宣城市,06-01,-1.3032138189062037
宿州市,06-01,-0.5743315285805138
宿迁市,06-01,-1.313032601965964
屯昌县,06-01,1.16150678676723
山南市,06-01,-0.9023838949354634
岳阳市,06-01,-0.6876582643815276
崇左市,06-01,0.619611826084826
巴中市,06-01,-0.6251162353415739
巴彦淖尔市,06-01,0.7808394791659001
巴音郭楞蒙古自治州,06-01,-0.4130396042790319
常州市,06-01,-1.6810642710122667
常德市,06-01,-0.5858588440268856
平凉市,06-01,-0.5952063170156289
平顶山市,06-01,-0.12451290898847961
广元市,06-01,-0.35008723837581185
广安市,06-01,-0.6536611580444918
广州市,06-01,0.1442847775377406
庆阳市,06-01,-0.3725173002637805
廊坊市,06-01,0.7636931349557873
延安市,06-01,-0.24871961565354395
延边朝鲜族自治州,06-01,-1.928010937476119
开封市,06-01,0.10136727151839815
张家口市,06-01,-0.16982682272004768
张家界市,06-01,-0.4759001446057075
张掖市,06-01,-0.5786575116354845
徐州市,06-01,-0.7949770298776161
德宏傣族景颇族自治州,06-01,0.36057868894614375
德州市,06-01,0.510586908690329
德阳市,06-01,0.16732396496950555
忻州市,06-01,-0.39823674839029904
怀化市,06-01,-0.22729312990541914
怒江傈僳族自治州,06-01,-0.3459106198587259
