region_name,date,temp_mean_anomaly_threshold
七台河市,06-01,0.5283229053395309
万宁市,06-01,1.158076610862156
三亚市,06-01,1.229771610088748
三明市,06-01,-0.2565191973349492
三门峡市,06-01,0.9109612127580248
上海市,06-01,-2.23692027524567
上饶市,06-01,-0.3257430355879085
东方市,06-01,1.6716661053250275
东莞市,06-01,0.37748435460197244
东营市,06-01,1.198711926676999
中卫市,06-01,1.4494674140522135
中山市,06-01,0.4625938795944983
临夏回族自治州,06-01,0.7556264462182101
临汾市,06-01,1.045991168663895
临沂市,06-01,0.6729994007395057
临沧市,06-01,3.0634238421694215
临高县,06-01,1.451951879913532
丹东市,06-01,-1.7263177897196218
丽水市,06-01,-0.5171543791115143
丽江市,06-01,2.8423647068615328
乌兰察布市,06-01,1.8975677970291827
乌海市,06-01,1.8608424124887637
乌鲁木齐市,06-01,1.3104791704421845
乐东黎族自治县,06-01,1.2649367261589823
乐山市,06-01,0.46747965776683925
九江市,06-01,-0.2047105817853346
云浮市,06-01,0.3128684518169718
五家渠市,06-01,1.9082452310725084
五指山市,06-01,1.231961201173357
亳州市,06-01,1.580727422084494
仙桃市,06-01,0.22329792526834424
伊春市,06-01,0.27915904307805567
伊犁哈萨克自治州,06-01,0.12039299455567391
佛山市,06-01,0.409176008727769
佳木斯市,06-01,0.29018234148950856
保亭黎族苗族自治县,06-01,1.2637848752160559
保定市,06-01,1.9835255326553543
保山市,06-01,2.169992713509213
信阳市,06-01,0.5652317466418774
儋州市,06-01,1.5146220369492296
克孜勒苏柯尔克孜自治州,06-01,-0.7475930662163089
克拉玛依市,06-01,1.7732253829876856
六安市,06-01,0.17839731303426057
六盘水市,06-01,1.0509248518847734
兰州市,06-01,1.0529599449268265
兴安盟,06-01,1.6829739490069076
内江市,06-01,0.6832625488681889
凉山彝族自治州,06-01,1.2126993200104956
包头市,06-01,2.2626646609792487
北京市,06-01,1.9411538248382874
北屯市,06-01,1.873381853774967
北海市,06-01,0.7638244627625018
十堰市,06-01,0.6864236975282761
南京市,06-01,-0.4499280190479445
南充市,06-01,0.10284006362400333
南宁市,06-01,0.6226227397978317
南平市,06-01,-0.44701252439072625
南昌市,06-01,-0.2617110740401046
南通市,06-01,-1.571997406825151
南阳市,06-01,1.404695468007976
博尔塔拉蒙古自治州,06-01,0.5618736017779303
厦门市,06-01,-0.1484179535351182
双河市,06-01,1.2801585506011186
双鸭山市,06-01,0.11265206163822346
可克达拉市,06-01,1.4261167761834217
台州市,06-01,-1.062602832806573
台湾省,06-01,0.05260461692034772
合肥市,06-01,0.04011440427508836
吉安市,06-01,-0.27446326001159493
吉林市,06-01,0.25940748763044214
吐鲁番市,06-01,1.554358999772536
吕梁市,06-01,1.035719669674431
吴忠市,06-01,1.4117155844698315
周口市,06-01,1.6562831952823582
呼伦贝尔市,06-01,1.0227644626384222
呼和浩特市,06-01,1.7461235271612638
和田地区,06-01,-0.5978664305604241
咸宁市,06-01,-0.007251540797717993
咸阳市,06-01,1.535603900354746
哈密市,06-01,1.4229539129804858
哈尔滨市,06-01,0.6353517102291101
唐山市,06-01,0.8066531490433182
商丘市,06-01,1.641734672674555
商洛市,06-01,0.6594358707388435
喀什地区,06-01,-0.6949379496705383
嘉兴市,06-01,-1.791149064831577
嘉峪关市,06-01,1.1348955349165568
四平市,06-01,1.0306363673060315
固原市,06-01,0.42453747316711665
图木舒克市,06-01,1.4133071822269396
塔城地区,06-01,1.2407924208360812
大兴安岭地区,06-01,0.9821724383709536
大同市,06-01,1.1664507260333994
大庆市,06-01,0.9168294352842874
大理白族自治州,06-01,2.776659885875738
大连市,06-01,-1.5566248884382665
天水市,06-01,0.020738377293965042
天津市,06-01,1.8071863724855937
天门市,06-01,0.34742193465024407
太原市,06-01,1.0854045323142447
威海市,06-01,-1.4742011636971828
娄底市,06-01,0.16262010442550612
孝感市,06-01,0.24011778476200527
宁德市,06-01,-0.5124147573937562
宁波市,06-01,-1.7270224802713554
安庆市,06-01,-0.20204565666800733
安康市,06-01,0.32174614935483437
安阳市,06-01,1.6293634754077109
安顺市,06-01,0.7485866496820521
定安县,06-01,1.3735504812174844
定西市,06-01,0.35814768142209136
宜宾市,06-01,0.744986825598237
宜昌市,06-01,0.19863952856278225
宜春市,06-01,-0.293845593714361
宝鸡市,06-01,0.3612373403658346
宣城市,06-01,-0.5295451753911787
宿州市,06-01,1.2972545528755688
宿迁市,06-01,0.2635653953717647
屯昌县,06-01,1.3585550624692564
山南市,06-01,-0.4119214805245665
岳阳市,06-01,-0.15858907642241007
崇左市,06-01,1.0513435367361619
巴中市,06-01,0.0009277950831397362
巴彦淖尔市,06-01,2.0058261392959253
巴音郭楞蒙古自治州,06-01,0.22755380850011622
常州市,06-01,-0.7889224655875797
常德市,06-01,0.035696861584252365
平凉市,06-01,0.6022555143928708
平顶山市,06-01,1.7691836215868708
广元市,06-01,0.29649703734650273
广安市,06-01,-0.1661168135708141
广州市,06-01,0.38006934340084275
庆阳市,06-01,1.1941311568403274
廊坊市,06-01,2.383844931499281
延安市,06-01,1.3301215707627347
延边朝鲜族自治州,06-01,-0.020826401956268965
开封市,06-01,1.9521394535741203
张家口市,06-01,1.4572223243092728
张家界市,06-01,0.04911103531920007
张掖市,06-01,0.7285215330684397
徐州市,06-01,1.081411236126625
德宏傣族景颇族自治州,06-01,2.1764591165680307
德州市,06-01,1.6333727479840556
德阳市,06-01,0.9188581605488244
忻州市,06-01,1.0046297268012718
怀化市,06-01,0.06276235710751532
怒江傈僳族自治州,06-01,0.29789782433820666
恩施土家族苗族自治州,06-01,-0.09112516774709796
惠州市,06-01,0.3197156339167771
成都市,06-01,0.9445095491452605
扬州市,06-01,-0.422608999698637
承德市,06-01,1.2025150804695997
抚州市,06-01,-0.24807991129066445
抚顺市,06-01,-0.13830293015025266
拉萨市,06-01,0.05092921591270044
揭阳市,06-01,0.3281799086439638
攀枝花市,06-01,3.4539822533069278
文山壮族苗族自治州,06-01,1.4605593769349947
文昌市,06-01,1.120626075042203
新乡市,06-01,1.5546706099206813
新余市,06-01,-0.269727578583268
新星市,06-01,1.3762435265098734
无锡市,06-01,-1.103340162684626
日喀则市,06-01,-0.24854114998881524
日照市,06-01,-0.04341949765887439
昆明市,06-01,1.8947659646044535
昆玉市,06-01,1.0424773133757914
昌吉回族自治州,06-01,1.698432243054659
昌江黎族自治县,06-01,1.6234357388892662
昌都市,06-01,-0.355801571912185
昭通市,06-01,0.7842570939521313
晋中市,06-01,1.033359903566928
晋城市,06-01,1.1999979915550256
普洱市,06-01,2.6721801817945536
景德镇市,06-01,-0.27855553501768626
曲靖市,06-01,1.5359472600927049
朔州市,06-01,1.2743538238053032
朝阳市,06-01,2.0164228826190973
本溪市,06-01,-0.8864525896146975
来宾市,06-01,0.2922874150000486
杭州市,06-01,-0.7237179574244609
松原市,06-01,1.1111413197938858
林芝市,06-01,-0.9916706094726613
果洛藏族自治州,06-01,-0.5455791579097453
枣庄市,06-01,1.0120628200725041
柳州市,06-01,0.22992344081149585
株洲市,06-01,-0.12710001970440943
桂林市,06-01,0.10389820388644404
梅州市,06-01,0.2243472652977003
梧州市,06-01,0.1508944076973347
楚雄彝族自治州,06-01,3.2260595743964213
榆林市,06-01,1.6045897005099883
武威市,06-01,1.398047052721588
武汉市,06-01,-0.0009266541871054251
毕节市,06-01,0.7578576312353391
永州市,06-01,0.08574180712527832
汉中市,06-01,0.14325103673373485
汕头市,06-01,0.14865949919051594
汕尾市,06-01,0.3015805168132649
江门市,06-01,0.5114951503313256
池州市,06-01,-0.3419565181259751
沈阳市,06-01,0.645694096344308
沧州市,06-01,1.8710221608257664
河池市,06-01,0.38411455940727823
河源市,06-01,0.327559433900673
泉州市,06-01,-0.19170946842641956
泰安市,06-01,0.9739677568173455
泰州市,06-01,-0.6009345033269367
泸州市,06-01,0.3431054633755313
洛阳市,06-01,1.2409693771800778
济南市,06-01,1.2200986686549156
济宁市,06-01,1.2048800050985597
济源市,06-01,1.6800213189217672
海东市,06-01,0.42509143185722353
海北藏族自治州,06-01,-0.7153510906230882
海南藏族自治州,06-01,-0.2589241984460965
海口市,06-01,1.2329604415148574
海西蒙古族藏族自治州,06-01,-0.5032583019478207
淄博市,06-01,1.2478091244222551
淮北市,06-01,1.4357712064730124
淮南市,06-01,0.5554499204409834
淮安市,06-01,-0.10812064657885126
深圳市,06-01,0.3812612386715053
清远市,06-01,0.10756585098522263
温州市,06-01,-0.8772721872592981
渭南市,06-01,1.570360989944285
湖州市,06-01,-1.061051377603733
湘潭市,06-01,-0.06426621324894385
湘西土家族苗族自治州,06-01,0.023081929973486497
湛江市,06-01,0.9531421772742015
滁州市,06-01,-0.11239221041188771
滨州市,06-01,1.6175631781602244
漯河市,06-01,2.1212687737775258
漳州市,06-01,0.04589796566575428
潍坊市,06-01,0.6577979600392498
潜江市,06-01,0.37607677819394286
潮州市,06-01,0.20525814185478458
澄迈县,06-01,1.355934776376831
濮阳市,06-01,1.7247299841518722
烟台市,06-01,-0.3806028631078908
焦作市,06-01,1.5161026356147491
牡丹江市,06-01,-0.02507913041981826
玉林市,06-01,0.4940304561792247
玉树藏族自治州,06-01,-1.3505072766064683
玉溪市,06-01,2.175534025344637
珠海市,06-01,0.33977254401454615
琼中黎族苗族自治县,06-01,1.237539572058344
琼海市,06-01,1.2824010298591468
甘南藏族自治州,06-01,-0.16878277253821064
甘孜藏族自治州,06-01,0.08117141888750823
白城市,06-01,1.303378811878275
白山市,06-01,-0.3283357524274004
白杨市,06-01,0.9065459619422175
白沙黎族自治县,06-01,1.4098707141168423
白银市,06-01,1.3463889006209997
百色市,06-01,1.090175496930707
益阳市,06-01,0.19522014485194583
盐城市,06-01,-0.8097643892444557
盘锦市,06-01,-0.33415045832605056
眉山市,06-01,0.8144973030868781
石嘴山市,06-01,1.6209538445178144
石家庄市,06-01,2.0245777874094393
石河子市,06-01,0.9983920506902495
神农架林区,06-01,-0.10875364233272258
福州市,06-01,-0.43694041917234505
秦皇岛市,06-01,0.4229508181137479
红河哈尼族彝族自治州,06-01,1.55414997704386
绍兴市,06-01,-0.993354701524232
绥化市,06-01,0.9477233488930674
绵阳市,06-01,0.20492934962326534
聊城市,06-01,1.560106943642227
肇庆市,06-01,0.22292539009833448
胡杨河市,06-01,1.5853922320001
自贡市,06-01,0.764080298945045
舟山市,06-01,-2.9190629600639584
芜湖市,06-01,-0.42540936906321275
苏州市,06-01,-1.4161564799930775
茂名市,06-01,0.5826110808317732
荆州市,06-01,0.3259195380390957
荆门市,06-01,0.45156979031433236
莆田市,06-01,-0.27252960166674406
菏泽市,06-01,1.5801626067888508
萍乡市,06-01,-0.12300513901433104
营口市,06-01,-0.5996996887512114
葫芦岛市,06-01,0.5719507898032531
蚌埠市,06-01,0.823515727322323
衡水市,06-01,1.9263882559091
衡阳市,06-01,-0.03477626527462966
衢州市,06-01,-0.560437227975207
襄阳市,06-01,1.072240596368315
西双版纳傣族自治州,06-01,2.6094057560090067
西宁市,06-01,0.21411658679075002
西安市,06-01,0.7123476061650793
许昌市,06-01,2.1517898437330314
贵港市,06-01,0.2889512153370858
贵阳市,06-01,0.5013242917534496
贺州市,06-01,0.11140024794299129
资阳市,06-01,0.6140380229144641
赣州市,06-01,0.010896050826684751
赤峰市,06-01,1.901160149249743
辽源市,06-01,0.8478104854592651
辽阳市,06-01,-0.026861642625637686
达州市,06-01,-0.26732562485410344
运城市,06-01,1.2922239016571504
连云港市,06-01,0.46456041453814834
迪庆藏族自治州,06-01,0.3747595837400012
通化市,06-01,-0.27272203047006016
通辽市,06-01,1.652818376167489
遂宁市,06-01,0.445912368562684
遵义市,06-01,0.13689955580595256
邢台市,06-01,1.7787166508497405
那曲市,06-01,-0.8853133569772932
邯郸市,06-01,1.6446907328499
邵阳市,06-01,0.1148050791212402
郑州市,06-01,1.733055160339957
郴州市,06-01,-0.07663865835249067
鄂尔多斯市,06-01,1.808447247120764
鄂州市,06-01,-0.09014165898918393
酒泉市,06-01,0.6036889259771259
重庆市,06-01,-0.21071461965716543
金华市,06-01,-0.9714982172240871
金昌市,06-01,1.519009364052394
钦州市,06-01,0.7381062970688385
铁岭市,06-01,0.8132841074411771
铁门关市,06-01,1.2055672935222805
铜仁市,06-01,0.0681507467324066
铜川市,06-01,1.734339509792984
铜陵市,06-01,-0.2915747502795427
银川市,06-01,1.459634480349911
锡林郭勒盟,06-01,1.6678228315562005
锦州市,06-01,0.14257467835757492
镇江市,06-01,-0.49714069282145246
长春市,06-01,0.753742280528691
长沙市,06-01,-0.2557431405424671
长治市,06-01,0.9219143442273653
阜新市,06-01,1.2066976903146627
阜阳市,06-01,0.9931292019370467
防城港市,06-01,0.7396990407774562
阳江市,06-01,0.6061838953323336
阳泉市,06-01,1.3402174132104754
阿克苏地区,06-01,1.3034658933735424
阿勒泰地区,06-01,1.2949742907576913
阿坝藏族羌族自治州,06-01,-0.21409742938263537
阿拉善盟,06-01,1.2134123351948976
阿拉尔市,06-01,1.6316990609992523
阿里地区,06-01,-1.205077513120346
陇南市,06-01,-0.06107345386268237
陵水黎族自治县,06-01,1.235848511667733
随州市,06-01,0.510524961516094
雅安市,06-01,-0.012921650994558343
青岛市,06-01,-0.7171672526287418
鞍山市,06-01,-0.596213448378617
韶关市,06-01,0.08918479353383972
香港特别行政区,06-01,0.3597866771720776
马鞍山市,06-01,-0.46855163346995343
驻马店市,06-01,1.1208645699308653
鸡西市,06-01,-0.4248542642136656
鹤壁市,06-01,1.742550284709941
鹤岗市,06-01,0.4828573866795759
鹰潭市,06-01,-0.1967536289309507
黄冈市,06-01,-0.21055493443327494
黄南藏族自治州,06-01,-0.29277928737653974
黄山市,06-01,-0.34109388996883155
黄石市,06-01,-0.15093990247510686
黑河市,06-01,0.9856570121844478
黔东南苗族侗族自治州,06-01,0.24300391297774815
黔南布依族苗族自治州,06-01,0.3573175852742156
黔西南布依族苗族自治州,06-01,1.2490800502051937
齐齐哈尔市,06-01,1.6375025668909802
龙岩市,06-01,0.013275459679461133
七台河市,06-02,0.5730936008941249
万宁市,06-02,1.2034861470730807
三亚市,06-02,1.229771610088748
三明市,06-02,-0.0418618858730659
三门峡市,06-02,1.0048285570243065
上海市,06-02,-2.102491352953507
上饶市,06-02,-0.3046225448815206
东方市,06-02,1.6785766367895159
东莞市,06-02,0.3744411612323109
东营市,06-02,1.198711926676999
中卫市,06-02,1.460203806333898
中山市,06-02,0.4625938795944983
临夏回族自治州,06-02,0.7893118384033094
临汾市,06-02,1.0551119100375888
临沂市,06-02,0.6988165373226902
临沧市,06-02,3.0231505959238434
临高县,06-02,1.482881227322212
丹东市,06-02,-1.5022720940252527
丽水市,06-02,-0.42260571179179945
丽江市,06-02,2.7504400775791478
乌兰察布市,06-02,2.071971406792705
乌海市,06-02,1.9306579605334477
乌鲁木齐市,06-02,1.4167294916432882
乐东黎族自治县,06-02,1.2469644240930309
乐山市,06-02,0.4770689117216489
九江市,06-02,-0.2033632323221455
云浮市,06-02,0.3992773956108541
五家渠市,06-02,2.1602769574889438
五指山市,06-02,1.188298367556126
亳州市,06-02,1.6036923052091814
仙桃市,06-02,0.39247797119660505
伊春市,06-02,0.32815306313747666
伊犁哈萨克自治州,06-02,0.19247988480875
佛山市,06-02,0.5138549239246285
佳木斯市,06-02,0.3909967178576197
保亭黎族苗族自治县,06-02,1.2637848752160559
保定市,06-02,2.1547410537731246
保山市,06-02,2.169992713509213
信阳市,06-02,0.6278425042059314
儋州市,06-02,1.5186108897324984
克孜勒苏柯尔克孜自治州,06-02,-0.6138204859228377
克拉玛依市,06-02,1.9063231264262441
六安市,06-02,0.2290006850896596
六盘水市,06-02,1.0509248518847734
兰州市,06-02,1.1145804578740852
兴安盟,06-02,1.9288162094945946
内江市,06-02,0.7599958165064865
凉山彝族自治州,06-02,1.2183600202186176
包头市,06-02,2.3812310418378386
北京市,06-02,2.1278532383542275
北屯市,06-02,2.070911520544335
北海市,06-02,0.7842914883292217
十堰市,06-02,0.7169914310527836
南京市,06-02,-0.3403146781190949
南充市,06-02,0.24987100511937793
南宁市,06-02,0.6226227397978317
南平市,06-02,-0.25291684390314095
南昌市,06-02,-0.22988829421497958
南通市,06-02,-1.508074563704081
南阳市,06-02,1.4900766001645351
博尔塔拉蒙古自治州,06-02,0.7521146463518981
厦门市,06-02,-0.032386679898949805
双河市,06-02,1.5144452030475244
双鸭山市,06-02,0.18272308745330865
可克达拉市,06-02,1.4897080543949397
台州市,06-02,-0.9766375285098202
台湾省,06-02,0.0904636205337624
合肥市,06-02,0.034463158675586615
吉安市,06-02,-0.19160196866382873
吉林市,06-02,0.3752173312148244
吐鲁番市,06-02,1.642843458089019
吕梁市,06-02,1.0761419261022092
吴忠市,06-02,1.6231430431584128
周口市,06-02,1.7789160596547078
呼伦贝尔市,06-02,1.256585692298789
呼和浩特市,06-02,2.0004087768773395
和田地区,06-02,-0.3852548575874229
咸宁市,06-02,-0.05151298597673874
咸阳市,06-02,1.56485794668747
哈密市,06-02,1.7515424391466776
哈尔滨市,06-02,0.7207383104428218
唐山市,06-02,1.0847952582262863
商丘市,06-02,1.8970722850249897
商洛市,06-02,0.6671788427726947
喀什地区,06-02,-0.3354666968076064
嘉兴市,06-02,-1.6646031398709469
嘉峪关市,06-02,1.1348955349165568
四平市,06-02,1.203334197136584
固原市,06-02,0.5136844666050373
图木舒克市,06-02,1.723813263492115
塔城地区,06-02,1.521344615303077
大兴安岭地区,06-02,1.0125250413121205
大同市,06-02,1.2840411715527844
大庆市,06-02,1.0435364378779108
大理白族自治州,06-02,2.776659885875738
大连市,06-02,-1.507949678131743
天水市,06-02,0.1080172029813223
天津市,06-02,2.0079292948280307
天门市,06-02,0.4272626007077974
太原市,06-02,1.1175650339316499
威海市,06-02,-1.3593095049360104
娄底市,06-02,0.18952823836450164
孝感市,06-02,0.3350207543729497
宁德市,06-02,-0.4105451838822458
宁波市,06-02,-1.6464872964193593
安庆市,06-02,-0.15414449451294313
安康市,06-02,0.381762136249734
安阳市,06-02,1.660994742660153
安顺市,06-02,0.754619475878118
定安县,06-02,1.407334761259685
定西市,06-02,0.4578927025858432
宜宾市,06-02,0.8704422799268328
宜昌市,06-02,0.26853627265173186
宜春市,06-02,-0.293845593714361
宝鸡市,06-02,0.454568126344635
宣城市,06-02,-0.3925784415409017
宿州市,06-02,1.3382285754736576
宿迁市,06-02,0.5180127809597604
屯昌县,06-02,1.3738469779992417
山南市,06-02,-0.2229720051305149
岳阳市,06-02,-0.14768337697486933
崇左市,06-02,1.0120275233993055
巴中市,06-02,0.08780419152339063
巴彦淖尔市,06-02,2.0945076025423366
巴音郭楞蒙古自治州,06-02,0.35709888981403765
常州市,06-02,-0.7215842356192604
常德市,06-02,0.04455337248525725
平凉市,06-02,0.6914277184089256
平顶山市,06-02,1.9563336904029736
广元市,06-02,0.339975968397673
广安市,06-02,-0.09322862941208584
广州市,06-02,0.4011120500940997
庆阳市,06-02,1.236192845152467
廊坊市,06-02,2.441960044767745
延安市,06-02,1.4042510043833876
延边朝鲜族自治州,06-02,0.050450258103201646
开封市,06-02,1.985628097199253
张家口市,06-02,1.594461213309387
张家界市,06-02,0.08783537032674504
张掖市,06-02,0.7332802618893713
徐州市,06-02,1.1110614431203836
德宏傣族景颇族自治州,06-02,2.0986017037538978
德州市,06-02,1.6589695529757027
德阳市,06-02,0.9609332490590541
忻州市,06-02,1.2144387547099553
怀化市,06-02,0.11817763262445842
怒江傈僳族自治州,06-02,0.37652156415229293
恩施土家族苗族自治州,06-02,-0.046452701867807915
惠州市,06-02,0.3197156339167771
成都市,06-02,0.9709631145411325
扬州市,06-02,-0.314097360601926
承德市,06-02,1.4337322550971308
抚州市,06-02,-0.20280472817647816
抚顺市,06-02,0.062277538075271074
拉萨市,06-02,0.238744392702324
揭阳市,06-02,0.32403269356018105
攀枝花市,06-02,3.2340390823722767
文山壮族苗族自治州,06-02,1.4564887651991236
文昌市,06-02,1.1468228305880925
新乡市,06-02,1.6688110808766985
新余市,06-02,-0.269727578583268
新星市,06-02,1.5653643277621407
无锡市,06-02,-1.043916431492654
日喀则市,06-02,0.014928087381412002
日照市,06-02,-0.04341949765887439
昆明市,06-02,1.851086150221463
昆玉市,06-02,1.2418575664486335
昌吉回族自治州,06-02,1.9529362181876833
昌江黎族自治县,06-02,1.6313246746161458
昌都市,06-02,-0.233521864170274
昭通市,06-02,0.8343962486838917
晋中市,06-02,1.0619853397683712
晋城市,06-02,1.235983390272653
普洱市,06-02,2.3985388416431044
景德镇市,06-02,-0.27212940555459886
曲靖市,06-02,1.504831859723323
朔州市,06-02,1.4010135383986004
朝阳市,06-02,2.1089650605067782
本溪市,06-02,-0.7317459429006732
来宾市,06-02,0.32821719166735996
杭州市,06-02,-0.69456236294915
松原市,06-02,1.2565210200026153
林芝市,06-02,-0.8986408456164957
果洛藏族自治州,06-02,-0.4984789093512082
枣庄市,06-02,1.0603952460896766
柳州市,06-02,0.26356570247196454
株洲市,06-02,-0.12710001970440943
桂林市,06-02,0.1317029021074446
梅州市,06-02,0.234719914462953
梧州市,06-02,0.19858850922750798
楚雄彝族自治州,06-02,3.0273872085329288
榆林市,06-02,1.634876816094046
武威市,06-02,1.436368155172176
武汉市,06-02,0.03876075694828161
毕节市,06-02,0.868524776405426
永州市,06-02,0.10116731096571839
汉中市,06-02,0.22073878875429775
汕头市,06-02,0.14865949919051594
汕尾市,06-02,0.3015805168132649
江门市,06-02,0.525052797309151
池州市,06-02,-0.2694734780603295
沈阳市,06-02,0.9415623491589208
沧州市,06-02,1.922246819916414
河池市,06-02,0.40336407988262035
河源市,06-02,0.35973080394220003
泉州市,06-02,-0.0884755653938586
泰安市,06-02,0.9943939532751527
泰州市,06-02,-0.6009345033269367
泸州市,06-02,0.5233718796508573
洛阳市,06-02,1.3947079013714094
济南市,06-02,1.2255227044738581
济宁市,06-02,1.243609053240068
济源市,06-02,1.7674428112925125
海东市,06-02,0.5245419433421622
海北藏族自治州,06-02,-0.6783578429358613
海南藏族自治州,06-02,-0.14726823765924635
海口市,06-02,1.2769849965387727
海西蒙古族藏族自治州,06-02,-0.44674029360307055
淄博市,06-02,1.2579296782363965
淮北市,06-02,1.657450979449672
淮南市,06-02,0.5837110723372689
淮安市,06-02,-0.034468712391155856
深圳市,06-02,0.3840095276331939
清远市,06-02,0.20707002766679633
温州市,06-02,-0.7494600134967163
渭南市,06-02,1.7380194304999514
湖州市,06-02,-1.0103041446920005
湘潭市,06-02,0.05387530444125726
湘西土家族苗族自治州,06-02,0.1388519006368709
湛江市,06-02,0.9761142612609354
滁州市,06-02,-0.08852291710619684
滨州市,06-02,1.6885565967040643
漯河市,06-02,2.3059377579975613
漳州市,06-02,0.04589796566575428
潍坊市,06-02,0.5920073035252907
潜江市,06-02,0.46971979957723603
潮州市,06-02,0.20525814185478458
澄迈县,06-02,1.3706454082748987
濮阳市,06-02,1.8001517879900202
烟台市,06-02,-0.3569941048538921
焦作市,06-02,1.601468785050041
牡丹江市,06-02,0.18534747346907413
玉林市,06-02,0.5573784285464375
玉树藏族自治州,06-02,-0.8662790463930996
玉溪市,06-02,2.136778049732212
珠海市,06-02,0.3411058894178716
琼中黎族苗族自治县,06-02,1.322453571644196
琼海市,06-02,1.2929009766797142
甘南藏族自治州,06-02,-0.05209330332430606
甘孜藏族自治州,06-02,0.1847273023418156
白城市,06-02,1.6755482974806994
白山市,06-02,-0.3210386481822735
白杨市,06-02,1.417295842938178
白沙黎族自治县,06-02,1.4098707141168423
白银市,06-02,1.3646603740595904
百色市,06-02,1.072457519302521
益阳市,06-02,0.21244669880648218
盐城市,06-02,-0.8097643892444557
盘锦市,06-02,-0.20692658902412875
眉山市,06-02,0.9543059016015841
石嘴山市,06-02,1.693065351735945
石家庄市,06-02,2.034338092893326
石河子市,06-02,1.200328547811227
神农架林区,06-02,-0.0439242105567237
福州市,06-02,-0.3614502272643419
秦皇岛市,06-02,0.5354578883342845
红河哈尼族彝族自治州,06-02,1.5028523999274739
绍兴市,06-02,-0.9101892710730277
绥化市,06-02,1.0167767508033347
绵阳市,06-02,0.3204864069572761
聊城市,06-02,1.5798369063976343
肇庆市,06-02,0.30627197325406946
胡杨河市,06-02,1.7676210362234284
自贡市,06-02,0.814733333993537
舟山市,06-02,-2.7748493958903473
芜湖市,06-02,-0.3420146968588479
苏州市,06-02,-1.3755086465572712
茂名市,06-02,0.634773750382031
荆州市,06-02,0.3295807254650109
荆门市,06-02,0.5689634099580246
莆田市,06-02,-0.2245842026546077
菏泽市,06-02,1.6533955728909997
萍乡市,06-02,-0.12987967310166065
营口市,06-02,-0.4243965162323759
葫芦岛市,06-02,0.6748295118406535
蚌埠市,06-02,0.8286782126214092
衡水市,06-02,1.930082834806037
衡阳市,06-02,-0.004570896416508487
衢州市,06-02,-0.5409235683058058
襄阳市,06-02,1.136477325165318
西双版纳傣族自治州,06-02,2.5312947202819047
西宁市,06-02,0.28973084900161467
西安市,06-02,0.8241360303659166
