region_name,date,temp_max_anomaly_threshold
七台河市,06-01,2.7097645256913894
万宁市,06-01,1.4997207771493395
三亚市,06-01,1.6646999711978254
三明市,06-01,0.4262111144516026
三门峡市,06-01,2.837975699075415
上海市,06-01,-0.884412741954067
上饶市,06-01,0.6493726258440367
东方市,06-01,1.9695898635298867
东莞市,06-01,1.0913287489224737
东营市,06-01,3.443001414366717
中卫市,06-01,2.810195381606316
中山市,06-01,0.8564221244012726
临夏回族自治州,06-01,2.204653194587889
临汾市,06-01,2.6746152132955916
临沂市,06-01,2.846261502945318
临沧市,06-01,4.585554433926086
临高县,06-01,1.7793570956720908
丹东市,06-01,0.6758252499521022
丽水市,06-01,0.5128342736311591
丽江市,06-01,4.835976941028159
乌兰察布市,06-01,3.109679260573661
乌海市,06-01,2.5418541277481945
乌鲁木齐市,06-01,1.9403651573201588
乐东黎族自治县,06-01,1.6424916238265332
乐山市,06-01,1.517147142209182
九江市,06-01,0.5109991927308586
云浮市,06-01,0.853172329118121
五家渠市,06-01,2.6392985362078054
五指山市,06-01,1.5861557653166938
亳州市,06-01,3.3959821386720055
仙桃市,06-01,1.3953663741170468
伊春市,06-01,2.1845007495959843
伊犁哈萨克自治州,06-01,1.149145446323617
佛山市,06-01,1.0149849874197892
佳木斯市,06-01,2.17209069893534
保亭黎族苗族自治县,06-01,1.6386200122716197
保定市,06-01,4.217082780136901
保山市,06-01,3.9287249185809636
信阳市,06-01,2.0126049715406142
儋州市,06-01,1.81628111649855
克孜勒苏柯尔克孜自治州,06-01,-0.4198485370708621
克拉玛依市,06-01,2.2368281193514616
六安市,06-01,1.555805144774272
六盘水市,06-01,2.3872414879739914
兰州市,06-01,2.5618639954646194
兴安盟,06-01,3.9093151256037615
内江市,06-01,1.6334670627106853
凉山彝族自治州,06-01,2.2622779272766174
包头市,06-01,3.144134274341062
北京市,06-01,4.37398837456869
北屯市,06-01,2.560092867851151
北海市,06-01,0.953231659011972
十堰市,06-01,2.457145755277873
南京市,06-01,1.1496406338566356
南充市,06-01,1.0287649253566118
南宁市,06-01,1.1795273770530619
南平市,06-01,0.6080464371327766
南昌市,06-01,0.6992485477093875
南通市,06-01,0.23207851013150863
南阳市,06-01,3.149460578014026
博尔塔拉蒙古自治州,06-01,1.3616402844272382
厦门市,06-01,0.6162054969823393
双河市,06-01,2.2284073104637447
双鸭山市,06-01,1.8775817588646688
可克达拉市,06-01,1.9607879170797406
台州市,06-01,-0.24987917931479137
台湾省,06-01,0.38949574729828257
合肥市,06-01,1.3900696773723307
吉安市,06-01,0.2308833509789687
吉林市,06-01,1.777122353989984
吐鲁番市,06-01,2.011667452668216
吕梁市,06-01,2.584250968203122
吴忠市,06-01,2.9207159656677923
周口市,06-01,3.553938439111367
呼伦贝尔市,06-01,3.2005458791553743
呼和浩特市,06-01,3.0645814511246154
和田地区,06-01,0.01075253627778084
咸宁市,06-01,0.9941886311580255
咸阳市,06-01,3.34656671346171
哈密市,06-01,1.7796211635486343
哈尔滨市,06-01,2.276538564039706
唐山市,06-01,3.07536377444043
商丘市,06-01,3.5552447433344803
商洛市,06-01,2.098707668030968
喀什地区,06-01,0.04205906916245435
嘉兴市,06-01,-0.4504591454959549
嘉峪关市,06-01,2.0023992456652295
四平市,06-01,2.7794391939354313
固原市,06-01,2.1615518297887504
图木舒克市,06-01,2.1772105755421554
塔城地区,06-01,1.8371239155276626
大兴安岭地区,06-01,3.1501392062898264
大同市,06-01,3.0919248992753663
大庆市,06-01,3.0034996786250177
大理白族自治州,06-01,5.272167293696821
大连市,06-01,0.1485810748747018
天水市,06-01,1.4643020973625152
天津市,06-01,3.9986319172956435
天门市,06-01,1.5973940541488107
太原市,06-01,2.8401552019582335
威海市,06-01,0.7426148215331849
娄底市,06-01,0.887697071582331
孝感市,06-01,1.5301176789717081
宁德市,06-01,0.23417738653553435
宁波市,06-01,-0.7270290449094904
安庆市,06-01,0.7545854595177118
安康市,06-01,1.8820099095734675
安阳市,06-01,3.6176715544521723
安顺市,06-01,1.8317757091330882
定安县,06-01,1.8293765559002433
定西市,06-01,1.7473033793603083
宜宾市,06-01,1.6356115687298354
宜昌市,06-01,1.3649443877775937
宜春市,06-01,0.5793565168688718
宝鸡市,06-01,2.2536786003709124
宣城市,06-01,1.0356785056040005
宿州市,06-01,3.2322747741302393
宿迁市,06-01,2.1298656347431826
屯昌县,06-01,1.7284548141692768
山南市,06-01,0.2581335839490854
岳阳市,06-01,0.8873415079864633
崇左市,06-01,1.6230308970889984
巴中市,06-01,0.9132152677649477
巴彦淖尔市,06-01,2.584977638642795
巴音郭楞蒙古自治州,06-01,0.7372419920451277
常州市,06-01,0.5111591345728346
常德市,06-01,1.0794433944500976
平凉市,06-01,2.137356982242597
平顶山市,06-01,3.8276904522787123
广元市,06-01,1.3367825852783963
广安市,06-01,0.5105615921392284
广州市,06-01,1.0035183233789642
庆阳市,06-01,2.974539931736733
廊坊市,06-01,4.455624441653199
延安市,06-01,3.0802043993054538
延边朝鲜族自治州,06-01,1.8013723427449242
开封市,06-01,3.6381909722638577
张家口市,06-01,3.545319375901714
张家界市,06-01,1.108315956976987
张掖市,06-01,1.6179217759589186
徐州市,06-01,3.039751970196466
德宏傣族景颇族自治州,06-01,3.798631136928
德州市,06-01,3.4517462427288015
德阳市,06-01,2.160940725228129
忻州市,06-01,2.6329078198014755
怀化市,06-01,0.7915545648467
怒江傈僳族自治州,06-01,1.587644173623323
恩施土家族苗族自治州,06-01,1.0786758434138837
惠州市,06-01,1.0156888565214723
成都市,06-01,1.932211680264866
扬州市,06-01,1.5929522280283843
承德市,06-01,3.1811792436746007
抚州市,06-01,0.5338940187501495
抚顺市,06-01,1.7715489593512959
拉萨市,06-01,1.2730587979222205
揭阳市,06-01,1.130586662321717
攀枝花市,06-01,4.942772140772452
文山壮族苗族自治州,06-01,2.6063525264376066
文昌市,06-01,1.5047345716157299
新乡市,06-01,3.5036308656101665
新余市,06-01,0.45677508154336893
新星市,06-01,2.1873626079593174
无锡市,06-01,0.27844733564259216
日喀则市,06-01,0.9658150515985159
日照市,06-01,2.2289550461498524
昆明市,06-01,3.1299463436058996
昆玉市,06-01,1.868912130918978
昌吉回族自治州,06-01,2.3093261402675505
昌江黎族自治县,06-01,1.9244231769405347
昌都市,06-01,0.45172497040897497
昭通市,06-01,1.839799737653763
晋中市,06-01,2.77658677519362
晋城市,06-01,2.5639307741028237
普洱市,06-01,4.285943910042153
景德镇市,06-01,0.803364093202054
曲靖市,06-01,2.616984014009777
朔州市,06-01,2.973876430734134
朝阳市,06-01,3.8988608411152703
本溪市,06-01,1.4005801089051209
来宾市,06-01,0.8296522859873053
杭州市,06-01,0.4390711555476234
松原市,06-01,2.9164874198351156
林芝市,06-01,-0.8098460627613758
果洛藏族自治州,06-01,0.42263657609556915
枣庄市,06-01,2.9868981218728807
柳州市,06-01,0.7521205007678546
株洲市,06-01,0.44297915350308065
桂林市,06-01,0.5771423723627859
梅州市,06-01,1.190256566002398
梧州市,06-01,0.5823749298225956
楚雄彝族自治州,06-01,5.550262333862905
榆林市,06-01,3.087654986717453
武威市,06-01,2.1312201277496405
武汉市,06-01,1.0753254479634529
毕节市,06-01,1.926326465748597
永州市,06-01,0.46191424063266506
汉中市,06-01,1.3014606806543667
汕头市,06-01,0.5356796916174179
汕尾市,06-01,0.8398147452673825
江门市,06-01,0.8487424075208662
池州市,06-01,0.94733329506372
沈阳市,06-01,2.9557562698941653
沧州市,06-01,3.737710044587911
河池市,06-01,1.0216024600803735
河源市,06-01,1.1203571574113955
泉州市,06-01,0.5439217596039622
泰安市,06-01,2.9908177239540477
泰州市,06-01,1.5327672707406983
泸州市,06-01,1.3097692507739749
洛阳市,06-01,3.1866773425433204
济南市,06-01,3.048915704620979
济宁市,06-01,3.308994643438729
济源市,06-01,3.534448390831485
海东市,06-01,1.6215808810875028
海北藏族自治州,06-01,0.2105798743344676
海南藏族自治州,06-01,0.7703629530056865
海口市,06-01,1.7186631882090546
海西蒙古族藏族自治州,06-01,0.12532046378757714
淄博市,06-01,2.8866303518582694
淮北市,06-01,3.5256262957041122
淮南市,06-01,2.30871820112836
淮安市,06-01,1.840459389544886
深圳市,06-01,0.9143362971250462
清远市,06-01,0.62288880333754
温州市,06-01,-0.16945166201419576
渭南市,06-01,3.5498603698758338
湖州市,06-01,0.28886506355757335
湘潭市,06-01,0.5997233211967257
湘西土家族苗族自治州,06-01,0.9007657195079493
湛江市,06-01,1.3653390137375025
滁州市,06-01,1.8943360347672134
滨州市,06-01,3.5024723831906885
漯河市,06-01,4.131872036666804
漳州市,06-01,0.6382301641561121
潍坊市,06-01,2.8240292980108594
潜江市,06-01,1.5112069052636485
潮州市,06-01,0.8964723706642053
澄迈县,06-01,1.9127625814065157
濮阳市,06-01,3.7121030676712574
烟台市,06-01,1.7782671775116272
焦作市,06-01,3.628854405756447
牡丹江市,06-01,2.1988928290647425
玉林市,06-01,0.8524907129709597
玉树藏族自治州,06-01,-0.5198904375942212
玉溪市,06-01,3.7051817869822705
珠海市,06-01,0.539297006160724
琼中黎族苗族自治县,06-01,1.6354654647447124
琼海市,06-01,1.6608423036881517
甘南藏族自治州,06-01,1.000987856891495
甘孜藏族自治州,06-01,1.1886042795741
白城市,06-01,3.6435010660382883
白山市,06-01,1.21426668349425
白杨市,06-01,1.6820463166980077
白沙黎族自治县,06-01,1.6530900775275252
白银市,06-01,2.730069552568816
百色市,06-01,2.327172169381617
益阳市,06-01,1.1175764300988322
盐城市,06-01,1.4453977118101118
盘锦市,06-01,1.9073309647366896
眉山市,06-01,2.0427600309669702
石嘴山市,06-01,2.7277136450529973
石家庄市,06-01,4.3126191410500665
石河子市,06-01,2.1561105222140644
神农架林区,06-01,1.063651223842249
福州市,06-01,0.09557918381737016
秦皇岛市,06-01,2.3766583048239562
红河哈尼族彝族自治州,06-01,2.7955244778532258
绍兴市,06-01,0.1747708559672968
绥化市,06-01,2.8097571830105084
绵阳市,06-01,1.2920707365697175
聊城市,06-01,3.3964983043142953
肇庆市,06-01,0.6856684226251777
胡杨河市,06-01,2.3474775883934593
自贡市,06-01,1.9034539656707086
舟山市,06-01,-2.830289042121394
芜湖市,06-01,1.1647906424588337
苏州市,06-01,0.08156414338295279
茂名市,06-01,0.9134014378677832
荆州市,06-01,1.224257187309256
荆门市,06-01,1.544841961483012
莆田市,06-01,0.2563288195945631
菏泽市,06-01,3.6363432619512643
萍乡市,06-01,0.6458167354985266
营口市,06-01,0.9362853683622646
葫芦岛市,06-01,2.3428693697179863
蚌埠市,06-01,2.826830863630257
衡水市,06-01,3.777996951118424
衡阳市,06-01,0.3778955719991306
衢州市,06-01,0.647841160611296
襄阳市,06-01,2.8484830377431587
西双版纳傣族自治州,06-01,4.329875046117046
西宁市,06-01,1.2024792135775721
西安市,06-01,2.755373776111269
许昌市,06-01,4.148380599318652
贵港市,06-01,0.7976895332299611
贵阳市,06-01,1.2512464199340139
贺州市,06-01,0.5150865579589023
资阳市,06-01,1.5115241495235394
赣州市,06-01,0.372405381477924
赤峰市,06-01,3.8466203866067725
辽源市,06-01,2.3602711609243174
辽阳市,06-01,2.1243262300911288
达州市,06-01,0.5776846327328767
运城市,06-01,3.230016903653495
连云港市,06-01,2.629217662635789
迪庆藏族自治州,06-01,1.517777014991825
